Noise,GuessTillWin,RunNumber
0.0,4,1
0.0,3,1
0.5,4,2
0.5,3,2
1.0,5,3
1.0,4,3
2.0,4,4
2.0,5,4
5.0,4,5
5.0,5,5
10.0,3,6
10.0,3,6
15.0,4,7
15.0,4,7
20.0,3,8
20.0,5,8
50.0,3,9
50.0,5,9
