Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
Vatroslav Mimica	1923 births, 2020 deaths, Croatian movie directors, Croatian movie producers, Croatian screenwriters
Paula Kelly (actress)	1942 births, 2020 deaths, Deaths from COPD, Disease-related deaths in California, Actors from Jacksonville, Florida, Actors from Manhattan, African-American movie actors, African-American stage actors, African-American television actors, American dancers, Singers from New York City
Andy Bernard	The Office (U.S. TV series) characters
Erin Hannon	The Office (U.S. TV series) characters
David Wallace (The Office)	The Office (U.S. TV series) characters
Holly Flax	The Office (U.S. TV series) characters
Toby Flenderson	The Office (U.S. TV series) characters
Sydney Tamiia Poitier	1973 births, Living people, Actors from Los Angeles, California, African-American movie actors, African-American television actors, Jewish American actors
Tedros Adhanom	1965 births, Living people, Academics, African politicians, Ethiopian people, Alumni of the University of Nottingham
Jon Watts	1981 births, Living people, American movie directors, American movie producers, American screenwriters, American television directors, Writers from Colorado
Robert Erwin	1934 births, 2020 deaths, Deaths from heart failure, American lawyers, American judges, Politicians from Alaska, US Democratic Party politicians
Frederick Ballantyne	1936 births, 2020 deaths, Governors-General of Saint Vincent and the Grenadines, Knights Grand Cross of the Order of St Michael and St George
Governor-General of Saint Vincent and the Grenadines	Governors-General of Saint Vincent and the Grenadines
Monica Dacon	1934 births, Governors-General of Saint Vincent and the Grenadines, Knights and Dames Commander of the Order of the British Empire, Companions of the Order of St Michael and St George, Living people
Susan Dougan	1955 births, Governors-General of Saint Vincent and the Grenadines, Officers of the Order of the British Empire, Living people
Jack D. Shanstrom	1932 births, 2020 deaths, Deaths from Parkinson's disease, Disease-related deaths in California, American lawyers, American judges, Politicians from Minnesota, Politicians from Montana, US Republican Party politicians
Hewitt, Minnesota	Cities in Minnesota
Long Prairie, Minnesota	Cities in Minnesota, County seats in Minnesota
Kenneth O. Morgan	1934 births, Living people, British historians, Welsh writers
John Morris, Baron Morris of Aberavon	1931 births, Former Labour MPs (UK), British lawyers, Living people, UK MPs 1959–1964, UK MPs 1964–1966, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001
Robin Bridgeman, 3rd Viscount Bridgeman	1930 births, British politicians, Living people
Lou D'Allesandro	1938 births, Living people, State legislators of the United States, Politicians from Boston, Massachusetts, Politicians from New Hampshire, US Democratic Party politicians
Margareta Hallin	1931 births, 2020 deaths, Swedish movie actors, Composers, Swedish singers
Yi Hae-won	1919 births, 2020 deaths, Centenarians, People from Seoul
Trump peace plan	Donald Trump, June 2019 events, January 2020 events
Sex Education (TV series)	2019 television series debuts, 2010s British drama television series, 2010s LGBT television series, British teen drama television series, LGBT drama television series, Netflix original shows, English-language television programs
Giriraj Kishore (writer)	1937 births, 2020 deaths, Deaths from myocardial infarction, Indian essayists
Emma Mackey	1996 births, Living people, British movie actors, British television actors, French movie actors, French television actors, People from Le Mans
Ncuti Gatwa	1992 births, Living people, Actors from Edinburgh, People from Fife, Rwandan people, Scottish movie actors, Scottish television actors
P. Parameswaran	1927 births, 2020 deaths, Indian politicians, Indian writers, Indian historians, Political activists
George Stevens Jr.	1932 births, Living people, American playwrights, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screenwriters from Los Angeles, California
George Stevens	Academy Award winning directors, 1904 births, 1975 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, American cinematographers, American military personnel of World War II, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screenwriters from Los Angeles, California, Writers from Oakland, California, Businesspeople from Oakland, California
Jean-Claude Carrière	1931 births, 2021 deaths, BAFTA Award winning writers, French novelists, French screenwriters, French movie actors
Lynn Stalmaster	1927 births, 2021 deaths, Businesspeople from Omaha, Nebraska
Luis Buñuel	BAFTA Award winning writers, 1900 births, 1983 deaths, Deaths from cirrhosis, Mexican screenwriters, Spanish movie directors, Spanish screenwriters, Mexican movie directors
Lucille Eichengreen	1925 births, 2020 deaths, American autobiographers, Jewish American writers, German Jews, German writers
Erazim Kohák	1933 births, 2020 deaths, Czech writers, Philosophers, People from Prague
Sharpe James	1936 births, Living people, Mayors of Newark, New Jersey, State legislators of the United States, American fraudsters, Politicians from Jacksonville, Florida, US Democratic Party politicians
Thumbscrew (torture)	Torture, Tools, Europe
28 Fundamental Beliefs	Christian terminology
Edward Morley	1838 births, 1923 deaths, American physicists, People from West Hartford, Connecticut
Sex machine	Sexuality, Machines
Aimee Lou Wood	1995 births, Living people, Alumni of the Royal Academy of Dramatic Art, English television actors, English movie actors, English stage actors, Actors from Greater Manchester, People from Stockport, Greater Manchester
Connor Swindells	1996 births, Living people, Actors from Sussex, English models, English movie actors, English television actors
Jenna Ortega	2002 births, Living people, Actors from California, American child actors, American movie actors, American television actors, American voice actors
Chosen people	Theology
Redemption (theology)	Theology
Taika Waititi	1975 births, Living people, Academy Award winning writers, BAFTA Award winning writers, Entertainers from North Island, New Zealand comedians, New Zealand Māori people, New Zealand movie actors, New Zealand movie directors, New Zealand movie producers, New Zealand screenwriters, New Zealand television actors, New Zealand voice actors, Jewish actors, Jewish comedians, Jewish screenwriters
Chicago (2002 movie)	Movies set in Chicago, Illinois, 2000s musical movies, 2002 crime movies, 2002 comedy-drama movies, American musical movies, American crime movies, American comedy-drama movies, Movies set in the 1920s, Academy Award winning movies
Chicago (musical)	1970s musicals, Laurence Olivier Award winning musicals, Tony Award winning musicals, Broadway musicals, Musicals based on movies, Musicals based on plays, History of Chicago
Katy, Texas	Cities in Texas
Simmesport, Louisiana	Towns in Louisiana
Lynn Cohen	1933 births, 2020 deaths, American movie actors, American television actors, American stage actors, Actors from Kansas City, Missouri
Seaside, California	Cities in California, Settlements in Monterey County, California
Norwegian heavy water sabotage	World War II, 1940s in Norway, 1942 in Europe, 1943 in Europe
Early christian councils	Christianity
Carroll House	Hotels, North Dakota
Fullerton, North Dakota	Cities in North Dakota, 1880s establishments in North Dakota, 1888 establishments in the United States
François André	1967 births, 2020 deaths, Cancer deaths in France, Deaths from lung cancer, Socialist Party (France) politicians
