West Division (NHL)	National Hockey League divisions
Tim Roth	1961 births, Living people, Actors from London, BAFTA Award winners, British television producers, English movie actors, English movie directors, English stage actors, English television actors
John McCrae	1872 births, 1918 deaths, Canadian military people, Canadian poets, Military personnel of World War I, People from Guelph
Stan Mikita	1940 births, 2018 deaths, Art Ross Trophy winners, Canadian ice hockey centres, Chicago Blackhawks players, Deaths from dementia with Lewy bodies, Disease-related deaths in Chicago, Illinois, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Lady Byng Memorial Trophy winners, Slovak ice hockey players, Stanley Cup champions
Left 4 Dead 2	2009 video games, Windows games, Xbox 360 games, Shooter video games, Horror video games
Reservoir Dogs (video game)	2006 video games, PlayStation 2 games, Windows games, Xbox games, Video games based on movies
WWF SmackDown! Just Bring It	2001 video games, PlayStation 2 games, THQ games, WWE video game series
Saint Germaine	People from Occitanie, Christian saints, 1579 births, 1601 deaths
Kricogonia lyside	Pieridae
All That You Can't Leave Behind	U2 albums, 2000 albums, Island Records albums
Wigtownshire	Counties of Scotland
Forza Motorsport 3	Racing video games, Xbox 360 games, 2009 video games
Patau syndrome	Trisomies
Steve Bernier	1985 births, American Hockey League players, Buffalo Sabres players, Canadian ice hockey right wingers, Florida Panthers players, Ice hockey people from Quebec, Living people, Moncton Wildcats players, New Jersey Devils players, People from Quebec City, San Jose Sharks players, Vancouver Canucks players
Henryk Vogelfanger	1904 births, 1990 deaths, Polish movie actors
Dăbuleni	Towns in Romania
Fraternity	Ethics, Philosophy
Rocky Rapids, Alberta	Hamlets in Alberta
Envigado	Cities in Colombia, Geography of Colombia
Jerry Hairston Jr.	1976 births, Living people, African-American baseball players, Baltimore Orioles players, Chicago Cubs players, Cincinnati Reds players, Los Angeles Dodgers players, Milwaukee Brewers players, New York Yankees players, San Diego Padres players, Texas Rangers players, Washington Nationals players, Sportspeople from Des Moines, Iowa
Little Green Bag	1969 songs, Pop songs
Matt Bonner	1980 births, Living people, Sportspeople from New Hampshire, San Antonio Spurs players, Toronto Raptors players, People from Concord, New Hampshire
Luol Deng	1985 births, Living people, Black British sportspeople, Chicago Bulls players, Cleveland Cavaliers players, Los Angeles Lakers players, Miami Heat players, Minnesota Timberwolves players, Naturalised citizens of the United Kingdom, People from Wau, South Sudan
Pedro Troglio	1965 births, Living people, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
Marcos Nozomi Munakata	1959 births, Living people, Brazilian footballers
Ademir Santos	1968 births, Living people, Brazilian-Japanese footballers
Abraxas (moth)	Geometridae
Baltoro Kangri	Mountains of Pakistan
Accomack County, Virginia	Virginia counties, 1671 establishments, 1670s establishments in the Thirteen Colonies, 17th-century establishments in Virginia
University of New Hampshire	Colleges and universities in New Hampshire, Hockey East, 1866 establishments in the United States, 19th-century establishments in New Hampshire
University of Vermont	Colleges and universities in Vermont, 1791 establishments in the United States, 18th-century establishments in Vermont
Immunosuppressant drugs	Drugs
Sigur Rós	People from Reykjavík, Rock bands, 1990s music groups, 2000s music groups, 2010s music groups
Millbrook, Southampton	Southampton
Totton and Eling	Towns in Hampshire
List of settlements in Acre	Municipalities in Acre (state), Lists of settlements
Deodoro da Fonseca	Presidents of Brazil, 1827 births, 1892 deaths, Alagoas
Arrondissement of Caen	Arrondissements of France
Băilești	Municipalities of Romania
Filiași	Towns in Romania
Bechet	Towns in Romania
Arrondissement of Lisieux	Arrondissements of France
Northern Rhodesia	Zambia, 1911 establishments, 1964 disestablishments
San Juan de la Maguana	Settlements in Dominican Republic, 1500s establishments in the Spanish Empire
Chess club	Chess
Assis Brasil	Municipalities in Acre (state), 1976 establishments in Brazil
Armageddon (2005)	2005 in professional wrestling, History of Providence, Rhode Island, WWE Armageddon, 2005 in the United States, 2000s in Rhode Island, December events
Nesquehoning, Pennsylvania	Cities in Pennsylvania
Jessica Watson	1993 births, Living people, Sportspeople from Queensland, People from the Sunshine Coast, Queensland, Sailors
Astrolabe	Measuring tools
Electric Avenue (song)	1983 songs, Reggae songs, Songs about London
Queen Latifah	1970 births, Living people, American movie actors, American television actors, American rap musicians from New Jersey, Models from New Jersey, Actors from New Jersey, Singers from New Jersey
Queen + Paul Rodgers	English musical groups, Musical groups established in 2004, 2004 establishments in England, Musical groups disestablished in 2009, 2009 disestablishments in England
The Cosmos Rocks	2008 albums, Queen albums, Rock albums
Kenji Onitake	1939 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Manabu Nakamura	1977 births, Living people, Footballers from Iwate Prefecture
Edwin Uehara	1969 births, Living people, Peruvian footballers, Japanese footballers, People from Lima
Marián Gáborík	1982 births, Columbus Blue Jackets players, Los Angeles Kings players, Living people, Minnesota Wild players, New York Rangers players, Ottawa Senators players, Slovak ice hockey players, Swedish Hockey League players
MAR	Anime
MyLifeIsAverage	Websites
Chuck Knoblauch	1968 births, Living people, American baseball players, Sportspeople from Houston, Texas, New York Yankees players, Kansas City Royals players, Minnesota Twins players
Romeo Crennel	1947 births, Living people, People from Lynchburg, Virginia
Der Rosenkavalier	Compositions by Richard Strauss, 1910s operas, 1911 works
Dagger	Blades
Ronnie Wood	1947 births, Living people, British bass guitarists, English painters, English rock guitarists, English songwriters, Musicians from Middlesex, The Rolling Stones members
Mick Taylor	1949 births, Living people, English rock guitarists, English songwriters, Musicians from Hertfordshire, The Rolling Stones members
Standing army	Army
Marechal Deodoro	Municipalities in Alagoas
Brian Jones	1942 births, 1969 deaths, Deaths by drowning, English rock guitarists, Musicians from Gloucestershire, The Rolling Stones members
1st millennium	1st millennium, Millennia
Cho Kwi-Jea	1969 births, Living people, South Korean footballers
Aílton Gonçalves da Silva	1973 births, Brazilian footballers, Living people
Landskrona BoIS	Swedish football clubs, 1915 establishments in Sweden
IFK Malmö	Swedish football clubs, Sport in Malmö, 1899 establishments in Sweden
Västerås IK	Swedish football clubs, 1913 establishments in Europe, 1910s establishments in Sweden
Sandvikens IF	1918 establishments in Sweden, Swedish football clubs
Gefle IF	1882 establishments in Europe, Swedish football clubs, 1880s establishments in Sweden
IK Brage	1925 establishments in Sweden, Swedish football clubs
Degerfors IF	1907 establishments in Sweden, Swedish football clubs
Marcelo Trivisonno	1966 births, Living people, Argentine footballers
Fernando Gago	1986 births, Living people, Argentine footballers
Gwak Kyung-Keun	1972 births, Living people, South Korean footballers
Jönköpings Södra IF	1922 establishments in Sweden, Swedish football clubs, Sport in Jönköping
Örebro SK	1908 establishments in Sweden, Swedish football clubs, Örebro
Råå IF	1921 establishments in Sweden, Swedish football clubs
Västerås SK	1904 establishments in Sweden, Swedish football clubs
Takafumi Hori	1967 births, Living people, Footballers from Kanagawa Prefecture
Kim Joo-sung	1966 births, Living people, South Korean footballers
Edmílson Matias	1974 births, Living people, Brazilian footballers
GIF Sundsvall	1903 establishments in Sweden, Swedish football clubs, Sundsvall
IFK Sundsvall	Swedish football clubs, 1895 establishments in Europe, Sundsvall, 1890s establishments in Sweden
Mark Bowen	1963 births, Living people, Welsh footballers
Francisco Molinero	1985 births, Living people, Spanish footballers, People from Toledo, Spain
Swedish Division 1	Football leagues, Football in Sweden
BK Häcken	1940 establishments in Europe, Swedish football clubs, 1940s establishments in Sweden
Trelleborgs FF	1926 establishments in Sweden, Swedish football clubs
Västra Frölunda IF	1930 establishments in Sweden, Swedish football clubs
Kiruna FF	Swedish football clubs, 1970 establishments in Sweden
Umeå FC	1987 establishments in Sweden, Swedish football clubs, Umeå
IK Oddevold	1932 establishments in Sweden, Swedish football clubs
