Silhouette	Art
Eugene H. Peterson	1932 births, 2018 deaths, Deaths from congestive heart failure, People with Alzheimer's disease, American Presbyterians, American poets, American educators, American theologians, Writers from Washington
John Shelby Spong	1931 births, 2021 deaths, American Christians, American theologians, American feminists, Writers from Charlotte, North Carolina, Writers from Newark, New Jersey, Deaths from stroke
Joy Laville	1923 births, 2018 deaths, Deaths from myocardial infarction, English artists, Mexican people
Isabella Biagini	1943 births, 2018 deaths, Deaths from stroke, Italian movie actors, Italian television actors, Italian stage actors, Actors from Rome
Jean-Claude Malgoire	1940 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in France, French conductors, French educators
Warfarin	Drugs, Blood
2018 bombing of Damascus and Homs	2018 in Asia, 2010s explosions in Asia, Attacks on buildings and structures in 2018, 21st century in Syria, April 2018 events, Damascus, Donald Trump, Explosions in 2018
Vestal Virgin	Roman mythology, Roman people
St. Mary's School	Schools in New Hampshire, 1886 establishments in the United States, 1880s establishments in New Hampshire, 1964 disestablishments, 1960s disestablishments in the United States, Disestablishments in New Hampshire
Upper Gilmanton	Cities in New Hampshire, 1727 establishments, 1720s establishments in the Thirteen Colonies, 1859 establishments in the United States, 19th-century establishments in New Hampshire, 1860s disestablishments in the United States, Disestablishments in New Hampshire
Halberstadt CL.II	World War I aircraft, 1917 establishments in Europe, 1910s establishments in Germany
Art Bell	1945 births, 2018 deaths, Deaths from COPD, American radio personalities, American military personnel of the Vietnam War, Libertarians, Businesspeople from North Carolina, Businesspeople from Nevada, Writers from North Carolina, Writers from Nevada
Vanjiar River	Rivers of Puducherry, Rivers of Tamil Nadu
Franciszek Pieczka	1928 births, Living people, Polish movie actors, Polish television actors, Polish stage actors
Puravadayanar River	Rivers of Puducherry, Rivers of Tamil Nadu
List of rivers of West Bengal	Rivers of West Bengal
Adi Ganga	Rivers of West Bengal
Ajay River	Rivers of Bihar, Rivers of Jharkhand, Rivers of West Bengal
Auranga River (Jharkhand)	Rivers of Jharkhand
Burhi Gandak River	Rivers of Bihar
Maggie De Block	1962 births, Living people, Government ministers of Belgium, Open Vlaamse Liberalen en Democraten politicians, People from Flemish Brabant, Women politicians
Lisbet Palme	1931 births, 2018 deaths, First Ladies, Swedish people, Swedish psychologist
Assassination of Olof Palme	1986 in Europe, 1980s in Sweden, Assassinations in Europe, February events, Unsolved murders
Xavier Trias	1946 births, Living people, Mayors of Barcelona
Canadian Rockies	Mountains of Canada
Amaro Pargo	1678 births, 1747 deaths, Pirates, People from the Canary Islands, Mysterious people
List of large temple tanks	Temple tanks in India
Haridra Nadhi	Temple tanks in India
Chandra Theertham (Karaikal)	Temple tanks in India
Stefano Zappalà	1941 births, 2018 deaths, Italian politicians, MEPs for Italy, Deaths from respiratory failure
Methoxyflurane	Analgesics
Paolo and Vittorio Taviani	1929 births, 1931 births, Living people, 2018 deaths, Sibling duos, Italian movie directors, Italian screenwriters, Cardiovascular disease deaths in Italy, People from Tuscany
Jon Michelet	1944 births, 2018 deaths, Deaths from kidney cancer, Norwegian writers, Novelists, Norwegian journalists
Mental capacity	Medicine, Health, Law
Judy Kennedy	1944 births, 2018 deaths, Deaths from ovarian cancer, Cancer deaths in New York, American mayors, Politicians from Idaho, Politicians from Oregon, Politicians from New York, Writers from Idaho, Writers from New York, Writers from Oregon, Businesspeople from New York, Businesspeople from Idaho, Businesspeople from Oregon, People from Newburgh, New York, US Democratic Party politicians
Newburgh, New York	Cities in New York
Spencertown, New York	Hamlets in New York
Colony of Aden	Yemen, 1937 establishments in Asia, 1937 establishments in the United Kingdom, 1963 disestablishments in the United Kingdom, 1960s disestablishments in Asia
Alfred M. Gray Jr.	1928 births, Living people, American military personnel of the Korean War, American military personnel of the Vietnam War, People from New Jersey
Baker City, Oregon	Cities in Oregon, County seats in Oregon
Ivan Mauger	1933 births, 2018 deaths, New Zealand sportspeople
Big Timber, Montana	Cities in Montana, County seats in Montana
Bourbonnais, Illinois	Villages in Illinois
Dana Rohrabacher	1947 births, Living people, United States representatives from California, Writers from California, American conservatives, US Republican Party politicians
Randy Neugebauer	1949 births, Living people, United States representatives from Texas, American conservatives, Politicians from St. Louis, Missouri, US Republican Party politicians
John Oliver	Emmy Award winners, 1977 births, Living people, English comedians, English television writers, English television producers, English movie actors, English television actors, English voice actors, English television presenters, English television personalities, Political commentators, Actors from Birmingham, Writers from Birmingham
Chris Rea	1951 births, Living people, English singer-songwriters, English rock guitarists, English rock singers, English pop singers, English pianists, English pop musicians, People with cancer, Musicians from Yorkshire, Writers from Yorkshire, Cancer survivors
Carnavalito	Festivals, Colombian culture, Masterpieces of the Oral and Intangible Heritage of Humanity, 1966 establishments in South America, 20th-century establishments in Colombia
Arrival of the Castañeda Family	Festivals, Colombian culture, Masterpieces of the Oral and Intangible Heritage of Humanity, 1929 establishments, 1920s establishments in Colombia
Whites' Day	Festivals, Colombian culture, Masterpieces of the Oral and Intangible Heritage of Humanity, 1912 establishments, 1910s establishments in Colombia
Great Parade	Festivals, Colombian culture, Masterpieces of the Oral and Intangible Heritage of Humanity, 1926 establishments, 1920s establishments in Colombia
Karen Karapetyan	Prime Ministers of Armenia, 1964 births, Living people
Violette Szabo	1921 births, 1945 deaths, People from Paris, George Cross holders, Victims of Nazism, British people, Spies
Upper Arlington, Ohio	Cities in Ohio
Charleston (dance)	Dance types
Divi filius	Religious terminology, Latin words and phrases
Ankita Lokhande	1984 births, Living people, Indian television actors, Actors from Mumbai, Indian movie actors
Hal Greer	1936 births, 2018 deaths, African-American basketball players, Philadelphia 76ers players, Sportspeople from West Virginia, People from Huntington, West Virginia, National Basketball Association players with retired numbers, American basketball players
Huntington, West Virginia	Cities in West Virginia, County seats in West Virginia
Gerald Nachman	1938 births, 2018 deaths, Deaths from frontotemporal dementia, Disease-related deaths in San Francisco, American television writers, American journalists, American columnists, American novelists, American critics, Writers from San Francisco, Writers from Oakland, California
Michael Halliday	1925 births, 2018 deaths, Linguists, Australian educators, Writers from Leeds
Jacques Tixier	1925 births, 2018 deaths, French educators, French historians, French writers, French archaeologists
Waqar Ahmad Shah	1943 births, 2018 deaths, Deaths from bladder cancer, Cancer deaths in India, Politicians from Uttar Pradesh, Civil servants
Harry Anderson	1952 births, 2018 deaths, Deaths from influenza, Deaths from stroke, Cardiovascular disease deaths in North Carolina, Infectious disease deaths in the United States, American movie actors, American television actors, American voice actors, American television personalities, American magicians, American comedians, Actors from Rhode Island, Actors from New Orleans, Louisiana, Actors from Oregon, Actors from North Carolina, People from Ashland, Oregon, People from Asheville, North Carolina, People from Newport, Rhode Island
Jaime Thorne León	1943 births, 2018 deaths, Deaths from brain cancer, Peruvian politicians, Civil servants, Peruvian lawyers, People from Lima
Nyack, New York	Villages in New York
Zee TV	Indian television, Television channels
Antonio Bernocchi	1859 births, 1930 deaths, Italian businesspeople, Italian philanthropists
Karl-Heinz von Hassel	1939 births, 2016 deaths, German movie actors, Actors from Hamburg, Disease-related deaths in Germany
Balod district	Districts of India, Chhattisgarh
Nayatol	Villages in Bihar
Buruli ulcer	Infectious diseases
Deborah Coleman	1956 births, 2018 deaths, Deaths from bronchopneumonia, American blues musicians, American guitarists, American singer-songwriters, Musicians from Virginia, Singers from Virginia
Dona Ivone Lara	1921 births, 2018 deaths, Deaths from cardiac arrest, Brazilian singers, Composers, People from Rio de Janeiro
Big Tom	1936 births, 2018 deaths, Irish singers, Irish guitarists, Saxophonists, Country singers, Country musicians
Carl Kasell	1934 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Maryland, American journalists, American radio personalities, American game show hosts, American autobiographers, Writers from North Carolina
SS Vita Nova	Italian football clubs, 1910 establishments in Italy, 1926 disestablishments, 1943 establishments in Europe, 1940s establishments in Italy, 1950 disestablishments, 1920s disestablishments in Italy, 1950s disestablishments in Italy
SS Pro Ponte	Italian football clubs, 1926 establishments in Italy, 1943 disestablishments in Europe, 1940s disestablishments in Italy
US Ponte San Pietro	Italian football clubs, 1950 establishments in Europe, 1950s establishments in Italy, 2007 disestablishments in Europe, 2000s disestablishments in Italy
US Sportiva Ponte San Pietro Isola	Italian football clubs, 2007 establishments in Europe, 2000s establishments in Italy
Katmai National Park	National parks in the United States, IUCN Category VI
Yushan (mountain)	Mountains of Asia, Geography of Taiwan
Etsuko Ichihara	1936 births, 2019 deaths, Deaths from heart failure, Japanese movie actors, Japanese television actors, Japanese voice actors, Japanese stage actors, People from Chiba Prefecture
Henri Landwirth	1927 births, 2018 deaths, Deaths from mesothelioma, Cancer deaths in Florida, Naturalized citizens of the United States, American philanthropists, Holocaust survivors, People from Orlando, Florida, Businesspeople from Florida, People from Antwerp
Lía Bermúdez	1930 births, Living people, Sculptors, People from Caracas
2018–19 Premier League	2018 in association football, 2019 in association football, Premier League
2018 UEFA Champions League Final	2018 in association football, UEFA Champions League
Olympique Antibes	French football clubs, 1912 establishments in France, 1933 disestablishments in Europe, 1930s disestablishments in France
R.C. Paris	French football clubs, 1932 establishments in Europe, 1930s establishments in France, 1966 disestablishments, 1960s disestablishments in Europe, 1983 establishments in Europe, 1980s establishments in France, 1987 disestablishments in Europe, 1980s disestablishments in France, 1999 establishments in France, 2005 disestablishments in Europe, 2000s disestablishments in France
Special Operations Executive	Organisations based in the United Kingdom
Boreads	Greek mythology, Winds
2018 Pacific hurricane season	Pacific hurricane seasons
Berkeley County, West Virginia	West Virginia counties, 1772 establishments in the Thirteen Colonies
Robert Holmes (American football)	1945 births, 2018 deaths, Deaths from eye neoplasm, Cancer deaths in Canada, Kansas City Chiefs players, Tennessee Titans players, San Diego Chargers players, Sportspeople from Texas, People from Huntsville, Texas
Huntsville, Texas	Cities in Texas, County seats in Texas
Igor Chislenko	1939 births, 1994 deaths, Soviet sportspeople, Sportspeople from Moscow, Russian footballers, 1962 FIFA World Cup players, 1966 FIFA World Cup players
Frank Drowota	1938 births, 2018 deaths, American lawyers, Politicians from Kentucky, Politicians from Nashville, Tennessee
Paul Singer (economist)	2018 deaths, 1932 births, Austrian educators, Economists, Brazilian educators, People from São Paulo
Vel Phillips	1923 births, 2018 deaths, American lawyers, American civil rights activists, Politicians from Milwaukee, Wisconsin, US Democratic Party politicians
Grashof number	Numbers, Fluid mechanics, Thermodynamics, Heat transfer
Pectoralis major muscle	Muscles
Seigneur	1789 disestablishments, 18th century in France, History of France, Society, Nobility
Fire blanket	Firefighting, Home
Control Machete	Musical groups established in 1996, 1990s Mexican music groups, 2000s Mexican music groups, Mexican rap music groups, Musical groups disestablished in 2004, 1996 establishments in North America, 1990s establishments in Mexico, 2000s disestablishments in Mexico
Intel Core i9	Computer processors
Kinto Sol	1990s Mexican music groups, 2000s Mexican music groups, Mexican rap music groups, 2010s music groups, Musical groups established in 1999, Mexican musical groups, 1990s establishments in Mexico
Cartel de Santa	Musical groups established in 1996, 1990s Mexican music groups, 2000s Mexican music groups, Mexican rap music groups, 1996 establishments in North America, 1990s establishments in Mexico
Dharius	Mexican rap musicians, 1984 births
Cordyceps	Fungi, Parasitoids
Brookfield, Connecticut	Towns in Connecticut
Lynn Stout	1957 births, 2018 deaths, American educators, Cancer deaths in California, Writers from California
Platonic crystal	Physics
T. V. R. Shenoy	1941 births, 2018 deaths, Indian writers, Indian journalists, Columnists, People from Kerala
Henk Schouten	1932 births, 2018 deaths, Cancer deaths in the Netherlands, Deaths from pancreatic cancer, Dutch footballers, Sportspeople from Rotterdam
Cornelius Jakobs	1924 births, 2018 deaths, Religious leaders, People from Tallinn
Call for the Dead	British novels
A Murder of Quality	British novels, 1962 books
The Spy Who Came in from the Cold	British novels
Luis Montes Mieza	1949 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Spain, Spanish people, Activists, Spanish physicians
Walter Moody	1935 births, 2018 deaths, Executed American people, American murderers, People from Georgia (U.S. state)
Piccolo trumpet	Musical instruments
Jim Halpert	The Office (U.S. TV series) characters
Alex Janvier	1935 births, Living people, Artists
Bled	Towns in Slovenia
Robert L. Butler	1927 births, 2019 deaths, American mayors, American lawyers, Politicians from Illinois, US Republican Party politicians
Luisa Pastor Lillo	1948 births, 2018 deaths, Cancer deaths in Spain, Spanish politicians, Mayors
Jeanne Wilson	1926 births, 2018 deaths, American swimmers, American Olympians, Sportspeople from Chicago
Roy Bentley	1924 births, 2018 deaths, English footballers, English football managers, People from Bristol
Pedro Erquicia	1943 births, 2018 deaths, Spanish journalists, Spanish television personalities, Television presenters, Television producers
Rajinder Sachar	1923 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in India, Indian writers, Indian politicians, Pakistani politicians, Indian lawyers, Indian judges, Pakistani judges, Political activists, Political writers, People from New Delhi
Jaroslav Seifert	1901 births, 1986 deaths, Czech poets, Journalists, Writers from Prague
