Oil tanker	Ship types
Épineu-le-Chevreuil	Communes in Sarthe
Étival-lès-le-Mans	Communes in Sarthe
Évaillé	Former communes in Sarthe
Fatines	Communes in Sarthe
Fay, Sarthe	Communes in Sarthe
Fercé-sur-Sarthe	Communes in Sarthe
Fillé	Communes in Sarthe
Flée, Sarthe	Communes in Sarthe
Fontenay-sur-Vègre	Communes in Sarthe
Fresnay-sur-Sarthe	Communes in Sarthe
Fyé	Communes in Sarthe
Gesnes-le-Gandelin	Communes in Sarthe
Grandchamp, Sarthe	Communes in Sarthe
Gréez-sur-Roc	Communes in Sarthe
Guécélard	Communes in Sarthe
Jauzé	Communes in Sarthe
Joué-en-Charnie	Communes in Sarthe
Joué-l'Abbé	Communes in Sarthe
Juigné-sur-Sarthe	Communes in Sarthe
Juillé, Sarthe	Communes in Sarthe
Jupilles	Communes in Sarthe
La Bazoge, Sarthe	Communes in Sarthe
La Bosse (Sarthe)	Communes in Sarthe
La Bruère-sur-Loir	Communes in Sarthe
La Chapelle-aux-Choux	Communes in Sarthe
La Chapelle-d'Aligné	Communes in Sarthe
La Chapelle-du-Bois	Communes in Sarthe
La Chapelle-Gaugain	Former communes in Sarthe
La Chapelle-Huon	Communes in Sarthe
La Chapelle-Saint-Aubin	Communes in Sarthe
La Chapelle-Saint-Fray	Communes in Sarthe
La Chapelle-Saint-Rémy	Communes in Sarthe
La Chartre-sur-le-Loir	Communes in Sarthe
La Ferté-Bernard	Communes in Sarthe
La Flèche	Communes in Sarthe, Subprefectures in France
La Fontaine-Saint-Martin	Communes in Sarthe
La Fresnaye-sur-Chédouet	Former communes in Sarthe
La Guierche	Communes in Sarthe
La Milesse	Communes in Sarthe
La Quinte	Communes in Sarthe
La Suze-sur-Sarthe	Communes in Sarthe
Laigné-en-Belin	Communes in Sarthe
Lamnay	Communes in Sarthe
Lavardin, Sarthe	Communes in Sarthe
Lavaré	Communes in Sarthe
Lavenay	Former communes in Sarthe
Lavernat	Communes in Sarthe
Le Bailleul	Communes in Sarthe
Le Breil-sur-Mérize	Communes in Sarthe
Le Chevain	Former communes in Sarthe
Le Grand-Lucé	Communes in Sarthe
Le Grez	Communes in Sarthe
Le Luart	Communes in Sarthe
Le Lude	Communes in Sarthe
Le Tronchet, Sarthe	Communes in Sarthe
Les Aulneaux	Communes in Sarthe
Les Mées, Sarthe	Communes in Sarthe
Lhomme	Communes in Sarthe
Lignières-la-Carelle	Former communes in Sarthe
Ligron	Communes in Sarthe
Livet-en-Saosnois	Communes in Sarthe
Lombron	Communes in Sarthe
Longnes, Sarthe	Communes in Sarthe
Louailles	Communes in Sarthe
Loué	Communes in Sarthe
Louplande	Communes in Sarthe
Louvigny, Sarthe	Communes in Sarthe
Louzes	Communes in Sarthe
Lucé-sous-Ballon	Communes in Sarthe
Luceau	Communes in Sarthe
Luché-Pringé	Communes in Sarthe
Maigné	Communes in Sarthe
Maisoncelles, Sarthe	Communes in Sarthe
Malicorne-sur-Sarthe	Communes in Sarthe
Mamers	Communes in Sarthe, Subprefectures in France
Mansigné	Communes in Sarthe
Marçon	Communes in Sarthe
Mareil-en-Champagne	Communes in Sarthe
Mareil-sur-Loir	Communes in Sarthe
