Noise,GuessTillWin,RunNumber
0.0,3,1
0.0,4,1
0.5,4,2
0.5,4,2
1.0,4,3
1.0,3,3
2.0,2,4
2.0,5,4
5.0,4,5
5.0,4,5
10.0,5,6
10.0,5,6
15.0,3,7
15.0,4,7
20.0,5,8
20.0,5,8
50.0,4,9
50.0,4,9
