Kenning	Medieval literature, Poetry, Iceland
Danbury, Essex	Villages in Essex, Civil parishes in Essex
Cysticercosis	Infectious diseases
Judy Farrell	1938 births, Living people, American television actors, American television writers, American educators, Actors from Oklahoma, Writers from Oklahoma
Jeff Van Drew	1953 births, Living people, American mayors, United States representatives from New Jersey, Politicians from New York City, US Democratic Party politicians, US Republican Party politicians
Backbencher	Politics of the United Kingdom
Rotelsee	Lakes of Switzerland, Geography of Valais
Prosper Grech	1925 births, 2019 deaths, Cardinals of the Roman Catholic Church, Maltese people
Renato Martino	Cardinals of the Roman Catholic Church, Italian Roman Catholics, 1932 births, Living people
Francesco Monterisi	1934 births, Living people, Cardinals of the Roman Catholic Church, Italian Roman Catholics
Santos Abril y Castelló	1936 births, Living people, Cardinals of the Roman Catholic Church, Spanish Roman Catholics
Inkwilersee	Lakes of Bern, Canton of Solothurn
Luigi De Magistris (cardinal)	1926 births, Living people, Cardinals of the Roman Catholic Church, Italian Roman Catholics
Groveton, Texas	Cities in Texas, County seats in Texas
Karl-Josef Rauber	1934 births, Living people, Cardinals of the Roman Catholic Church, German Roman Catholics
Ernest Simoni	1928 births, Living people, Cardinals of the Roman Catholic Church, Albanian people
Marcial Maciel	1920 births, 2008 deaths, Mexican people, Roman Catholic priests
Inn (river)	Rivers of Switzerland, Rivers of Austria, Rivers of Germany, Graubünden, Tyrol (state), Geography of Bavaria
Sumter County, Georgia	1830s establishments in Georgia (U.S. state), 1831 establishments in the United States, Georgia (U.S. state) counties
Ripley County, Indiana	1818 establishments in Indiana, Indiana counties
Ada Colau	1974 births, Living people, Mayors of Barcelona, LGBT politicians, LGBT writers, Bisexual people, Political writers, Political activists, Writers from Barcelona
José María Álvarez del Manzano	1937 births, Living people, People from Seville, Mayors of Madrid
Manuela Carmena	1944 births, Living people, Spanish lawyers, Spanish judges, Mayors of Madrid, Women lawyers
José Luis Martínez-Almeida	Mayors of Madrid, Spanish lawyers, Living people, 1975 births
Multiple integral	Mathematical analysis
Bristol County, Massachusetts	1680s establishments in Massachusetts, 1685 establishments, Massachusetts counties
Narcís Serra	1943 births, Living people, Spanish economists, Deputy Prime Ministers of Spain, Mayors of Barcelona
Franklin County, Massachusetts	19th-century establishments in Massachusetts, 1811 establishments in the United States, Massachusetts counties
Norfolk County, Massachusetts	18th-century establishments in Massachusetts, 1793 establishments in the United States, Massachusetts counties
Dukes County, Massachusetts	17th-century establishments in Massachusetts, 1690s establishments in the Thirteen Colonies, 1695 establishments, Massachusetts counties
Hampden County, Massachusetts	19th-century establishments in Massachusetts, 1812 establishments in the United States, Massachusetts counties
Hampshire County, Massachusetts	1660s establishments in Massachusetts, 1662 establishments, Massachusetts counties
Plymouth County, Massachusetts	1680s establishments in Massachusetts, 1685 establishments, Massachusetts counties
Alton, Texas	Cities in Texas
Donna, Texas	Cities in Texas
Elsa, Texas	Cities in Texas
Pulaski County, Indiana	1830s establishments in Indiana, 1839 establishments in the United States, Indiana counties
Progreso, Texas	Cities in Texas
Progreso Lakes, Texas	Cities in Texas
Llano Grande, Texas	Census-designated places in Texas
San Carlos, Texas	Census-designated places in Texas
Havana, Texas	Census-designated places in Texas
Palmview, Texas	Cities in Texas
Greenfield, Massachusetts	1680s establishments in Massachusetts, 1686 establishments, Cities in Massachusetts, County seats in Massachusetts
The Irregular at Magic High School	Light novels
Target Canada	Target Corporation, 2011 establishments in Canada, 2015 disestablishments in Canada, Companies of Canada, Defunct companies of North America, Department stores, Ontario
Lavinia (novel)	Novels
Citizen science	Society, Science
Haroun	Darawiish, 19th-century establishments in Africa
List of political parties in Hungary	Lists of political parties
Wolfgang Winkler (actor)	1943 births, 2019 deaths, German movie actors, German television actors, Cancer deaths in Germany
Fred Emmer	1934 births, 2019 deaths, Dutch television presenters, People from Amsterdam, Television news anchors
LaDell Andersen	1929 births, 2019 deaths, American basketball players, Sportspeople from Idaho, Sportspeople from Utah
Washington County, Utah	Utah counties
Günter Lamprecht	1930 births, Living people, German movie actors, German television actors, Actors from Berlin
Jan Fedder	1955 births, 2019 deaths, Deaths from oral cancer, Cancer deaths in Germany, German movie actors, German television actors, German stage actors, Actors from Hamburg
Syd Mead	1933 births, 2019 deaths, Deaths from lymphoma, Cancer deaths in California, Designers, American artists, American science fiction writers, Writers from California, Writers from Saint Paul, Minnesota, People from Pasadena, California
Nils Petter Sundgren	1929 births, 2019 deaths, Swedish critics, Swedish television presenters, Swedish writers, Movie critics
A V Swamy	1929 births, 2019 deaths, Deaths from cardiac arrest, Indian politicians
Christopher Tolkien	1924 births, 2020 deaths, J. R. R. Tolkien, British illustrators, English novelists, Educators, English essayists, Writers from Leeds
George Alagiah	1955 births, Living people, People with cancer, British journalists, British television presenters, BBC people, Television news anchors, People from Colombo
The Two Popes	2010s biographical movies, 2019 drama movies, Netflix movies, Italian drama movies, British biographical movies, British drama movies, American biographical movies, American drama movies
1917 (movie)	2019 movies, 2010s war movies, American epic movies, American war movies, British war movies, World War I movies, Movies directed by Sam Mendes
Harry Kupfer	1935 births, 2019 deaths, Writers from Berlin
Krzysztof Penderecki	Wolf Prize winners, Grammy Award winners, 1933 births, 2020 deaths, Polish composers, Conductors, Order of Merit of the Federal Republic of Germany, Recipients of the Decoration for Services to the Republic of Austria
Decatur, Mississippi	Towns in Mississippi, County seats in Mississippi
Giovanni Innocenzo Martinelli	1942 births, 2019 deaths, Italian Roman Catholics, Libyan people, Bishops
Gertrude Himmelfarb	1922 births, 2019 deaths, Deaths from congestive heart failure, American historians, American political writers, American critics, American conservatives, Writers from New York City
2019–20 Australian bushfire season	2010s fires, 2010s in Australia, December 2019 events, January 2020 events
Donald O. Hebb	1904 births, 1985 deaths, Canadian scientists, Canadian psychologists, Neuroscientists, Canadian educators, People from Nova Scotia
Gemma Chan	1982 births, Living people, English movie actors, English television actors, English voice actors, English stage actors, Actors from London
Constance Wu	1982 births, Living people, Actors from Richmond, Virginia, American movie actors, American stage actors, American television actors, American voice actors
Romell Broom	1956 births, 2020 deaths, African-American people, American kidnappers, American people convicted of murder, American rapists, American robbers, Criminals from Ohio, Deaths from the COVID-19 pandemic in the United States, People from Cleveland, Ohio
Jack Garfein	1930 births, 2019 deaths, Deaths from leukemia, Cancer deaths in New York City, Naturalized citizens of the United States, American playwrights, American educators, Screenwriters from New York City, Movie producers from New York City, Movie directors from New York City
Actors Studio	1947 establishments in the United States, Buildings and structures in Manhattan
Elia Kazan	Academy Award winning directors, Golden Globe Award winning directors, Tony Award winners, 1909 births, 2003 deaths, Deaths from natural causes, Disease-related deaths in New York City, Yale University alumni, Naturalized citizens of the United States, American playwrights, American movie actors, American stage actors, American radio actors, American educators, American theatre directors, Theatre producers, Greek actors, Greek writers, Turkish actors, Turkish writers, Movie directors from New York City, Movie producers from New York City, Actors from New York City, Screenwriters from New York City, People from Istanbul
Zoe Kazan	1983 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American playwrights, Yale University alumni, Actors from Los Angeles, California, Screenwriters from Los Angeles, California
Maya Kazan	1986 births, Living people, Actors from Los Angeles, California, American movie actors, American stage actors, American television actors, American voice actors, American television directors, Movie directors from Los Angeles, California
Robert Lewis (director)	1909 births, 1997 deaths, Deaths from heart failure, Cardiovascular disease deaths in New York City, American movie actors, American stage actors, American educators, Writers from New York City, Actors from New York City
Marion Chesney	1936 births, 2019 deaths, Scottish novelists, People from Glasgow
Steven Pasquale	1976 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Tenors, Actors from Pennsylvania, Singers from Pennsylvania
Laura Benanti	Tony Award winning actors, Drama Desk Award winners, 1979 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American country singers, Singers from New York City, Singers from New Jersey, Actors from New York City, Actors from New Jersey
Kinnelon, New Jersey	Boroughs in New Jersey
Phillipa Soo	1990 births, Living people, American stage actors, American television actors, Actors from Illinois, Singers from Illinois, Grammy Award winners, People from Libertyville, Illinois
Hamilton (musical)	Drama Desk Award winners, Grammy Award winners, Tony Award winning musicals
Poorna Jagannathan	1972 births, Living people, Naturalized citizens of the United States, American movie actors, American television actors, American stage actors, American voice actors, Indian actors, People from Tunis
Delaware County, Indiana	1820s establishments in Indiana, 1827 establishments in the United States, Indiana counties
Alamo, Texas	Cities in Texas
Jefferson County, Indiana	1811 establishments in Indiana Territory, Indiana counties
Virginia City, Montana	Towns in Montana, County seats in Montana
Bloomfield, Indiana	Towns in Indiana, County seats in Indiana
Wild Nights – Wild Nights!	1861, 19th-century American poems
Spencer, Indiana	Towns in Indiana, County seats in Indiana
Dubois County, Indiana	1818 establishments in Indiana, Indiana counties
Guthrie, Texas	Census-designated places in Texas, Unincorporated communities in Texas, County seats in Texas
Carole Delga	1971 births, Socialist Party (France) politicians, People from Toulouse, Living people
Pan-African Institute for Statistics	Government agencies, 2010s establishments in Africa, 2018 establishments
Window function	Digital signal processing
Genesis P-Orridge	1950 births, 2020 deaths, Cancer deaths in New York City, English singer-songwriters, English poets, Violinists, English guitarists, English artists, English LGBT people, LGBT musicians, LGBT singers, LGBT songwriters, LGBT poets, Deaths from leukemia, Musicians from Manchester
John Edrich	1937 births, 2020 deaths, Deaths from blood cancer, English cricketers, Sportspeople from Norfolk
Tom Smith (rugby union)	1971 births, Living people, English rugby union players, People with cancer, Sportspeople from London
Arawanna	Ancient history, Hittite Empire, History of Armenia
Jeffrey Ngai Pang Chin	Chinese poets, Poets
Ng Jui Ping	1948 births, 2020 deaths, Deaths from pancreatic cancer, Generals, Singaporean businesspeople
Serikbolsyn Abdildin	1937 births, 2019 deaths, Economists, Kazakhstani politicians, Soviet politicians
Shahla Riahi	1927 births, 2019 deaths, Iranian actors, Iranian movie directors, People from Tehran
Thurnen	2020 establishments in Switzerland, Municipalities of Bern
Burkburnett, Texas	Cities in Texas
YellaWood 500	20th-century establishments in Alabama, 1969 establishments in the United States, 1969 in sports, Monster Energy NASCAR Cup Series races, NASCAR tracks
Silvia Montanari	1943 births, 2019 deaths, Deaths from cancer, Argentine actors
Tzvi Freeman	Living people
Tess Daly	1969 births, English novelists, English models, English television presenters, Writers from Cheshire, Living people
Beatriz Taibo	1932 births, 2019 deaths, Argentine actors
Jack Sheldon	1931 births, 2019 deaths, American jazz singers, American jazz musicians, Trumpeters, American television actors, American voice actors, Actors from Jacksonville, Florida, Musicians from Jacksonville, Florida, Singers from Jacksonville, Florida
Ira Sullivan	1931 births, 2020 deaths, Deaths from pancreatic cancer, American jazz musicians, American saxophonists, American educators, Trumpeters, American composers, Writers from Washington, D.C., Musicians from Washington, D.C.
Floyd County, Indiana	1819 establishments in Indiana, Indiana counties
Abra (province)	Provinces of the Philippines
Agusan del Norte	Provinces of the Philippines
Injil	Religious texts, Islamic culture, Bible
Ipswich, South Dakota	Cities in South Dakota, County seats in South Dakota
Ashland County, Wisconsin	19th-century establishments in Wisconsin, 1860 establishments in the United States, Wisconsin counties
Barron County, Wisconsin	1870s establishments in Wisconsin, 1874 establishments in the United States, Wisconsin counties
Prez, Switzerland	2020 establishments in Switzerland, Municipalities of Fribourg
Bayfield County, Wisconsin	1850 establishments in Wisconsin, Wisconsin counties
Brown County, Wisconsin	Brown County, Wisconsin, Wisconsin counties, 1818 establishments in the United States, 1810s establishments in Michigan Territory
Villaz, Switzerland	2020 establishments in Switzerland, Municipalities of Fribourg
Donatyre	2006 disestablishments in Switzerland, Former municipalities of Vaud, Villages in Vaud
Buffalo County, Wisconsin	1854 establishments in Wisconsin, Wisconsin counties
Remembrance (1982 movie)	1982 movies, British drama movies
Siloam, Georgia	Cities in Georgia (U.S. state)
Languages of the United Kingdom	Languages of Europe, British culture, United Kingdom-related lists, Language-related lists, Languages of the United Kingdom
Fazilatunnesa Bappy	1970 births, 2020 deaths, Bangladeshi politicians, Bangladeshi Muslims, Bangladeshi lawyers
Elena Cotta	1931 births, Living people, Actors from Milan, Italian movie actors, Italian stage actors, Italian television actors
List of prime ministers of Chad	Prime Ministers of Chad
Albert Pahimi Padacké	1966 births, Prime Ministers of Chad, Living people
Shen Yi-ming	1957 births, 2020 deaths, Aviation deaths, Taiwanese military people
Prudential	1840s establishments in England, 1848 establishments in Europe, Companies of the United Kingdom, Insurance companies, London, Companies listed on the London Stock Exchange, Companies listed on the New York Stock Exchange
Chris Barker	1980 births, 2020 deaths, English footballers, English football managers, Sportspeople from Sheffield
Peter Lo Sui Yin	1923 births, 2020 deaths, Malaysian politicians
Harris Salleh	1930 births, Living people, Malaysian politicians
Sakaran Dandai	1930 births, 2021 deaths, Malaysian politicians, Deaths from the COVID-19 pandemic in Malaysia
Naismith Memorial Basketball Hall of Fame	1959 establishments in the United States, Buildings and structures in Massachusetts, National Basketball Association
Sylvester James Gates	1950 births, Living people, American physicists, American educators, Scientists from Florida, Writers from Tampa, Florida
James Edward Young	1926 births, Living people, American physicists, Scientists from West Virginia, Writers from West Virginia, People from Wheeling, West Virginia
James Soong	1942 births, Living people, Taiwanese politicians
Chang San-cheng	1954 births, Living people, Premiers of the Republic of China on Taiwan
Su Tseng-chang	1947 births, Living people, Current national leaders, Premiers of the Republic of China on Taiwan
William Lai	1959 births, Living people, Premiers of the Republic of China on Taiwan
People First Party (Taiwan)	2000s establishments in Taiwan, 2000 establishments in Asia, Political parties in Taiwan, Conservative parties, Liberal parties
Finn Wittrock	1984 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Screenwriters from Los Angeles, California, Actors from Los Angeles, California, Writers from Massachusetts, Actors from Massachusetts, People from Lenox, Massachusetts
Roland Minson	1929 births, 2020 deaths, American basketball players, Sportspeople from Idaho
Stilton cheese	Cheeses, Derbyshire, Leicestershire, Nottinghamshire
Rossens, Vaud	2006 disestablishments in Switzerland, Former municipalities of Vaud, Villages in Vaud
Sédeilles	2006 disestablishments in Switzerland, Former municipalities of Vaud, Villages in Vaud
Jay County, Indiana	1836 establishments in Indiana, Indiana counties
LaGrange, Indiana	Towns in Indiana, County seats in Indiana
Fountain County, Indiana	1820s establishments in Indiana, 1826 establishments in the United States, Indiana counties
Elkhart County, Indiana	1830 establishments in Indiana, Indiana counties
DeSoto, Texas	Cities in Texas, Settlements in Dallas County, Texas
Rowlett, Texas	Cities in Texas, Settlements in Dallas County, Texas
Fulton County, Indiana	1836 establishments in Indiana, Indiana counties
Aquilla, Texas	Cities in Texas
Happy Camp, California	Census-designated places in California, Settlements in Siskiyou County, California
McCloud, California	Census-designated places in California, Settlements in Siskiyou County, California
Tennant, California	Census-designated places in California, Settlements in Siskiyou County, California
War of Devolution	1660s in Europe
Nick Fish	1958 births, 2020 deaths, American lawyers, Cancer deaths in the United States, Deaths from stomach cancer, Harvard University alumni, Politicians from New York, People from Portland, Oregon
Farwell, California	Unincorporated communities in California, Settlements in Alameda County, California
Qasem Soleimani	1957 births, 2020 deaths, Assassinated people, Deaths by airstrike, Iranian military people
Afton, Wyoming	Towns in Wyoming, Lincoln County, Wyoming
2020 Baghdad International Airport airstrike	2020 in Asia, 21st century in Iraq, Assassinations, Baghdad, January 2020 events
Abu Mahdi al-Muhandis	1954 births, 2020 deaths, Deaths by airstrike, Generals, Terrorists, Assassinated people, Iranian military people
Baghdad International Airport	Airports in Asia, Buildings and structures in Baghdad
Tommy Hancock	1929 births, 2020 deaths, American military personnel of World War II, American bandleaders, American violinists, People from Lubbock, Texas, Musicians from Austin, Texas
Muenster, Texas	Cities in Texas
Ahmed Taleb Ibrahimi	1932 births, Living people, Algerian politicians, Educators
Victoria Pedretti	1995 births, Living people, American movie actors, American television actors, Actors from Philadelphia, Pennsylvania
Elizabeth Lail	1992 births, Living people, American movie actors, American television actors, Actors from Texas, Actors from North Carolina
Asheboro, North Carolina	Cities in North Carolina, County seats in North Carolina
Randolph County, North Carolina	1779 establishments in North Carolina, North Carolina counties
Penn Badgley	1986 births, American child actors, American movie actors, American television actors, American stage actors, American voice actors, American rock singers, American rock musicians, Musicians from Maryland, Singers from Maryland, Actors from Baltimore, Maryland, Living people
Basil Watts	1926 births, 2019 deaths, Rugby league players, Sportspeople from Yorkshire, People from York
Sam Wyche	1945 births, 2020 deaths, Deaths from melanoma, American football coaches, American football quarterbacks, Buffalo Bills players, Cincinnati Bengals players, Detroit Lions players, Washington Redskins players, Organ transplant recipients, Sportspeople from Atlanta, Georgia, Politicians from Georgia (U.S. state), Sportspeople from South Carolina, Politicians from South Carolina, US Republican Party politicians
Pickens, South Carolina	Cities in South Carolina, County seats in South Carolina
Craig Roberts	1991 births, Living people, Movie directors, Welsh writers, Welsh movie actors, Welsh television actors, Welsh stage actors, Welsh voice actors, People from Newport
Jennifer Ehle	Tony Award winning actors, BAFTA Award winning actors, Satellite Award winners, 1969 births, Living people, British movie actors, British television actors, British stage actors, British voice actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from North Carolina, People from Asheville, North Carolina, People from Winston-Salem, North Carolina
Student transport	Transport
2021 Jamaica general election	21st century in Jamaica
Loose Women	2000s British television series, 2010s British television series, Television talk shows, English-language television programs
Tehrik-e-Istiqlal	Political parties in Pakistan
Blanchard, Louisiana	Towns in Caddo Parish, Louisiana
Haughton, Louisiana	Towns in Louisiana
Oakdale, California	Cities in California, Settlements in Stanislaus County, California
Independence Airport	Airports in California, Inyo County, California
Valley View, Texas	Cities in Texas
Hancock County, Indiana	1820s establishments in Indiana, 1828 establishments in the United States, Indiana counties
Irish languages	Language-related lists
Helsinki Airport	Airports in Europe, Helsinki, Vantaa
Vierne	Surnames
That Time I Got Reincarnated as a Slime	Light novels
Nathaël Julan	1996 births, 2020 deaths, Accidental deaths in France, French footballers, Road accident deaths
Bogusław Polch	1941 births, 2020 deaths, Polish artists
Derek Acorah	1950 births, 2020 deaths, Deaths from pneumonia, Deaths from sepsis, Disease-related deaths in England, Celebrity Big Brother contestants, English footballers, English television personalities, Liverpool F.C. players, People from Liverpool, Television personalities from Lancashire
Ian Lavery	1963 births, Living people, Trade unionists, Labour MPs (UK), UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Stella Maris Leverberg	1962 births, 2020 deaths, Deaths from cardiac arrest, Argentine politicians, Road accident deaths, Trade unionists
Mónica Echeverría	1920 births, 2020 deaths, Chilean writers, Chilean journalists, Chilean actors, Chilean educators, Feminist writers, People from Santiago
Raghunath Murmu	Indian educators, Indian writers
Gibson County, Indiana	1810s establishments in Indiana Territory, 1813 establishments in the United States, Indiana counties
Cashion Community, Texas	Cities in Texas
Bridgeport, California	Census-designated places in California, County seats in California, Mono County, California
Mr In-Between	2001 movies, 2000s crime thriller movies, British movies
Unbioctium	Periodic table, Chemical elements
Sam and Friends	1950s television series, 1960s television series, American television series, Comedy television series, English-language television programs
Herbert Binkert	1923 births, 2020 deaths, German football managers, German footballers, People from Saarland
Júlio Castro Caldas	1943 births, 2020 deaths, People from Lisbon, Portuguese lawyers, Portuguese politicians
Zdravko Tomac	1937 births, 2020 deaths, Communist politicians, Croatian politicians
Antoni Morell Mora	1941 births, 2020 deaths, Ambassadors, Andorran people, Deaths from heart failure, Diplomats, Essayists, Lawyers, People from Barcelona
Prince Frederick of Great Britain	British royalty
Socialist Studies	Political parties in the United Kingdom, 1991 establishments in the United Kingdom, Socialism
Islam in Delhi	Delhi, Islam in India
Knox County, Indiana	1790 establishments in the United States, Indiana counties
La Feria, Texas	Cities in Texas
Iglesia Antigua, Texas	Census-designated places in Texas
Bishop, Texas	Cities in Texas
Orange Cove, California	Cities in California, Settlements in Fresno County, California
Saint-Julien-en-Genevois	Communes in Haute-Savoie, Subprefectures in France
Alexander Frater	1937 births, 2020 deaths, British journalists, Australian journalists
John Baldessari	1931 births, 2020 deaths, American photographers, American sculptors, People from Los Angeles, California, People from Santa Monica, California
Lorenza Mazzetti	1927 births, 2020 deaths, Italian movie directors, Italian painters, Italian writers, Italian photographers
K. S. S. Nambooripad	Indian scientists, Computer scientists, Mathematicians, 1935 births, 2020 deaths
T. N. Chaturvedi	1929 births, 2020 deaths, Deaths from myocardial infarction, Governors of Karnataka, Governors of Kerala
Quds Force	Military, Iran
Anri Jergenia	1941 births, 2020 deaths, People from Saint Petersburg, Prime Ministers of Abkhazia
Woking F.C.	1889 establishments in England, English football clubs, Surrey
Clovis, California	Cities in California, Settlements in Fresno County, California
Gustine, California	Cities in California, Settlements in Merced County, California
Yukiko Miyake	1965 births, 2020 deaths, Suicides by drowning, Japanese politicians, Politicians from Washington, D.C.
Lina Medina	1933 births, Living people, Peruvian people
Louis Siminovitch	1920 births, 2021 deaths, Canadian scientists, Canadian educators, Biologists, Medical researchers, Writers from Montreal
Muscular dystrophy	Diseases
Duchenne muscular dystrophy	Diseases
Bernice Falk Haydu	1920 births, 2021 deaths, American military personnel of World War II, American aviators, American activists, People from Montclair, New Jersey
Lorraine Rodgers	1920 births, 2018 deaths, People from Park Ridge, Illinois, American military personnel of World War II, Military people from Illinois
Women Airforce Service Pilots	American aviators, American military personnel of World War II
Charles Burrell (musician)	1920 births, Living people, American jazz musicians, American guitarists, Musicians from Ohio, People from Toledo, Ohio
Kenneth McAlpine	1920 births, Living people, British racecar drivers, Sportspeople from Surrey
Ted Knap	1920 births, Living people, American journalists, American political commentators, Writers from Milwaukee, Wisconsin
Dante Exum	1995 births, Living people, Australian basketball players, Cleveland Cavaliers players, Sportspeople from Melbourne, Utah Jazz players
Fossil water	Bodies of water
Yandex	Web browsers, Companies of Russia, Moscow, Companies listed on NASDAQ
Nubian Sandstone Aquifer System	Aquifers, Geography of Africa, Drainage basins
Walter Ormeño	1926 births, 2020 deaths, Association football goalkeepers, Peruvian footballers, People from Lima
Dennis Brown	1957 births, 1999 deaths, Jamaican singers, Reggae musicians, People from Kingston, Jamaica
Nute Gunray	Fictional characters introduced in 1999, Star Wars characters
Central retinal artery	Eye anatomy, Blood vessels
War Powers Resolution	United States federal legislation
Mike Fitzpatrick	1963 births, 2020 deaths, Deaths from melanoma, Cancer deaths in Pennsylvania, Cancer survivors, American lawyers, United States representatives from Pennsylvania, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
Levittown, Pennsylvania	Census-designated places in Pennsylvania
Chicago Seven	1960s in Chicago
Poets' Corner	British literature, History of London, Westminster Abbey
Indian National Army	1942 establishments, 1945 disestablishments, 20th century in Asia, British India, History of India, Indian independence movement, Military of India, National liberation movements, World War II
Lorüns	Cities and towns in Vorarlberg
Blons	Cities and towns in Vorarlberg
Brand, Vorarlberg	Cities and towns in Vorarlberg
Bregenz (district)	Districts of Vorarlberg
Dornbirn (district)	Districts of Vorarlberg
EVO Smart Console	Video game consoles
Feldkirch (district)	Districts of Vorarlberg
Klösterle, Austria	Cities and towns in Vorarlberg
Miserable Faith	C-rock, Chinese_music
Burnett County, Wisconsin	19th-century establishments in Wisconsin, 1865 establishments in the United States, Wisconsin counties
Calumet County, Wisconsin	1850 establishments in Wisconsin, Wisconsin counties
Chippewa County, Wisconsin	1840s establishments in Wisconsin Territory, 1845 establishments in the United States, Wisconsin counties
Crawford County, Wisconsin	1818 establishments in the United States, Wisconsin counties
Door County, Wisconsin	Door County, Wisconsin, Wisconsin counties, 1850s establishments in Wisconsin, 1851 establishments in the United States
Douglas County, Wisconsin	1854 establishments in Wisconsin, Wisconsin counties
Jack Frost	Fictional British people
FreeSpace 2	1999 video games, Simulator video games
Rekt Galaxies	Simulator video games
Boolean expression	Boolean algebra
Dunn County, Wisconsin	1850s establishments in Wisconsin, 1857 establishments in the United States, Wisconsin counties
Florence County, Wisconsin	Wisconsin counties
Forest County, Wisconsin	Wisconsin counties
Iron County, Wisconsin	Wisconsin counties
Ludesch	Cities and towns in Vorarlberg
Jackson County, Wisconsin	Jackson County, Wisconsin, 1850s establishments in Wisconsin, 1853 establishments in the United States
Lech am Arlberg	Ski areas and resorts in Austria, Cities and towns in Vorarlberg
Nüziders	Cities and towns in Vorarlberg
Sankt Gerold	Cities and towns in Vorarlberg
Silbertal	Cities and towns in Vorarlberg
Stallehr	Cities and towns in Vorarlberg
Kitzbühel District	Districts of Tyrol (state)
Thüringen, Austria	Cities and towns in Vorarlberg
Mäder	Cities and towns in Vorarlberg
Schruns	Cities and towns in Vorarlberg
Leonard Boyarsky	Living people, Video game designers
Thüringerberg	Cities and towns in Vorarlberg
Vandans	Cities and towns in Vorarlberg
Gaschurn	Cities and towns in Vorarlberg
Tschagguns	Cities and towns in Vorarlberg
Hohenems	Cities and towns in Vorarlberg
Andelsbuch	Cities and towns in Vorarlberg
Fayette County, Indiana	1819 establishments in Indiana, Indiana counties
Kerens, Texas	Cities in Texas
88 (number)	Integers
Wolfurt	Cities and towns in Vorarlberg
Gaißau	Cities and towns in Vorarlberg
Angels (TV series)	1970s British workplace television series, 1980s British workplace television series, BBC television dramas, English-language television programs
Tommy Docherty	1928 births, 2020 deaths, Arsenal F.C. players, Chelsea F.C. players, Scottish footballers, Scottish football managers, Sportspeople from Glasgow
White Palace (movie)	1990 romance movies, 1990 drama movies, 1990s erotic movies, American romantic drama movies, English-language movies
Ben Simmons	1996 births, Living people, Australian basketball players, Philadelphia 76ers players, Sportspeople from Melbourne
Khamis Al-Dosari	1973 births, 2020 deaths, Deaths from brain cancer, People from Riyadh, Saudi Arabian footballers, 1996 Summer Olympics, 1998 FIFA World Cup players, 2002 FIFA World Cup players
Rosena Allin-Khan	1977 births, Living people, Alumni of the University of Cambridge, English physicians, Labour MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Women politicians
Know Your Meme	Websites
Reuben Hersh	2020 deaths, 1927 births, American mathematicians, American philosophers, American academics, Writers from New York City, Writers from New Mexico, Scientists from New York City, Scientists from New Mexico, People from Santa Fe, New Mexico
Larry Gogan	1938 births, 2020 deaths, DJs, Irish radio personalities, People from Dublin
Ahivarn	Hindus, Legends
Widows (2018 movie)	2018 drama movies, Movies shot in Chicago, Illinois, Movies set in Chicago, Illinois, American heist movies, Movies composed by Hans Zimmer, American drama movies
Second-wave feminism	Feminism
American Academy of Arts and Letters	Manhattan, 1904 establishments, Museums in New York
Martin Bundi	1932 births, 2020 deaths, Swiss historians, Swiss politicians, Swiss writers
Fermi-Dirac statistics	Quantum mechanics
Charles Fletcher Lummis	1859 births, 1928 deaths, American explorers, American historians, Journalists from California
Ball valve	Hardware (mechanical)
Alberschwende	Cities and towns in Vorarlberg
Bezau	Cities and towns in Vorarlberg
Bildstein	Cities and towns in Vorarlberg
Bizau	Cities and towns in Vorarlberg
Buch, Austria	Cities and towns in Vorarlberg
Riefensberg	Cities and towns in Vorarlberg
Hittisau	Cities and towns in Vorarlberg
Innsbruck-Land District	Districts of Tyrol (state)
Eichenberg, Austria	Cities and towns in Vorarlberg
Traiskirchen	Cities and towns in Lower Austria
Hard, Austria	Cities and towns in Vorarlberg
Lauterach	Cities and towns in Vorarlberg
Fakhruddin G. Ebrahim	1928 births, 2020 deaths, Pakistani politicians, Pakistani lawyers, Pakistani judges
Doren	Cities and towns in Vorarlberg
Stretford	Towns in Greater Manchester
Au, Vorarlberg	Cities and towns in Vorarlberg
Kennelbach	Cities and towns in Vorarlberg
Aleksandr Shirvindt	1934 births, Living people, Russian movie actors, Russian television actors, Soviet movie actors, Soviet television actors, Soviet writers, Russian stage actors, Russian voice actors, Russian screenwriters, Writers from Moscow, Actors from Moscow
Rankweil	Cities and towns in Vorarlberg
Russell Bannock	1919 births, 2020 deaths, Autobiographers, Aviators, Canadian centenarians, Canadian military personnel of World War II, Canadian writers, People from Edmonton
Monarchy of Canada	Politics of Canada
Hohenweiler	Cities and towns in Vorarlberg
NPC (meme)	Internet culture
Fußach	Cities and towns in Vorarlberg
Höchst, Austria	Cities and towns in Vorarlberg
Egg, Austria	Cities and towns in Vorarlberg
The Darling Buds of May	Comedy-drama television series, 1991 television series debuts, 1993 television series endings, British television series
