Kenning	Medieval literature, Poetry, Iceland
Clive Lewis (politician)	1971 births, Living people, British journalists, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Labour MPs (UK), Politicians from London, Writers from London
Lisa Nandy	1979 births, Living people, People from Manchester, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Labour MPs (UK)
Keir Starmer	1962 births, Living people, Labour MPs (UK), Leaders of the Labour Party (UK), Leaders of the Opposition (United Kingdom), Members of the British House of Commons for English constituencies, Politicians from London, Privy Councillors (UK), UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Jonathan Ashworth	1978 births, Living people, Labour MPs (UK), UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Dan Jarvis	1972 births, Living people, British mayors, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Labour MPs (UK), People from Nottingham
David Lammy	1972 births, Living people, Politicians from London, Labour MPs (UK), UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Jess Phillips	1981 births, Living people, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Labour MPs (UK), People from Birmingham
Rob Burrow	1982 births, Living people, English rugby union players, Sportspeople from Yorkshire
Jason Becker	1969 births, Living people, American rock guitarists, American composers, American songwriters, Musicians from California, Writers from California, People from Richmond, California
Ezio Bosso	1971 births, 2020 deaths, Deaths from motor neurone disease, Italian composers, Italian conductors, Italian musicians, People from Turin
O. J. Brigance	1969 births, Living people, American football linebackers, Baltimore Ravens players, Miami Dolphins players, New England Patriots players, Sportspeople from Houston, Texas, St. Louis Rams players
Marián Čišovský	1987 births, 2020 deaths, Slovak footballers, Deaths from motor neurone disease
Rickey Dixon	1966 births, 2020 deaths, Deaths from motor neurone disease, American football cornerbacks, American football safeties, Cincinnati Bengals players, Oakland Raiders players, Sportspeople from Dallas, Texas
Vic Gilliam	1953 births, 2020 deaths, Deaths from motor neurone disease, State legislators of the United States, Actors from Ohio, Actors from Oregon, Politicians from Ohio, Politicians from Oregon, US Republican Party politicians
Silverton, Oregon	Cities in Oregon
Euan MacDonald	Year of birth missing (living people), Living people, Activists, Scottish businesspeople
Rob Rensenbrink	1947 births, 2020 deaths, Deaths from motor neurone disease, Dutch footballers, Sportspeople from Amsterdam
Luton Shelton	1985 births, 2021 deaths, Deaths from motor neurone disease, Jamaican sportspeople, Footballers
Paul Shrubb	1955 births, 2020 deaths, Deaths from motor neurone disease, English footballers, English football managers
Archie Yates	2009 births, Living people, British child actors
Baintha Brakk	Mountains of Pakistan, Gilgit-Baltistan, Karakoram
Harmonic series (mathematics)	Calculus
Au, St. Gallen	Municipalities of St. Gallen
Balgach	Municipalities of St. Gallen
Oberriet	Municipalities of St. Gallen
Diepoldsau	Municipalities of St. Gallen
Dublin, Texas	Cities in Texas
Lott, Texas	Cities in Texas
Rüthi	Municipalities of St. Gallen
New England (New South Wales)	Regions of New South Wales
Ronda, North Carolina	Towns in North Carolina
Wilkes County, North Carolina	1770s establishments in North Carolina, 1778 establishments in the United States, North Carolina counties
Wilkesboro, North Carolina	Towns in North Carolina, County seats in North Carolina
Dmitri Chesnokov	1973 births, 2019 deaths, Russian footballers
Ward Just	1935 births, 2019 deaths, Deaths from dementia with Lewy bodies, American novelists, American journalists, American political commentators, Writers from Indiana, Writers from Illinois, People from Michigan City, Indiana, People from Waukegan, Illinois, Mental illnesses
Fazle Hasan Abed	1936 births, 2019 deaths, Deaths from glioblastoma, Deaths from respiratory failure, Bangladeshi businesspeople, Order of St Michael and St George
