Collingwood, Victoria	Melbourne
John A. Macdonald	1815 births, 1891 deaths, Politicians from Glasgow, Premiers of Ontario, Privy Councillors (Canada), Privy Councillors (UK), Knights Commander of the Order of St Michael and St George, Knights Grand Cross of the Order of the Bath, Leaders of the Opposition (Canada), Canadian Queen's Counsel
Justice League	Justice League
Even Stevens	2000 television series debuts, Television series by Disney, English-language television programs
Trojan asteroid	Trojan asteroids
Christopher Lloyd	1938 births, Living people, Actors from Stamford, Connecticut, American movie actors, American stage actors, American television actors, American voice actors, Emmy Award winning actors
The Buzz on Maggie	2005 television series debuts, 2010 television series endings, Animated television series, Television series by Disney, English-language television programs
Green Arrow	DC Comics superheroes
Aquaman	DC Comics superheroes, DC Comics adapted into movies, Fictional characters introduced in 1941, Justice League
Green Lantern	DC Comics superheroes, DC Comics adapted into movies
August Kopff	1882 births, 1960 deaths, German astronomers
Great Yarmouth	Towns in Norfolk, Ports and harbours of the United Kingdom
S/2004 S 3	Saturn's moons
S/2004 S 4	Saturn's moons
S/2004 S 6	Saturn's moons
Joel Hastings Metcalf	1866 births, 1925 deaths, American astronomers, Scientists from Massachusetts, Scientists from Vermont
Imaginary number	Number theory
Eric Maskin	1950 births, Living people, American economists, American Nobel Prize winners, Harvard University alumni, Harvard University faculty, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Scientists from New York City
Roger Myerson	1951 births, Living people, American economists, American Nobel Prize winners, American political scientists, Harvard University alumni, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Scientists from Boston, Massachusetts
Mario Capecchi	1937 births, Living people, American academics, American geneticists, American Nobel Prize winners, Harvard University alumni, Naturalized citizens of the United States, People from Verona, Wolf Prize winners, Italian Nobel Prize winners
Wizard	Magic (paranormal)
Kaunas	Cities in Lithuania
Warp drive	Star Trek
Christian Heinrich Friedrich Peters	American astronomers, German astronomers, 1813 births, 1890 deaths
Soest, Germany	Towns in North Rhine-Westphalia, Soest Rural District
History of Europe	History of Europe
World Games	World Games
Peace of Westphalia	1648, Diplomacy, Treaties, Eighty Years' War, Thirty Years' War, 1640s in Europe, Holy Roman Empire, Münster, Osnabrück, Protestant Reformation, May events, October events
Flanimals	2004 books, Children's books
Trolleybus	Trolleybus, Buses
Van Hool	Transport companies of Europe, Bus transport, Companies of Belgium, Antwerp (province)
Battle of Antietam	American Civil War battles, 1862 in the United States, Maryland Campaign, 19th century in Maryland, September 1862 events
Spirited Away	2001 movies, Japanese movies, Anime, Studio Ghibli, Movies directed by Hayao Miyazaki, Movies that won the Best Animated Feature Academy Award
Rachel Weisz	1970 births, Living people, Academy Award winning actors, Actors from London, Alumni of the University of Cambridge, English movie actors, English television actors, English voice actors, Jewish British actors, Jewish models, Models from London
Old French	French language
Deborah Sampson	1760 births, 1827 deaths, American revolutionaries, People from Massachusetts
Groundskeeper Willie	The Simpsons characters, Fictional characters introduced in 1991
Dialectic	Philosophy
Hans Luther	1879 births, 1962 deaths, Bankers, Chancellors of the Weimar Republic, Ambassadors of Germany, German lawyers, German mayors (Weimar Republic), Government ministers of the Weimar Republic, Politicians from Berlin, Presidents of the Weimar Republic
Crossover (music)	Music industry
Crossover	Land vehicles, Automobile body styles
Council of Trent	Councils, Trentino-Alto Adige/Südtirol, 16th century in Italy, 1545 establishments, 1563 disestablishments, 1540s establishments in Europe, Disestablishments in Italy, Counter-Reformation
Du gamla, du fria	National anthems, Swedish music
Gospel of Matthew	Gospels, New Testament books
Gospel of Mark	Gospels, New Testament books
Gospel of Luke	Gospels, New Testament books
Gospel of John	Gospels, New Testament books
Sofia Rotaru	1947 births, Living people, Ukrainian singers, Ukrainian actors, Soviet actors, Soviet singers
Epistle to the Romans	Pauline epistles, New Testament books
Moe Szyslak	The Simpsons characters, Fictional characters introduced in 1989
First Epistle to the Corinthians	Pauline epistles, New Testament books
Epistle to the Hebrews	Pauline epistles, New Testament books
Alan Kuo	1981 births, C-pop singers, Living people, Singers, Songwriters, Taiwanese actors, Taiwanese singers
C-rock	C-rock
Cleo Lemon	1979 births, Living people, African American players of American football, American football quarterbacks, Baltimore Ravens players, Sportspeople from Mississippi
Reformed churches	Calvinism
Augsburg Confession	1530, Augsburg, Protestantism in Germany, History of Germany, Lutheranism, Protestant theology, Christian creeds, 16th century works
Norbert Brainin	1923 births, 2005 deaths, Austrian Jews, British violinists, Jewish British musicians, Musicians from Vienna, Naturalised citizens of the United Kingdom, Refugees from Nazism
Amadeus Quartet	String quartets
Valeri Brainin	1948 births, Living people, German poets, Jewish German musicians, Jewish German writers, Jewish musicians, Musicologists, Russian Jews, Russian musicians, Russian poets, Soviet Jews
Partisan Review	American magazines
List of Russian language poets	Lists of writers, Russian poets, Russia-related lists, Russian language
Blue-eyed soul	Soul music, R&B music
Recherswil	Municipalities of the canton of Solothurn
Boston, Lincolnshire	Boston, Lincolnshire
Stade	Towns in Lower Saxony
Stade (district)	Districts of Lower Saxony
Hasselt, Netherlands	Cities in the Netherlands, Settlements in Overijssel, Former municipalities of Overijssel
Chain letter	E-mail, Postal service
Stanisław Ulam	1909 births, 1984 deaths, American mathematicians, Jewish American academics, Jewish American scientists, Naturalized citizens of the United States, Polish Jews
Reichsuniversität Straßburg	Nazism, Strasbourg, Colleges and universities in France, 1941 establishments in Europe, 1944 disestablishments, 1940s establishments in France, 20th century disestablishments in France, 1940s disestablishments in Europe
Somatosensory system	Sensory system
Schandmaul	German rock bands, Folk metal bands
Flash (tattoo)	Body art
Itch	Symptoms
Tony Hibbert	English footballers, Sportspeople from Liverpool, 1981 births, Living people, Premier League players
Leighton Baines	1984 births, Living people, English footballers, Sportspeople from Merseyside, Premier League players
Joseph Yobo	1980 births, Living people, Nigerian footballers
Joleon Lescott	1982 births, Living people, Black British sportspeople, English footballers, Manchester City F.C. players, Sportspeople from Birmingham, Premier League players
Mikel Arteta	1982 births, Living people, Spanish footballers, People from San Sebastian
John Winter	1967 births, 2007 deaths, Businesspeople from Florida, American meteorologists, Scientists from Florida, People from Tampa, Florida
Saskia van Uylenburgh	1612 births, 1642 deaths, Dutch models
Ecliptic	Celestial mechanics
Janggu	Drums, Korean music
Kkwaenggwari	Percussion instruments, Korean music
Singapore Changi Airport	Transport in Singapore, Airports in Asia, Buildings and structures in Singapore, Changi, 1981 establishments in Asia, 1980s establishments in Singapore
Middle class	Economics, Social groups
No Mercy (2007)	2007 in American television, 2007 in professional wrestling, Sports in Chicago, Illinois, WWE No Mercy, 2007 in Illinois
Reverse osmosis	Water
Transport Layer Security	Cryptography, Internet standards, Internet protocols, Communication
Democratic-Republican Party	Political parties in the United States, 1792 establishments in the United States, 1820s disestablishments in North America, 19th-century disestablishments in the United States
Strict construction	Law
Race Horses (band)	2005 establishments in the United Kingdom, 2010s disestablishments in the United Kingdom, British pop music groups, Musical groups disestablished in 2012, Musical groups established in 2005, Welsh musical groups, 2000s establishments in Wales
Assisi	Towns in Italy, World Heritage Sites in Italy, Settlements in Umbria
Federalist Party	Political parties in the United States, 1792 establishments in the United States, 1816 disestablishments, 1810s disestablishments in the United States
Special Forces Command	Military, Turkey
Coalition	Diplomacy
International relations	International relations
Political science	Social sciences
Thnks fr th Mmrs	2007 songs, Fall Out Boy songs
That's What You Get	2008 songs, Paramore songs, Pop rock songs
Dimensionless quantity	Mathematics
Dancing with the Stars	2004 television series debuts, 2000s television series, 2010s television series, Dancing with the Stars, ABC network shows
Tartu	Cities in Estonia, Hanseatic League
Infinity on High	2007 albums, Fall Out Boy albums, Island Records albums, Pop punk albums, Rock albums
Yellow Submarine	The Beatles, Animated movies, English-language movies, Movies with underwater settings, 1968 comedy movies
Discrete cosine transform	Technology
Donald Tusk	1957 births, Living people, Presidents of the European Council, People from Gdańsk, Prime Ministers of Poland
French polish	Woodworking
Representative	Basic English 850 words
Irregular bone	Bones
Representation (politics)	Politics
Lag	Video games
Allotment	Ancient Greece, Politics
Round Table	Arthurian legend
This Ain't a Scene, It's an Arms Race	2007 songs, Fall Out Boy songs
The Carpal Tunnel of Love	2007 songs, Fall Out Boy songs
The Take Over, the Breaks Over	Fall Out Boy songs, 2007 songs
Doge	Heads of state, Government occupations
Valverde Province	Provinces of the Dominican Republic, 1959 establishments in North America, 1950s establishments in the Dominican Republic
Serket	Egyptian gods and goddesses
Tempera	Painting, Paints
Decision-making	Psychology
Trichotillomania	Impulse control disorders
Reign of Terror	French Revolution, Terrorism, 1793, 1794 in France
Political faction	Politics
French Constitution of 1791	1791, 1790s in France, Constitutions
Knights of the Round Table	Arthurian legend, Fictional knights
Executive (government)	Government
Intergovernmental Panel on Climate Change	1988 establishments, International environmental organizations, United Nations specialized agencies, Climate change
Zimmermann Telegram	World War I
Battle of Stalingrad	1942, 1943 in Europe, 1940s in the Soviet Union, Battles involving Germany, Battles involving the Soviet Union, European battles of World War II, Volgograd
World War I reparations	World War I
Richard III (play)	Plays by William Shakespeare, Plays based on British history
Lojban	Constructed languages
Annulment	Family, Relationships, Roman Catholicism
Osroene	Former countries in Asia
BRIT Awards	Music awards
Sound of the Underground	Girls Aloud albums, Debut albums, 2003 albums, Dance pop albums
What Will the Neighbours Say?	Girls Aloud albums, 2004 albums
Chemistry (album)	Girls Aloud albums, 2005 albums
The Sound of Girls Aloud	Girls Aloud albums, 2006 albums
Tangled Up	Girls Aloud albums, 2007 albums, Pop albums
Oil paint	Painting, Paints
John Law	People from Edinburgh, Economists, 1671 births, 1729 deaths
List of The Simpsons characters	The Simpsons characters, Lists of television characters
Edicts of Ashoka	Buddhist texts, Religion in India
Proselytism	Religious terminology, Religious conversion
Ken Hitchcock	1951 births, Ice hockey people from Alberta, Jack Adams Award winners, Living people, Sportspeople from Edmonton
Armistice	War
Armistice with Germany (Compiègne)	1918 in Europe, 1910s in France, World War I, 1910s in Germany, November events
WWE SmackDown	1999 American television series debuts, American television series, WWE SmackDown!, UPN network shows, English-language television programs
Nationwide Arena	Sports buildings in the United States, Columbus, Ohio, Buildings and structures in Ohio, Arena Football League, 2000 establishments in the United States, 20th-century establishments in Ohio
The Beatles (album)	The Beatles albums, 1968 albums, Rock albums
Albert Fert	1938 births, Living people, French academics, French Nobel Prize winners, French physicists, People from Occitanie, Wolf Prize winners
Peter Grünberg	1939 births, 2018 deaths, German academics, German Nobel Prize winners, German physicists, Wolf Prize winners
Easter eggplant	Nightshades, Vegetables, Fruits, Solanum
Sienna Guillory	1975 births, Living people, English models, English movie actors, English television actors
Super Mario Bros. 2	1988 video games, Game Boy Advance games, Mario platform games, Nintendo Entertainment Analysis and Development games, Nintendo Entertainment System games, Nintendo Research & Development 2 games, Super Nintendo Entertainment System games, Video game remakes, Virtual Console games
Sierra Mist	Soft drinks
Khan (title)	Feudalism, Heads of state
Crime in Russia	Crime by country, Russia
Crime in India	Crime in India
Birthmark	Skin
Pskov	Capital cities in Russia
Perth, Scotland	Cities in Scotland, Port cities and towns of the North Sea, Port cities and towns of Scotland
Nevermore	Thrash metal bands, Death metal bands, Musical groups from Seattle, Washington, Musical groups established in 1991, 1991 establishments in the United States, 1990s establishments in Washington (state)
Machine Head	1990s American music groups, 2000s American music groups, 2010s American music groups, Thrash metal bands, Nu metal bands, American heavy metal bands, Musical groups from Oakland, California, Roadrunner Records
Fritz Haber Institute of the MPG	Research organizations in Europe, Berlin, 1911 establishments in Europe, 1910s establishments in Germany
Microformat	Internet
VCard	E-mail
British War Medal	Military of the United Kingdom, Orders, decorations, and medals of the United Kingdom
Michel Fourniret	1942 births, 2021 deaths, Deaths from respiratory failure, Child sexual abusers, French criminals, French prisoners, Kidnappers, People from Grand Est, Rapists, Serial killers
Amber-coloured salamander	Hynobius
Clouded Salamander	Hynobius
Pontius Pilate	1st century BC births, 1st century BC deaths, Roman people, New Testament people
Ezo salamander	Hynobius
Asiatic salamander	Salamanders
Stockbroker	Financial occupations, Stock market
Kori salamander	Salamanders
Hynobius amjiensis	Hynobius
Zutphen	Cities in the Netherlands, Settlements in Gelderland, Municipalities of Gelderland
Satu Mare	County capitals of Romania, Municipalities of Romania
Schwaz	Cities and towns in Tyrol (state)
Philadelphia Phillies	Philadelphia Phillies, 1884 establishments in the United States, 1880s establishments in Pennsylvania
Marc Dutroux	1956 births, Living people, People from Brussels-Capital Region, Child sexual abusers, Drug dealers, People with antisocial personality disorder, Prisoners sentenced to life imprisonment, Rapists, Robbers, Serial killers, Thieves
Trento	Cities in Trentino-Alto Adige/Südtirol, Regional capitals in Italy
Znojmo	Cities in the Czech Republic
Candelaria Municipality	Municipalities of Campeche, 1998 establishments in North America, 1990s establishments in Mexico
Šilalė	Cities in Lithuania
Rosignano Solvay	Towns in Tuscany
Rolando Filidei	Italian sculptors, 1914 births, 1980 deaths
Diplom	Education in Germany, Austria, Switzerland, Greece
Traralgon, Victoria	Cities in Victoria
Yerzin, Salih Yusupovich	Tatars, Business people, 1830 births, 1911 deaths
Tatars	Tatars
Gupta Empire	History of India, History of Bangladesh, Royal dynasties, 4th-century establishments, 6th-century disestablishments, Establishments in Asia, Disestablishments in Asia
North Melbourne Football Club	Australian Football League
England national football team	National football teams, Football in England, The Football Association, UEFA, English football clubs
Portman Road	Football stadiums in England, Ipswich, 1884 establishments in England
Norwich City F.C.	Premier League clubs, Norwich
Queens Park Rangers F.C.	Premier League clubs, 1882 establishments in England
List of Bangkok universities	Lists of universities, Colleges and universities in Thailand, Bangkok
List of palaces in Bangkok	Lists of buildings, Palaces, Buildings and structures in Bangkok, Thai culture, Asia-related lists
List of sport venues in Bangkok	Sports buildings, Sports lists, Sport in Thailand, Buildings and structures in Bangkok
Watford F.C.	English football clubs, Watford, 1881 establishments in England
Sheffield United F.C.	English football clubs, Sheffield, 1889 establishments in England
Barnsley F.C.	English football clubs, 1887 establishments in Europe, 1880s establishments in England
Burnley F.C.	Premier League clubs, 1882 establishments in England, Sport in Lancashire
Azua Province	Provinces of the Dominican Republic
Cardiff City F.C.	Welsh football clubs, Cardiff, 1899 establishments in the United Kingdom, 1890s establishments in Wales
Colchester United F.C.	English football clubs, 1937 establishments in England
Coventry City F.C.	Coventry, English football clubs, 1883 establishments in the United Kingdom
Crewe Alexandra F.C.	1877 establishments in England, Crewe, English football clubs
Crystal Palace F.C.	Premier League clubs, Football clubs in London, 1905 establishments in England
Hull City A.F.C.	1904 establishments in England, English football clubs, Kingston upon Hull
Golden Age of India	History of India
Enoch Powell	1912 births, 1998 deaths, Alumni of the University of Cambridge, British academics, British Army people, British military personnel of World War II, Converts to Christianity, Deaths from Parkinson's disease, English Anglicans, English poets, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Former members of the British House of Commons for Northern Irish constituencies, Politicians from Birmingham, Privy Councillors (UK), UK MPs 1950–1951, UK MPs 1951–1955, UK MPs 1955–1959, UK MPs 1959–1964, UK MPs 1964–1966, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, University of Sydney faculty, Writers from Birmingham
Monetarism	Macroeconomics
Super Mario All-Stars	1993 video games, Super Nintendo Entertainment System games, Compilation video games
Super Mario Sunshine	2002 video games, Mario platform games, Nintendo Entertainment Analysis and Development games, Nintendo GameCube-only games
African elephant	Elephants
History of the United Kingdom	History of the United Kingdom
Leeds United F.C.	English football clubs, 1919 establishments in the United Kingdom, 1910s establishments in England
Acts of Union 1707	1707, 18th century in the Kingdom of Great Britain, Acts of the Parliament of the United Kingdom, 1700s in Europe
El Paso, Guyana	Villages, Settlements in South America, Guyana
Provinces of Iran	Provinces of Iran
Counties of Iran	Counties of Iran, Lists of counties, Iran-related lists
Tehran Province	Provinces of Iran
Leicester City F.C.	English football clubs, Leicester, 1884 establishments in England
Damavand County	Counties of Iran
Eslamshahr County	Counties of Iran
Firouzkouh County	Counties of Iran
Karaj County	Counties of Iran
Luton Town F.C.	1885 establishments in England, English football clubs, Luton
Millwall F.C.	English football clubs, 1885 establishments in England
Nazarabad County	Counties of Iran
Pakdasht County	Counties of Iran
Preston North End F.C.	1880 establishments in the United Kingdom, City of Preston, Lancashire, English football clubs, Sport in Lancashire
Rey County	Counties of Iran
Robat-Karim County	Counties of Iran
Savojbolagh County	Counties of Iran
Shahriar County	Counties of Iran
Shemiranat County	Counties of Iran
Tehran County	Counties of Iran
Varamin County	Counties of Iran
The New Den	Football stadiums in London
Les Cayes	Cities in Haiti, 1726 establishments, 18th-century establishments in Haiti, 1720s establishments in North America
Spitz (dog)	Dog breeds
Southampton F.C.	Premier League clubs, Southampton, 1885 establishments in England
Southend United F.C.	English football clubs, 1906 establishments in England
Stoke City F.C.	1863 establishments in England, Premier League clubs, Stoke-on-Trent
Stanley Matthews	1915 births, 2000 deaths, 1950 FIFA World Cup players, 1954 FIFA World Cup players, British military personnel of World War II, Commanders of the Order of the British Empire, Disease-related deaths in England, English autobiographers, English footballers, English football managers, Knights Bachelor, People from Stoke-on-Trent, Sportspeople from Staffordshire
Blackpool F.C.	1887 establishments in Europe, 1880s establishments in England, Blackpool, English football clubs
Articles of Confederation	1781 in North America, Official documents of the United States, 1780s in the United States
History of the United States	History of the United States
Exponential function	Mathematics
Computer file	Computing
File (tool)	Cutting tools
Sheffield Wednesday F.C.	English football clubs, Sheffield, 1867 establishments in England
De Wallen	Amsterdam, Red light districts
Wolverhampton Wanderers F.C.	English football clubs, 1877 establishments in England
A.F.C. Bournemouth	Premier League clubs, Bournemouth, 1899 establishments in England
Jamie Redknapp	1973 births, Living people, English footballers, Sportspeople from Hampshire, Louise Redknapp, Premier League players
Bradford City A.F.C.	Bradford, English football clubs, 1903 establishments in the United Kingdom
Arenal Volcano National Park	National parks in Costa Rica, Alajuela Province
Faded (song)	2006 songs
Emergency (song)	2005 songs, Paramore songs
Roger D. Kornberg	1947 births, Living people, American chemists, American Nobel Prize winners, Harvard University alumni, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Scientists from St. Louis, Missouri, Stanford University faculty
All We Know Is Falling	2005 albums, Paramore albums, Debut albums, Pop punk albums, Rock albums
Businessperson	Occupations, Business people
Werl	Towns in North Rhine-Westphalia, Soest Rural District
Tangent (geometry)	Geometry
History of North America	History of North America
Brentford F.C.	English football clubs, 1889 establishments in England
Harry Redknapp	1947 births, Living people, English football managers, English footballers, Sportspeople from London
Cough	Reflexes, Symptoms
Creation myth	Creation myths
Tarantula	Spiders, Venomous animals
Hunter-gatherer	Anthropology, Everyday life, Hunting
File format	Computer file formats
Lascaux	Caves, Geography of France, World Heritage Sites in France, Nouvelle-Aquitaine, Archaeological sites in France
Bobby Charlton	1937 births, Living people, English footballers, English football managers, Manchester United F.C. players, Sportspeople from Northumberland
Gary Lineker	1960 births, Living people, 1986 FIFA World Cup players, 1990 FIFA World Cup players, English footballers, English sports commentators, Sportspeople from Leicester, Tottenham Hotspur F.C. players
Geoff Hurst	1941 births, 1966 FIFA World Cup players, 1970 FIFA World Cup players, English autobiographers, English cricketers, English football managers, English footballers, Knights Bachelor, Living people, Members of the Order of the British Empire, Sportspeople from Essex, Sportspeople from Lancashire, West Ham United F.C. players
Parliament of Scotland	History of Scotland, Politics of Scotland, 1707 disestablishments, Parliaments, 1700s disestablishments in Europe
Coco Islands	National parks in Costa Rica, Islands of Central America, World Heritage Sites in North America
Decoritidae	Goniatitina
Gastrioceratoidea	Goniatitina
Goniatitina	Goniatitina, Cephalopods
Alf Ramsey	1920 births, 1999 deaths, Deaths from myocardial infarction, English football managers, English footballers, England national football team managers, Sportspeople from Essex
Qom Province	Provinces of Iran
Qom County	Counties of Iran
Markazi Province	Markazi Province
Ashtian County	Counties of Iran, Markazi Province
Arak County	Counties of Iran, Markazi Province
Delijan County	Counties of Iran, Markazi Province
Khomein County	Counties of Iran, Markazi Province
Komeijan County	Counties of Iran, Markazi Province
Mahallat County	Counties of Iran, Markazi Province
Saveh County	Counties of Iran, Markazi Province
Shazand County	Counties of Iran, Markazi Province
Tafresh County	Counties of Iran, Markazi Province
Zarandieh County	Counties of Iran, Markazi Province
E.T. the Extra-Terrestrial	1982 drama movies, 1982 science fiction movies, Academy Award winning movies, American drama movies, American family movies, American science fiction movies, English-language movies, Golden Globe Award winning movies, Movies composed by John Williams, Movies directed by Steven Spielberg, Saturn Award winning movies, United States National Film Registry movies, Universal Pictures movies, Movies set in California
Alex Ferguson	1941 births, Living people, Scottish footballers, Association football forwards, Scottish football managers, Commanders of the Order of the British Empire, Knights Bachelor
Tocharians	Asian people
Information technology	Computers
History of Asia	History of Asia
International Mathematical Olympiad	Mathematics, Competitions
Edmund Phelps	1933 births, Living people, American academics, American economists, American Nobel Prize winners, People from Illinois, Yale University alumni, Columbia University faculty
Nanotechnology	Nanotechnology
Hattem	Hanseatic League, Cities in the Netherlands, Municipalities of Gelderland, Settlements in Gelderland
Alex McLeish	1959 births, Living people, Scottish footballers, Scottish football managers
Óscar Arias	1940 births, Living people, Presidents of Costa Rica
Universal history	History
Brewery	Beer
Butane	Alkanes, Fuel
Liquefied petroleum gas	Chemical compounds
Aerosol spray	Tools, Air pollution, Art materials, Environmental issues
Max Born	1882 births, 1970 deaths, British mathematicians, British Nobel Prize winners, British physicists, German mathematicians, German physicists, Jewish British academics, Jewish British scientists, Jewish German academics, Jewish German scientists, Jewish Nobel Prize winners, Naturalised citizens of the United Kingdom, Nuclear physicists, People from former German territories, People from Wrocław, Refugees from Nazism, Theoretical physicists, German Nobel Prize winners
United Nations Office for Outer Space Affairs	United Nations, Spaceflight
Craig Mello	1960 births, Living people, American academics, American biologists, American Nobel Prize winners, Scientists from New Haven, Connecticut, Yale University alumni
Vicar of Bray	Songs, History of England, Berkshire
Maharishi Mahesh Yogi	1918 births, 2008 deaths, Deaths from natural causes, New religious movements, Spiritual teachers
Bristol City F.C.	English football clubs, 1894 establishments in the United Kingdom
Chesterfield F.C.	English football clubs, 1867 establishments in England
Doncaster Rovers F.C.	English football clubs, 1879 establishments in England
Huddersfield Town F.C.	English football clubs, Huddersfield, 1908 establishments in England
Sanskara	Hinduism, Buddhist terminology
Supernanny	2004 British television series debuts, 2005 American television series debuts, 2011 American television series endings, 2012 British television series endings, 2000s American television series, 2000s British television series, 2010s American television series, 2010s British television series, American reality television series, Channel 4 reality television programmes, English-language television programs
Keyboard (computer)	Computer hardware, Writing tools, Data input
Rhythm guitar	Music
Book of Revelation	New Testament books, Christian eschatology
Theodor Fontane	1819 births, 1898 deaths, German poets, Writers from Brandenburg, Pharmacists
Pachelbel's Canon	Chamber music compositions
Damme	Municipalities of West Flanders
Hit record	Music industry
Pauline epistles	Pauline epistles
Viljandi	Settlements in Estonia
Sinners in the Hands of an Angry God	Speeches, Puritanism, 1741
Physical constant	Physical quantity
Cookstown	Towns in Northern Ireland
Dungannon	Towns in Northern Ireland
Coagh	Villages in Northern Ireland
Stewartstown	Villages in Northern Ireland
Ballymena	Towns in Northern Ireland, Settlements in County Antrim
Society of St. John the Evangelist	Anglicanism, Christian religious orders
Magherafelt	Towns in Northern Ireland
Constituent country	Countries
Leyton Orient F.C.	English football clubs, 1881 establishments in England
Northampton Town F.C.	English football clubs, Northampton, 1897 establishments in the United Kingdom
Counties of Northern Ireland	Counties of Northern Ireland
Nottingham Forest F.C.	English football clubs, Nottingham, 1865 establishments in the United Kingdom
Brian Clough	1935 births, 2004 deaths, British autobiographers, Cancer deaths in England, Deaths from stomach cancer, English footballers, English football managers, Organ transplant recipients, People from North Yorkshire, Sportspeople from Yorkshire
Irish national grid reference system	Political geography, Ireland
Districts of Northern Ireland	Northern Ireland
Post town	Postal services in the United Kingdom
Hudson Motor Car Company	American automobile companies, 1909 establishments in the United States
BT postcode area	Northern Ireland
Northern Ireland Fire and Rescue Service	Northern Ireland
Northern Ireland Ambulance Service	Transport in Northern Ireland, Emergency services, 1995 establishments in the United Kingdom, 20th century establishments in Northern Ireland
Września	Towns in Poland
Police Service of Northern Ireland	Northern Ireland, Law enforcement in the United Kingdom
Grameen Bank	1983 establishments in Asia, Economy of Bangladesh, Banks, Autobiographers, Buildings and structures in Bangladesh, Dhaka, 20th century establishments in Bangladesh
United Kingdom Census 2001	2001 in the United Kingdom, Ethnic groups in the United Kingdom
Hug	Relationships, Emotions, Non-verbal communication
WWE Intercontinental Championship	World Wrestling Entertainment championships, 1979 establishments
List of members of the European Parliament for the United Kingdom, 2004–09	MEPs for the United Kingdom, British politicians, Lists of politicians, United Kingdom-related lists
Polygamy	Marriage, Mating systems
Rickenbach, Solothurn	Municipalities of the canton of Solothurn
Neal Cassady	American LGBT people, Bisexual people, Beat Generation, LGBT writers, Writers from Salt Lake City, Utah, Writers from Colorado, 1926 births, 1968 deaths
Riedholz	Municipalities of the canton of Solothurn
Northern Ireland (European Parliament constituency)	MEPs for the United Kingdom, Politics of Northern Ireland
Feldbrunnen-St. Niklaus	Municipalities of the canton of Solothurn
Rodersdorf	Municipalities of the canton of Solothurn
Beat Generation	Beat Generation
Brill Building	Music industry, Buildings and structures in Manhattan, New York City Designated Landmarks
Chris Stewart	British autobiographers, English drummers, Genesis (band), English writers, 1950 births, Living people
John Silver	1950 births, Living people, English drummers, Genesis (band)
John Mayhew	1947 births, 2009 deaths, Australian drummers, Australian rock musicians, Carpenters, English drummers, English rock musicians, Genesis (band), People from Ipswich
Larch	Conifers
Louise Goodman	English television presenters, Year of birth missing (living people), Living people
Second Epistle to the Corinthians	Pauline epistles, New Testament books
Visby	World Heritage Sites in Sweden, Settlements in Gotland County
Kollam	Cities in India, Cities in Kerala
Aiglun, Alpes-Maritimes	Communes in Alpes-Maritimes
Alpes-Maritimes	Alpes-Maritimes
Communes of France	Communes in France
Cantons of France	Cantons of France
Arrondissements of France	Arrondissements of France
List of arrondissements of France	Lists of arrondissements of France
List of cantons of France	France-related lists, Cantons of France
Cantons of the Ain department	France-related lists, Auvergne-Rhône-Alpes, Cantons of France
Prince Philip, Duke of Edinburgh	1921 births, 2021 deaths, British Anglicans, British Army officers, British military personnel of World War II, British royalty, Danish royalty, Greek people, House of Windsor, Kings and Queens consort of the United Kingdom, Knights and Dames Grand Cross of the Order of the British Empire, Knights of the Garter, Knights of the Thistle, Naturalised citizens of the United Kingdom, Order of Australia, Order of Merit, Order of Merit of the Federal Republic of Germany, Privy Councillors (UK), Recipients of the Decoration for Services to the Republic of Austria, Royal Navy officers, United Kingdom Dukes, Elizabeth II
George IV	1762 births, 1830 deaths, Kings and Queens of the United Kingdom, People Buried in St. George's Chapel at Windsor Castle
William IV of the United Kingdom	1765 births, 1837 deaths, Kings and Queens of the United Kingdom, People Buried in St. George's Chapel at Windsor Castle, Kings and Queens of Hanover
Cantons of the Aisne department	France-related lists, Hauts-de-France, Cantons of France
Communes of the Alpes-Maritimes department	Lists of communes of France, Communes in Alpes-Maritimes
Energy (society)	Energy
Transformer	Electricity, Electronics, Transformers (electrical)
Ballycastle, County Antrim	Towns in Northern Ireland, Settlements in County Antrim
Bangor, County Down	Towns in County Down
Munich (district)	Munich Rural District
Act of Union 1800	History of Ireland, 19th century in the United Kingdom, Acts of the Parliament of the United Kingdom, 1800
Ebersberg (district)	Rural Districts in Upper Bavaria
Freising (district)	Rural Districts in Upper Bavaria
Starnberg (district)	Starnberg (district)
Traunstein (district)	Rural Districts in Upper Bavaria
Berchtesgadener Land	Berchtesgadener Land
Rosenheim (district)	Rosenheim (district)
Banne	Communes in Ardèche
Ardèche	Ardèche
Cantons of the Ardèche department	Ardèche, France-related lists, Cantons of France
Arrondissements of the Ardèche department	Arrondissements of Ardèche, Lists of arrondissements of France
Communes of the Ardèche department	Lists of communes of France, Communes in Ardèche
Accons	Communes in Ardèche
Ailhon	Communes in Ardèche
Aizac	Communes in Ardèche
Muhammad Yunus	1940 births, Living people, Bangladeshi people, Economy of Bangladesh, Bangladeshi Muslims
