Estate (law)	Law
Lynn Harrell	1944 births, 2020 deaths, Deaths from cardiac arrest, Musicians from New York City
Francesco Perrone	1930 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian Olympians
Mohammad Shariff (admiral)	1920 births, 2020 deaths, Pakistani people, Military people
Kim Rhodes	1969 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from Portland, Oregon, Singers from Portland, Oregon
Nur Yerlitaş	1955 births, 2020 deaths, Deaths from brain cancer, Fashion designers, People from Istanbul
Giacomo dalla Torre del Tempio di Sanguinetto	1944 births, 2020 deaths, Deaths from throat cancer, Princes and Grand Masters of the Sovereign Military Order of Malta, People from Rome
List of Grand Masters of the Knights Hospitaller	Princes and Grand Masters of the Sovereign Military Order of Malta
Adjara	Autonomous republics of Georgia (country), 1991 establishments in Europe
Ludwig Hoffmann-Rumerstein	1937 births, Living people, Princes and Grand Masters of the Sovereign Military Order of Malta, Austrian people
Ron Marlenee	1935 births, 2020 deaths, United States representatives from Montana, People from Bozeman, Montana, US Republican Party politicians
South Berwick, Maine	Towns in Maine
York County, Maine	1630s establishments in the Thirteen Colonies, 1636 establishments, Maine counties
Alfred, Maine	Towns in Maine, County seats in Maine
Guria	Regions of Georgia (country)
Auburn, Maine	Cities in Maine, County seats in Maine
Ellsworth, Maine	Cities in Maine, County seats in Maine
Rockland, Maine	Cities in Maine, County seats in Maine
Wiscasset, Maine	Towns in Maine, County seats in Maine
Penobscot County, Maine	19th-century establishments in Maine, 1816 establishments in the United States, Maine counties
Piscataquis County, Maine	Maine counties
Sagadahoc County, Maine	19th-century establishments in Maine, 1854 establishments in the United States, Maine counties
Paris, Maine	Towns in Maine, County seats in Maine
Oxford County, Maine	19th-century establishments in Maine, 1805 establishments in the United States, Maine counties
Belfast, Maine	Cities in Maine, County seats in Maine
Waldo County, Maine	19th-century establishments in Maine, 1827 establishments in the United States, Maine counties
Machias, Maine	Towns in Maine, County seats in Maine
Imereti	Regions of Georgia (country)
Washington County, Maine	18th-century establishments in Maine, 1789 establishments in the United States, Maine counties
South Paris, Maine	Census-designated places, Settlements in Maine
Kakheti	Regions of Georgia (country)
Kvemo Kartli	Regions of Georgia (country)
Mtskheta-Mtianeti	South Ossetia, Regions of Georgia (country)
Racha-Lechkhumi and Kvemo Svaneti	South Ossetia, Regions of Georgia (country)
Samegrelo-Zemo Svaneti	Regions of Georgia (country)
Samtskhe-Javakheti	Regions of Georgia (country)
The Nebraskan	1953 movies, 1950s western movies, American western movies, Movies directed by Fred F. Sears
Shida Kartli	Regions of Georgia (country), South Ossetia
Invaders from Mars (1953 movie)	1953 movies, 1950s science fiction movies, American science fiction movies, Movies set on Mars
Mkhare	Regions of Georgia (country)
House of Wax	1953 movies, 1950s thriller movies, 1950s horror movies, American horror movies, American thriller movies, Movies directed by Andre DeToth
Cole Younger, Gunfighter	1958 movies, 1950s western movies, American western movies, Movies based on books
King of the Khyber Rifles (movie)	1953 movies, 1950s adventure movies, American adventure movies, Movies based on books, Movies directed by Henry King
Eddy Pieters Graafland	1934 births, 2020 deaths, Dutch football managers, Dutch footballers, Sportspeople from Amsterdam
Ayutla, San Marcos	Settlements in Guatemala
Erik Súñiga	1975 births, 2020 deaths, Deaths from pancreatic cancer, Salvadoran politicians, Guatemalan politicians, Mayors
Sinaloa Cartel	Sinaloa
Gina Rodriguez	Golden Globe Award winning actors, 1984 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American Christians, Actors from Chicago
Abbott and Costello Go to Mars	1950s science fiction movies, 1953 comedy movies, American science fiction movies, American comedy movies, Movies directed by Charles Lamont
The Black Cat (1934 movie)	1934 movies, 1930s horror movies, American horror movies, Movies based on short stories, Movies directed by Edgar G. Ulmer
Häxan	1922 movies, Swedish movies, Danish movies, 1920s horror movies, Silent movies, Movies directed by Benjamin Christensen
Japanese War Bride	1952 drama movies, American drama movies, Movies directed by King Vidor
Branded to Kill	1967 crime movies, 1967 thriller movies, Japanese movies, Movies directed by Seijun Suzuki
Rough Night in Jericho	1967 movies, 1960s western movies, American western movies, Movies based on books, Movies directed by Arnold Laven
Tobruk (1967 movie)	1967 drama movies, 1960s war movies, American drama movies, World War II movies, Movies directed by Arthur Hiller
Jinnat Ali	Bangladeshi people, 1996 births, 2020 deaths, Deaths from brain cancer
Robert Torti	1961 births, American movie actors, American voice actors, American stage actors, American television actors, Living people, Actors from Los Angeles, California
Accident (1967 movie)	1967 drama movies, British drama movies, Movies based on books, Movies directed by Joseph Losey
Frankenstein Created Woman	1967 movies, 1960s horror movies, British horror movies, Frankenstein movies, 20th Century Fox movies, Movies directed by Terence Fisher‏‎
Villain (1971 movie)	1971 drama movies, 1970s crime drama movies, 1970s LGBT movies, British drama movies, Movies based on books
The Man with One Red Shoe	1985 comedy movies, 1980s thriller movies, American comedy movies, American thriller movies
Hello-Goodbye	1970 comedy movies, British comedy movies, Movies directed by Jean Negulesco
The Far Country	1954 movies, 1950s romance movies, American romance movies, American western movies, Movies directed by Anthony Mann
The Yellow Mountain	1954 comedy movies, 1954 drama movies, 1950s western movies, American western movies, American comedy-drama movies, Movies directed by Jesse Hibbs
Don't Bother to Knock	1950s thriller movies, 1952 movies, American thriller movies, 20th Century Fox movies, Movies based on books, Movies directed by Roy Ward Baker
The Yellow Canary	1963 movies, 1960s thriller movies, American thriller movies, Movies based on books
A Safe Place	1971 drama movies, American drama movies, American independent movies
A Night in the Life of Jimmy Reardon	1988 drama movies, American drama movies, Movies based on books
Economy of South Africa	Economy of South Africa
Koriya district	Districts of India
Ghanim Al Muftah	Disability, Philanthropists, Qatari people, People with caudal regression syndrome
Vaughan, Ontario	Cities in Ontario
Maj Sjöwall	1935 births, 2020 deaths, Deaths from COPD, Writers from Stockholm
Hema Bharali	1919 births, 2020 deaths, Centenarians, Political activists, Feminists, Indian activists
Eavan Boland	1944 births, 2020 deaths, Deaths from stroke, Irish poets, Historians, Educators, Writers from Dublin
Nick Kotz	Pulitzer Prize winners, 1932 births, 2020 deaths, Road accident deaths in the United States, American historians, American political writers, Journalists from Texas, Writers from San Antonio, Texas
Deaths in June 2020	2020 deaths, June 2020 events
Deaths in July 2020	2020 deaths, July 2020 events
Deaths in August 2020	2020 deaths, August 2020 events
Deaths in September 2020	2020 deaths, September 2020 events
Deaths in October 2020	2020 deaths, October 2020 events
Deaths in November 2020	2020 deaths, November 2020 events
Deaths in December 2020	2020 deaths, December 2020 events
Jānis Lūsis	1939 births, 2020 deaths, Deaths from cancer, Latvian people, Competitors in athletics, Olympic gold medalists, Olympic silver medalists, Olympic bronze medalists
Tony Lloyd	1950 births, Living people, Labour MPs (UK), People from Manchester, British mayors, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2017–2019, UK MPs 2019–
Nick Cordero	1978 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Canadian stage actors, Canadian television actors, Actors from Hamilton
Per Wahlöö	1926 births, 1975 deaths, Deaths from surgical complications, Swedish writers
Mike Sullivan (governor)	Governors of Wyoming, Politicians from Omaha, Nebraska, People from Casper, Wyoming, 1939 births, Living people, Ambassadors of the United States to Ireland, US Democratic Party politicians
Jim Guy Tucker	1943 births, Living people, American fraudsters, American lawyers, Governors of Arkansas, United States representatives from Arkansas, Politicians from Oklahoma City, US Democratic Party politicians, Lieutenant Governors of Arkansas
Warrensburg, Missouri	Cities in Missouri, County seats in Missouri
Posthumous award	Awards
List of governors of Hawaii	Governors of Hawaii
John D. Waiheʻe III	1946 births, Living people, Governors of Hawaii, Businesspeople from Hawaii, US Democratic Party politicians, Lieutenant Governors of Hawaii
List of governors of Indiana	Governors of Indiana
Trevor Cherry	1948 births, 2020 deaths, English footballers, People from Huddersfield
List of governors of Kentucky	Governors of Kentucky
Brereton C. Jones	1939 births, Living people, Governors of Kentucky, Politicians from Ohio, Politicians from West Virginia, Businesspeople from Kentucky, Businesspeople from Ohio, Businesspeople from West Virginia, US Democratic Party politicians, Lieutenant Governors of Kentucky
List of governors of Maryland	Governors of Maryland
William Donald Schaefer	1921 births, 2011 deaths, Governors of Maryland, Mayors of Baltimore, US Democratic Party politicians, Deaths from pneumonia
Catonsville, Maryland	Census-designated places in Maryland
Gallipolis, Ohio	Villages in Ohio, County seats in Ohio
Gallia County, Ohio	1803 establishments in Ohio, Ohio counties
List of governors of Minnesota	Governors of Minnesota
List of governors of New Hampshire	Governors of New Hampshire
List of governors of New Jersey	Governors of New Jersey
Richard Codey	1946 births, Living people, Governors of New Jersey, State legislators of the United States, People from Orange, New Jersey, US Democratic Party politicians
David Cowgill	American voice actors
List of governors of New York	Governors of New York
List of governors of North Carolina	Governors of North Carolina
List of governors of Tennessee	Governors of Tennessee
List of governors of Texas	Governors of Texas
List of governors of Vermont	Governors of Vermont
Jukka Rasila	Finnish actors, 1969 births
List of governors of Virginia	Governors of Virginia
List of governors of Wisconsin	Governors of Wisconsin
List of governors of Puerto Rico	Governors of Puerto Rico
Oghlan Bakhshi	Living people, 1993 births, Folk singers, Asian entertainers, Turkmenistan people, Folk musicians, Iranian singers, Iranian musicians
Wave elections in the United States	Politics, Elections in the United States
Clash by Night	1952 drama movies, American drama movies, Movies based on plays, Movies directed by Fritz Lang
Brian Brown (Royal Navy officer)	1934 births, 2020 deaths, British military people, People from Portsmouth
Michael Layard	1936 births, Living people, British military people, British educators
2018 United States elections	Elections in the United States
Belles on Their Toes (movie)	1952 comedy movies, American comedy movies, Movies based on books, Movies directed by Henry Levin
The Pride of St. Louis	1952 drama movies, American drama movies, Movies directed by Harmon Jones
Retreat, Hell!	1952 drama movies, 1950s war movies, American war movies, American drama movies, Movies set in North Korea, Movies directed by Joseph H. Lewis
Young Guns of Texas	1962 movies, 1960s western movies, American western movies, Movies directed by Maury Dexter
The Queen's Guards	1961 drama movies, British drama movies, Movies directed by Michael Powell
2008 United States presidential election in Nebraska	United States presidential elections, 21st century in Nebraska, 2008 in the United States, 2008 elections
Ambush at Cimarron Pass	1950s western movies, 1958 movies, American western movies, 20th Century Fox movies
The Young Lions	1958 drama movies, 1950s war movies, American drama movies, World War II movies, Movies directed by Edward Dmytryk
Apache Rifles	1964 movies, 1960s western movies, American western movies, Movies directed by William Witney
The Way West	1967 movies, American western movies, Movies based on books, Movies directed by Andrew V. McLaglen
The Viking Queen	1967 movies, 1960s adventure movies, British adventure movies, Movies directed by Don Chaffey
Jim Ryun	1947 births, Living people, United States representatives from Kansas, American Olympic silver medalists, Sportspeople from Wichita, Kansas, Politicians from Wichita, Kansas, US Republican Party politicians
James P. Gray	1945 births, Living people, 2020 United States presidential candidates, American judges, American political writers, Politicians from Washington, D.C., Writers from Washington, D.C., Politicians from California, Writers from California, US Libertarian Party politicians
COVID-19 testing	COVID-19 pandemic
Herd immunity	Medicine
Buck O'Neil	1911 births, 2006 deaths, Deaths from heart failure, Deaths from bone marrow cancer, American baseball players, Sportspeople from Florida
Pooja Hegde	1990 births, Living people, Indian movie actors, Indian models, People from Mumbai, Indian beauty pageant winners
Cherickal	Villages in Pathanamthitta district
Namrata Singh Gujral	1976 births, Living people, Indian movie actors, Indian television actors, Naturalized citizens of the United States, American movie actors, American television actors, American movie directors, American movie producers, Breast cancer survivors
Pandalam	Towns in India, Settlements in Kerala
Danielle Campbell	1995 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Models from Illinois, Actors from Illinois, People from Hinsdale, Illinois
Cherukole	Villages in Pathanamthitta district
Chethakkal	Villages in Pathanamthitta district
Danna Paola	1995 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican singers, Mexican models, Actors from Mexico City
Chirappuram	Villages in Pathanamthitta district
Chittar	Villages in Pathanamthitta district
Chunkappara	Villages in Pathanamthitta district
Edasserimala	Villages in Pathanamthitta district
Elanthoor	Villages in Pathanamthitta district
The Comancheros (movie)	1961 movies, 1960s western movies, American western movies, 20th Century Fox movies, Movies based on books, Movies directed by Michael Curtiz
The Bad Sleep Well	1960 drama movies, 1960s crime drama movies, Japanese movies, Movies directed by Akira Kurosawa
North West Frontier (movie)	1959 movies, 1950s adventure movies, British adventure movies, Movies set in India, 20th Century Fox movies, Movies directed by J. Lee Thompson
Tonight We Sing	1953 movies, 1950s musical movies, American musical movies, Movies based on books, Movies directed by Mitchell Leisen
Michael Seater	1987 births, Living people, Canadian television actors, People from Toronto
Streets of Rage 3	Beat 'em ups, 1994 video games, Sega Genesis games, Video games developed in Japan, Video game sequels, Streets of Rage
Streets of Rage 4	Beat 'em ups, Windows games, Xbox One games, PlayStation 4 games, Nintendo Switch games, Video game sequels, Streets of Rage
City of Bad Men	1953 movies, 1950s romance movies, 1950s western movies, American western movies, Movies directed by Harmon Jones
Down Among the Sheltering Palms (movie)	1953 comedy movies, 1950s musical movies, American musical comedy movies, Movies directed by Edmund Goulding
Nanook of the North	1922 movies, American documentary movies
Anti-bullying legislation	Bullying
Foolish Wives	1922 movies, 1920s drama movies, American drama movies, American silent movies
The Last Metro	1980 drama movies, 1980s romance movies, 1980s war movies, French romance movies, Movies directed by François Truffaut
Paul Hunter	Deaths from stomach cancer, Cancer deaths in England, 2006 deaths, 1978 births, Snooker players
Lady in the Iron Mask	1952 movies, American adventure movies
Streets of Rage	Streets of Rage
The Garden of Aunt Isabel	1971 drama movies, Mexican movies
Apolinar	1972 drama movies, 1970s fantasy movies, Mexican movies
Vampire Circus	1972 movies, 1972 horror movies, British horror movies, 20th Century Fox movies
Lao script	Writing systems, Lao language
Khmer script	Writing systems, Khmer language
Arturo Mercado	1940 births, Living people, Mexican voice actors
Jacques Kazadi	1936 births, 2020 deaths, Educators, Activists, African politicians
Young Jessie	1936 births, 2020 deaths, American singer-songwriters, American R&B singers, American rock singers, American jazz singers, Singers from Dallas, Texas, Writers from Dallas, Texas
The Quiller Memorandum	1960s spy movies, 1966 drama movies, American spy movies, American drama movies, British spy movies, British drama movies, Movies based on books, Movies directed by Michael Anderson
Bobby Lewis	1925 births, 2020 deaths, American rock singers, American blues singers, Singers from Indianapolis, Indiana
Riverdale, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Germano Celant	Italian art critics, Editors, Italian historians, 1940 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, People from Genoa
Yahya Hassan	1995 births, 2020 deaths, Danish poets, Critics, Political activists
The Carpetbaggers	1964 drama movies, American drama movies, Movies directed by Edward Dmytryk
Tony Allen (musician)	1940 births, 2020 deaths, Deaths from aortic aneurysm, Drummers, Composers, Songwriters, People from Lagos
Kundanika Kapadia	1927 births, 2020 deaths, Deaths from colorectal cancer, Cancer deaths in India, Indian novelists, Feminist writers, Indian essayists
The Innocents (movie)	1961 movies, 1960s horror movies, British horror movies, Movies directed by Jack Clayton
Museum of Arts and Design	Museums in New York City
North to Alaska	1960 movies, 1960s western movies, American western movies, Movies based on plays, Movies directed by Henry Hathaway
Maryna Bazanova	1962 births, 2020 deaths, Soviet sportspeople, Olympic bronze medalists
Louis Cardiet	1943 births, 2020 deaths, French footballers
Al Edwards (politician)	1937 births, 2020 deaths, State legislators of the United States, Businesspeople from Houston, Texas, Politicians from Houston, Texas, US Democratic Party politicians
One Foot in Hell	1960 movies, 1960s western movies, American western movies
Alexander Fernando	Sri Lankan people, 2020 deaths, 1940 births, Sri Lankan movie actors, Stuntmen
Chuni Goswami	1938 births, 2020 deaths, Deaths from cardiac arrest, Indian footballers, Indian cricketers
Jordan Cox (rugby league)	1992 births, 2020 deaths, English rugby union players
Óscar Chávez	1935 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Mexican singer-songwriters, Folk singers, Mexican television actors, Mexican movie actors, Singers from Mexico City, Actors from Mexico City
The Captain's Table	1959 comedy movies, British comedy movies, 20th Century Fox movies, Movies directed by Jack Lee
The Inn of the Sixth Happiness	1958 drama movies, British biographical movies, British drama movies, Movies directed by Mark Robson
Airport '77	1977 thriller movies, American thriller movies
Rupert Scholz	1937 births, Living people, Politicians from Berlin
Elavumthitta	Villages in Pathanamthitta district
Enadimangalam	Villages in Pathanamthitta district
Christian Schwarz-Schilling	1930 births, Living people, Austrian politicians, Austrian businesspeople, German politicians, German businesspeople, German philanthropists
Dorothee Wilms	1929 births, Living people, German politicians
Jürgen Schmude	1936 births, Living people, German politicians
Andreas von Bülow	1937 births, Living people, German politicians, German writers, People from Dresden
Karl-Hans Laermann	1929 births, Living people, German politicians
Onionhead	1958 comedy movies, 1958 drama movies, American comedy-drama movies, World War II movies, Movies based on books, Movies directed by Norman Taurog
Jerónimo Arango	1927 births, 2020 deaths, Deaths from natural causes, Mexican businesspeople
Arminsyah	1960 births, 2020 deaths, Road accident deaths, Indonesian politicians, Lawyers
The Deep (1977 movie)	1977 movies, 1970s adventure movies, American adventure movies, British adventure movies, Movies with underwater settings, Movies directed by Peter Yates
Klaus Töpfer	1938 births, Living people, German politicians
Rudolf Seiters	1937 births, Living people, German politicians
Los Olvidados	1950 drama movies, 1950s crime movies, Mexican movies, Spanish-language movies, Movies directed by Luis Buñuel
Pour le piano	Classical music
Lothar de Maizière	1940 births, Living people, Prime Ministers of East Germany
Friedrich Ebert Jr.	1894 births, 1979 deaths, Mayors of Berlin
Günther Maleuda	1931 births, 2012 deaths, German politicians
Carl-Dieter Spranger	1939 births, People from Leipzig, Living people, German politicians
Manfred Kanther	1939 births, Politicians of the Christian Democratic Union of Germany, Living people
The End (movie)	1978 comedy movies, American black comedy movies
Edzard Schmidt-Jortzig	1941 births, Living people, Jurists, Politicians of the Free Democratic Party of Germany, Politicians from Berlin
Jochen Borchert	1940 births, Living people, Politicians of the Christian Democratic Union of Germany, Politicians from Saxony-Anhalt, Members of the German Bundestag, Order of Merit of the Federal Republic of Germany
Delano Lewis	1938 births, Living people, Ambassadors of the United States, American lawyers, People from Lawrence, Kansas, Politicians from Kansas, Businesspeople from Kansas, US Democratic Party politicians, Kansas Democrats
Dakota Lil	1950 movies, 1950s western movies, American western movies, Movies directed by Lesley Selander
Kanto Wanderer	1963 movies, 1960s crime movies, Japanese movies, Movies directed by Seijun Suzuki
Ride a Crooked Trail	1958 movies, 1950s romance movies, American western movies, Movies directed by Jesse Hibbs
The Outcasts of Poker Flat (1952 movie)	1952 movies, American western movies, Movies based on short stories, Movies directed by Joseph M. Newman
Five Boys from Barska Street	1954 drama movies, Polish movies, Movies based on books, Movies directed by Aleksander Ford
Broken Lance	1954 movies, 1950s western movies, American western movies, Movies directed by Edward Dmytryk, Movies based on books, 20th Century Fox movies
Bluebeard (1972 movie)	1972 movies, 1970s serial killer movies, 1972 horror movies, French horror movies, German horror movies, Italian horror movies, Movies directed by Edward Dmytryk
The Big Lift	1950 drama movies, American drama movies, Movies directed by George Seaton
Ayiroor	Villages in Pathanamthitta district
Enathu	Villages in Pathanamthitta district
Enathu Bailey bridge	Bridges, Transport in India
The Jackpot	1950 comedy movies, American comedy movies, Movies directed by Walter Lang
Malayala Manorama	Malayalam-language newspapers, Asian news websites, National newspapers published in India, Newspaper companies of India, Mass media companies of India
Night People (movie)	1954 drama movies, American drama movies
The Adventures of Hajji Baba	1954 movies, 1950s adventure movies, American adventure movies, Movies based on books, 20th Century Fox movies, Movies directed by Don Weis
The Abominable Snowman (movie)	1957 horror movies, 1950s fantasy movies, British fantasy movies, British horror movies, Movies directed by Val Guest
Exerion	Shooter video games, 1983 video games, SG-1000 games, Nintendo Entertainment System games, MSX games, Video games developed in Japan
Throne of Blood	1957 drama movies, Japanese movies, Movies directed by Akira Kurosawa
Pork Chop Hill	1950s war movies, 1959 drama movies, American drama movies, War movies, Movies directed by Lewis Milestone, Movies set in South Korea
Mayurbhanj district	Districts of Odisha
Thue et Mue	2017 establishments in France, Communes in Calvados
Notre-Dame-d'Estrées-Corbon	2015 establishments in France, Communes in Calvados
Castine-en-Plaine	2019 establishments in France, Communes in Calvados
La Vespière-Friardel	2016 establishments in France, Communes in Calvados
Cabrespine	Communes in Aude
Cailhau	Communes in Aude
Cailhavel	Communes in Aude
Cailla	Communes in Aude
Cambieure	Communes in Aude
Campagna-de-Sault	Communes in Aude
Campagne-sur-Aude	Communes in Aude
Camplong-d'Aude	Communes in Aude
Camps-sur-l'Agly	Communes in Aude
Camurac	Communes in Aude
Canet, Aude	Communes in Aude
Capendu	Communes in Aude
Carlipa	Communes in Aude
Cascastel-des-Corbières	Communes in Aude
Gincla	Communes in Aude
Montferrand, Aude	Communes in Aude
Sega AM2	Sega divisions and subsidiaries
Space Station Processing Facility	NASA, Buildings and structures in Florida
La Cassaigne	Communes in Aude
Cassaignes	Communes in Aude
Villemagne	Communes in Aude
Villeneuve-les-Corbières	Communes in Aude
Caunette-sur-Lauquet	Communes in Aude
Les Cassés	Communes in Aude
Castans	Communes in Aude
Castelnau-d'Aude	Communes in Aude
Castelreng	Communes in Aude
Caudebronde	Communes in Aude
Pomy, Aude	Communes in Aude
Saint-Martin-de-Villereglan	Communes in Aude
Caunettes-en-Val	Communes in Aude
Caux-et-Sauzens	Communes in Aude
Cavanac	Communes in Aude
Caves, Aude	Communes in Aude
Conques-sur-Orbiel	Communes in Aude
Le Clat	Communes in Aude
Cazalrenoux	Communes in Aude
Counozouls	Communes in Aude
Molleville	Communes in Aude
Fanjeaux	Communes in Aude
Duilhac-sous-Peyrepertuse	Communes in Aude
Cenne-Monestiés	Communes in Aude
Cazilhac, Aude	Communes in Aude
Cépie	Communes in Aude
Chalabre	Communes in Aude
Citou	Communes in Aude
Trèbes	Communes in Aude
Lasserre-de-Prouille	Communes in Aude
Theodemer	5th century deaths, Kings and queens
Wairoa	Settlements in New Zealand
Clermont-sur-Lauquet	Communes in Aude
John Bryant (journalist)	1943 births, 2020 deaths, British journalists, Editors, Writers from Somerset
Comus	Communes in Aude
Conilhac-Corbières	Communes in Aude
Escueillens-et-Saint-Just-de-Bélengard	Communes in Aude
Coudons	Communes in Aude
Caunes-Minervois	Communes in Aude
Colfax, Illinois	Villages in Illinois
David City, Nebraska	Cities in Nebraska, County seats in Nebraska
Oeschebüttel	Municipalities in Schleswig-Holstein, Steinburg (district)
Cagayan	Provinces of the Philippines
Chung Hae-won	1959 births, 2020 deaths, Deaths from liver cancer, South Korean footballers, South Korean football managers
Alytus County	Counties of Lithuania
Augustine Mahiga	1945 births, 2020 deaths, Ambassadors to the United Nations, Tanzanian people, African politicians
Utena County	Counties of Lithuania
Benjamín Moreno	1955 births, 2020 deaths, Spanish footballers, Deaths from heart failure
In a Lonely Place	1950 drama movies, 1950s romantic drama movies, American romantic drama movies, Movies directed by Nicholas Ray, Film noir
RNA vaccine	Infectious diseases, Virology, Immunization
Harriet Craig	1950 drama movies, American drama movies, Movies based on plays, Movies directed by Vincent Sherman
Carl Værnet	1893 births, 1965 deaths, Danish people, SS officers, Holocaust perpetrators
The Marrying Kind	1952 comedy movies, 1952 drama movies, American comedy-drama movies, Movies directed by George Cukor, Movies about divorce
Astarte	Gods and goddesses
Young Jesse James	1960 movies, 1960s western movies, American western movies, Movies directed by William F. Claxton
Cymose	Plants
Hell and High Water (movie)	1954 drama movies, American drama movies, 20th Century Fox movies, Movies directed by Samuel Fuller
The Gunfighter	1950 movies, 1950s western movies, American western movies, 20th Century Fox movies, Movies directed by Henry King
The Eagle and the Hawk	1950 movies, 1950s western movies, American western movies
Under the Yum Yum Tree	1963 comedy movies, 1960s romantic comedy movies, American romantic comedy movies
The Yellow Rolls-Royce	1964 comedy movies, 1964 drama movies, 1960s romantic comedy movies, 1960s romantic drama movies, British romantic comedy movies, British romantic drama movies, Movies directed by Anthony Asquith
Kaunas County	Counties of Lithuania
Klaipėda County	Counties of Lithuania
Marijampolė County	Counties of Lithuania
Night Without Sleep	1952 movies, 1950s mystery movies, 1950s thriller movies, American mystery movies, American thriller movies, 20th Century Fox movies, Movies directed by Roy Ward Baker
Panevėžys County	Counties of Lithuania
Šiauliai County	Counties of Lithuania
Tauragė County	Counties of Lithuania
Pal Joey	1957 movies, 1950s musical movies, American musical movies, Movies based on plays, Movies directed by George Sidney
The Queen of Babylon	1954 drama movies, 1950s action movies, Italian drama movies, Movies directed by Carlo Ludovico Bragaglia
Telšiai County	Counties of Lithuania
Stagecoach to Fury	1956 movies, 1950s western movies, American western movies, Movies directed by William F. Claxton
Vilnius County	Counties of Lithuania
Erathu	Villages in Pathanamthitta district
Eraviperoor	Villages in Pathanamthitta district
The War Wagon	1967 movies, 1960s western movies, American western movies, Movies based on books, Movies directed by Burt Kennedy
Erumakkadu	Villages in Pathanamthitta district
Ezhamkulam	Villages in Pathanamthitta district
Ezhumattoor	Villages in Pathanamthitta district
Gavi	Villages in Pathanamthitta district
Iravon	Villages in Pathanamthitta district
The Quiet Man	1952 comedy movies, 1952 drama movies, 1950s romantic comedy movies, 1950s romantic drama movies, American romantic comedy movies, American romantic drama movies, Irish movies, Movies based on short stories, Movies directed by John Ford
Prescription for Murder	1958 movies, 1950s crime movies, American crime movies, British crime movies
Blood Beach	1980 horror movies, American horror movies, 1980s monster movies, American monster movies, English-language movies, American independent movies
Samuel Rivera	1946 births, 2020 deaths, Deaths from stroke, American mayors, American criminals, People from Passaic, New Jersey, Politicians from New Jersey, US Democratic Party politicians
The Zodiac Killer	1971 thriller movies, 1970s serial killer movies, American thriller movies, American independent movies
Ludwig (movie)	1973 drama movies, 1970s LGBT movies, Italian drama movies, German drama movies, French drama movies, Movies directed by Luchino Visconti
Natalie Harrowell	1990 births, 2019 deaths, British rugby league players
That Cold Day in the Park	1969 drama movies, Canadian drama movies, Movies directed by Robert Altman, Movies based on books, American independent movies
Thief (movie)	1981 movies, 1980s crime thriller movies, American crime thriller movies, Movies based on books, Movies directed by Michael Mann
Travels with My Aunt (movie)	1970s adventure movies, 1972 comedy movies, American adventure movies, American comedy movies, Movies directed by George Cukor, Movies based on books
Bashu, the Little Stranger	1986 drama movies, Iranian movies, Movies directed by Bahram Beizai
Heena Shahab	Living people, People from Bihar, Indian politicians, 1976 births
Zealot	Jewish people
Operation Crossbow	1965 thriller movies, British thriller movies, Movies directed by Michael Anderson
Economic regions of Azerbaijan	Economic regions of Azerbaijan
Comigne	Communes in Aude
Cruscades	Communes in Aude
Couffoulens	Communes in Aude
Coursan	Communes in Aude
Cournanel	Communes in Aude
Courtauly	Communes in Aude
La Courtète	Communes in Aude
Coustaussa	Communes in Aude
Corbières, Aude	Communes in Aude
Couiza	Communes in Aude
Coustouge	Communes in Aude
Cubières-sur-Cinoble	Communes in Aude
Cucugnan	Communes in Aude
Cumiès	Communes in Aude
Cuxac-Cabardès	Communes in Aude
Cuxac-d'Aude	Communes in Aude
Davejean	Communes in Aude
Dernacueillette	Communes in Aude
La Digne-d'Amont	Communes in Aude
Rourkela	Cities in India
La Digne-d'Aval	Communes in Aude
Donazac	Communes in Aude
Douzens	Communes in Aude
Durban-Corbières	Communes in Aude
Embres-et-Castelmaure	Communes in Aude
Villardonnel	Communes in Aude
Escouloubre	Communes in Aude
Espéraza	Communes in Aude
Espezel	Communes in Aude
La Fajolle	Communes in Aude
Fenouillet-du-Razès	Communes in Aude
Kadakkad	Villages in Pathanamthitta district
Kadammanitta	Villages in Pathanamthitta district
Kadampanad	Villages in Pathanamthitta district
Kadapra	Villages in Pathanamthitta district
Great Commission	Christianity, Jesus Christ
Montillières-sur-Orne	2019 establishments in France, Communes in Calvados
Noues de Sienne	2017 establishments in France, Communes in Calvados
Noyers-Missy	2016 establishments in France, 21st century disestablishments in France, 2010s disestablishments in Europe, 2017 disestablishments, Former communes in Calvados
Laize-Clinchamps	2017 establishments in France, Communes in Calvados
Moulins en Bessin	2017 establishments in France, Communes in Calvados
Colomby-Anguerny	2016 establishments in France, Communes in Calvados
