Estate (law)	Law
Young Doctors in Love	1982 comedy movies, 1980s sex comedy movies, 1980s teen comedy movies, American comedy movies, Movies directed by Garry Marshall
Occidental Mindoro	Provinces of the Philippines
The Driver	1978 thriller movies, 1970s crime movies, American crime thriller movies, Movies directed by Walter Hill
Marinduque	Provinces of the Philippines, Island provinces of the Philippines
Deal of the Century	1983 comedy movies, American comedy movies, Warner Bros. movies, Movies directed by William Friedkin
Wathena, Kansas	Cities in Kansas, Doniphan County, Kansas
Zap! Snowboarding Trix	1997 video games, Sega Saturn games, Sports video games, Video games developed in Japan
The Lords of Flatbush	1974 drama movies, 1970s romantic drama movies, American romantic drama movies
Love and Death	1975 comedy movies, American comedy movies, Movies directed by Woody Allen
The Killer Elite	1975 movies, 1970s action movies, 1970s thriller movies, American action movies, American thriller movies, Movies based on books, Movies directed by Sam Peckinpah
Inserts (movie)	1975 drama movies, British drama movies
Chester railway station	1840s establishments in England, 1848 establishments in Europe, Railway stations in England, Chester
Souleuvre-en-Bocage	2016 establishments in France, Communes in Calvados
Not3s	1998 births, English singer-songwriters, British rap musicians, English rap musicians, Black British people, Black British musicians, People from London, Living people, Singers from London, English musicians, British musicians
Mabel (singer)	1996 births, English singer-songwriters, People from Malaga, People from London, Living people, Singers from London, English musicians, Swedish musicians, Spanish musicians, British musicians
Shohreh Aghdashloo	1952 births, American movie actors, Iranian actors
Kudensee	Municipalities in Schleswig-Holstein, Steinburg (district)
Brebel	Former municipalities in Schleswig-Holstein
Ahlefeld	Former municipalities in Schleswig-Holstein
Ahlefeld-Bistensee	2000s establishments in Germany, 2008 establishments in Europe, Municipalities in Schleswig-Holstein
Bäk	Municipalities in Schleswig-Holstein
Mason County, Washington	19th-century establishments in Washington (state), 1854 establishments in the United States, Washington (state) counties
San Juan County, Washington	19th-century establishments in Washington (state), 1873 establishments in the United States, Washington (state) counties
Skagit County, Washington	19th-century establishments in Washington (state), 1883 establishments in the United States, Washington (state) counties
Ruy López de Segura	Chess players
Stevens County, Washington	19th-century establishments in Washington (state), 1863 establishments in the United States, Washington (state) counties
Snipping Tool	Microsoft software, Graphics software
Dries Holten	1936 births, 2020 deaths, Deaths from cancer, Eurovision Song Contest entrants, Dutch singers, Dutch writers, Songwriters
Norbert Blüm	1935 births, 2020 deaths, German politicians, Deaths from sepsis
Abdullah al-Hamid	1950 births, 2020 deaths, Deaths from stroke, Saudi Arabian people, Poets, Human rights activists
Dimitri Diatchenko	1968 births, 2020 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American voice actors, American video game actors, Actors from San Francisco
Mircea Mureșan	1928 births, 2020 deaths, Romanian movie directors
Lynn Faulds Wood	1948 births, 2020 deaths, BBC people, Scottish journalists, Deaths from stroke, ITV presenters, People from Glasgow, Scottish television presenters
Regency (brandy)	Alcoholic spirits
Xipaya language	Brazil
Babylonian numerals	Mathematics
Ilocos Norte	Provinces of the Philippines
Hamel, Illinois	Villages in Illinois
Coal Valley, Illinois	Villages in Illinois
Ascoux	Communes in Loiret
Guimaras	Provinces of the Philippines, Island provinces of the Philippines
Tekamah, Nebraska	Cities in Nebraska, County seats in Nebraska
National symbols of India	National symbols of India
Burwell, Nebraska	Cities in Nebraska, County seats in Nebraska
Sawyerville, Illinois	Villages in Illinois
Anthony Edwards	1962 births, American movie actors, American television actors, American voice actors, American television producers, American television directors, Emmy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, Movie producers from California, Actors from California, People from Santa Barbara, California, Living people
Michael Chiklis	1963 births, American movie actors, American stage actors, American television actors, American video game actors, American voice actors, American television producers, Boston University alumni, Golden Globe Award winning actors, Emmy Award winning actors, Actors from Massachusetts, Living people, People from Lowell, Massachusetts
Scavenger Hunt	1979 comedy movies, American comedy movies
Andy Kindler	1956 births, American stand-up comedians, American television actors, American voice actors, Actors from Los Angeles, California, Actors from New York City, Comedians from California, Comedians from New York City, Jewish American comedians, Living people
Majority government	Government, Democracy
John and Mary (movie)	1969 drama movies, 1960s romantic drama movies, American romantic drama movies, 20th Century Fox movies, Movies directed by Peter Yates
No Place to Hide (1973 movie)	1973 thriller movies, American thriller movies
The Onion Field (movie)	1979 drama movies, 1970s crime drama movies, American crime drama movies
Cagayan Valley	Regions of the Philippines
Daylesford, Victoria	Towns in Victoria (Australia)
Calabarzon	Regions of the Philippines
Bicol Region	Regions of the Philippines
Western Visayas	Regions of the Philippines
Eastern Visayas	Regions of the Philippines
Zamboanga Peninsula (Administrative Region)	Regions of the Philippines
Northern Mindanao	Regions of the Philippines
Davao Region	Regions of the Philippines
Soccsksargen	Regions of the Philippines
Caraga	Regions of the Philippines
Autonomous Region in Muslim Mindanao	Regions of the Philippines, 1980s establishments in the Philippines, 1989 establishments in Asia, 2010s disestablishments in Asia, 2019 disestablishments
Bangsamoro	Regions of the Philippines, 2010s establishments in the Philippines, 2019 establishments
Cordillera Administrative Region	Regions of the Philippines, 1980s establishments in the Philippines, 1987 establishments in Asia
Peter Neil Galgut	1946 births, Living people, British people
One More Train to Rob	1970s western movies, 1971 movies, American western movies, Movies directed by Andrew V. McLaglen
The Executioner (1970 movie)	1970 thriller movies, 1970s spy movies, British spy movies, British thriller movies, Movies directed by Sam Wanamaker
Cannon for Cordoba	1970 movies, 1970s western movies, 1970s romance movies, American western movies, Movies directed by Paul Wendkos
International Science and Engineering Fair	Competitions
Pretty Poison (movie)	1968 comedy movies, 1968 thriller movies, American comedy movies, American thriller movies, Cult movies
Ebrahim Amini	1925 births, 2020 deaths, Iranian politicians, Critics
Captain Tom Moore	1920 births, 2021 deaths, British military personnel of World War II, British philanthropists, People from Yorkshire, British centenarians, Deaths from the COVID-19 pandemic in the United Kingdom, Deaths from pneumonia
Grandma Lee	1934 births, 2020 deaths, American comedians, People from Oklahoma City, Oklahoma, Deaths from fractured hip
Stefan Lippe	1955 births, 2020 deaths, German businesspeople, Deaths from the COVID-19 pandemic in Switzerland
The Statler Brothers	Grammy Award winners, American country musicians, American gospel musicians, Johnny Cash, Musicians from Virginia
The Squad (United States Congress)	2018 in the United States, Alexandria Ocasio-Cortez
Hiram Johnson	1866 births, 1945 deaths, Deaths from cerebral thrombosis, Governors of California, United States senators from California, American progressives, Politicians from Sacramento, California, US Republican Party politicians
Hemostasis	Blood
Wound healing	Blood, Skin
Devanand Konwar	1943 births, 2020 deaths, Governors of Tripura, Governors of West Bengal
Ernest Courant	1920 births, 2020 deaths, Naturalized citizens of the United States, German physicists, German centenarians, American physicists, American centenarians, American educators, Scientists from New York
Stony Brook, New York	Hamlets in New York, Census-designated places in New York (state)
Brookhaven, New York	Towns in New York
Mahendra Kumar	1973 births, 2020 deaths, Indian activists, Political activists, Indian criminals, Deaths from myocardial infarction
Joel Rogosin	1932 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American television producers, American television writers, Screenwriters from Los Angeles, California
E-mail attachment	E-mail
Polymorphic code	Malware
Sobekneferu	Pharaohs
To Beast or Not To Beast	Lordi albums, 2013 albums
Chekkulam	Villages in Pathanamthitta district
Chengara	Villages in Pathanamthitta district
Chenneerkara	Villages in Pathanamthitta district
Riverton, Utah	Cities in Utah
Batangas (province)	Provinces of the Philippines
Biliran	Provinces of the Philippines, Island provinces of the Philippines
Benguet	Provinces of the Philippines
Whatcom County, Washington	19th-century establishments in Washington (state), 1854 establishments in the United States, Washington (state) counties
Whitman County, Washington	19th-century establishments in Washington (state), 1871 establishments in the United States, Washington (state) counties
Landrecht, Germany	Municipalities in Schleswig-Holstein, Steinburg (district)
Sankt Margarethen, Germany	Municipalities in Schleswig-Holstein, Steinburg (district)
Stördorf	Municipalities in Schleswig-Holstein, Steinburg (district)
Bekdorf	Municipalities in Schleswig-Holstein, Steinburg (district)
List of British national symbols	National symbols, United Kingdom
Ray Hnatyshyn	1934 births, 2002 deaths, Governors General of Canada, People from Saskatoon, Privy Councillors (Canada), Members of the House of Commons of Canada
Sega Touring Car Championship	1996 video games, 1997 video games, 1998 video games, Sega arcade games, Sega Saturn games, Windows games, Racing video games, Video games developed in Japan
Androscoggin County, Maine	19th-century establishments in Maine, 1854 establishments in the United States, Maine counties
Hancock County, Maine	18th-century establishments in Maine, 1789 establishments in the United States, Maine counties
Université Laval	Quebec City, Colleges and universities in Canada, 1852 establishments, 1850s establishments in Canada
Sheila Copps	1952 births, Living people, Politicians from Ontario, Deputy Prime Ministers of Canada, Privy Councillors (Canada), Members of the House of Commons of Canada from Ontario
A Midsummer Night's Sex Comedy	1982 comedy movies, 1980s sex comedy movies, American comedy movies, Movies directed by Woody Allen
Play It Again, Sam (movie)	1972 comedy movies, American comedy movies, Movies directed by Herbert Ross, Movies based on plays
Hide in Plain Sight	1980 drama movies, American drama movies
The Front	1976 comedy movies, 1976 drama movies, 1970s comedy-drama movies, American comedy-drama movies, Movies directed by Martin Ritt
Dan Croll	1990 births, English singer-songwriters, English pop singers, English rock musicians, People from Staffordshire, Living people, English musicians, Musicians from Liverpool, Musicians from Stoke-on-Trent, British musicians
The Long Goodbye (movie)	1973 crime movies, 1973 thriller movies, American crime thriller movies, Movies directed by Robert Altman
Benishangul-Gumuz Region	Regions of Ethiopia
Madeon	1994 births, DJs, Singer-songwriters, French songwriters, French musicians, People from Nantes, Living people
Dire Dawa	Regions of Ethiopia, 1900s establishments in Africa, 1902 establishments
Subdivisions of Ethiopia	Ethiopia
Stafford railway station	1830s establishments in England, 1837 establishments, Railway stations in England, Staffordshire
Gambela Region	Regions of Ethiopia
Harari Region	Regions of Ethiopia
Somali Region	Regions of Ethiopia
Southern Nations, Nationalities, and People's Region	1990s establishments in Africa, 1994 establishments, Regions of Ethiopia
Arthur Fry	1931 births, Living people, American inventors, Scientists from Minneapolis, Minnesota
Fairmont, Minnesota	Cities in Minnesota, County seats in Minnesota
Tigray Region	Regions of Ethiopia
Joseph S. Pulver Sr.	1955 births, 2020 deaths, American novelists, American editors, American poets, Writers from New York, People from Schenectady, New York, Deaths from COPD
Jocelyn Barrow	1929 births, BBC people, British educators, British activists, Politicians from London, Trinidad and Tobago people, 2020 deaths
Gasoline additives	Fuel
Miguel Ángel Troitiño	Spanish educators, Spanish writers, European geographers, 1947 births, 2020 deaths, Deaths from the COVID-19 pandemic in Spain
Duverger's law	Voting, Law
The Paper Chase (movie)	1973 drama movies, American drama movies, Movies based on books
Savage Harvest	1981 action movies, 1980s adventure movies, 1981 horror movies, American horror movies
Newman's Law	1974 crime movies, 1974 thriller movies, American crime thriller movies
The Marriage of a Young Stockbroker	1971 comedy movies, 1971 drama movies, 1970s romance movies, 1970s comedy-drama movies, American comedy-drama movies
R. P. M.	1970 drama movies, American drama movies, Movies directed by Stanley Kramer
AtariAge	Internet, 1998 establishments
Slaughterhouse-Five (movie)	1972 science fiction movies, 1972 comedy movies, American science fiction movies, American comedy movies, Movies based on books
Summer Rental	1985 comedy movies, 1980s adventure movies, American comedy movies, Movies directed by Carl Reiner
Plain text	Computer file formats, Writing
Summer School (1987 movie)	1987 comedy movies, 1980s teen comedy movies, American comedy movies, Movies directed by Carl Reiner
Neelamperoor Padayani	Festivals in Asia, Kerala
First Monday in October	1981 comedy movies, 1981 drama movies, 1980s comedy-drama movies, American comedy-drama movies, Movies based on plays, Movies directed by Ronald Neame
Charley Varrick	1970s action movies, 1973 crime movies, 1973 thriller movies, American thriller movies, Movies based on books, Movies directed by Don Siegel
Earthquake (movie)	1970s adventure movies, 1974 drama movies, American adventure movies, American drama movies, Movies directed by Mark Robson
Breaking Away	1979 comedy movies, 1979 drama movies, 1970s comedy-drama movies, American comedy-drama movies, 20th Century Fox movies, Movies directed by Peter Yates
History of the World, Part I	1981 comedy movies, American comedy movies, Movies directed by Mel Brooks
Hex (1973 movie)	1973 horror movies, American horror movies, American western movies
Kolmogorov–Smirnov test	Statistics
Kennebec County, Maine	18th-century establishments in Maine, 1799 establishments in the United States, Maine counties
Knox County, Maine	19th-century establishments in Maine, 1860 establishments in the United States, Maine counties
Yaka language (Kivu)	Languages without Glottolog code, Niger-Congo languages
Made for Each Other (1971 movie)	1971 comedy movies, 1970s romance movies, American romantic comedy movies
Dreamer (1979 movie)	1979 drama movies, American drama movies
Norma Rae	1979 drama movies, American drama movies, 20th Century Fox movies, Movies directed by Martin Ritt
Brenac	Former communes in Aude
Caudeval	Former communes in Aude
Conilhac-de-la-Montagne	Former communes in Aude
Argeliers	Communes in Aude
Argens-Minervois	Communes in Aude
Cahuzac, Aude	Communes in Aude
Pech-Luna	Communes in Aude
Quillan	Communes in Aude
Armissan	Communes in Aude
Arques, Aude	Communes in Aude
Port-la-Nouvelle	Communes in Aude
Arquettes-en-Val	Communes in Aude
Artigues, Aude	Communes in Aude
Arzens	Communes in Aude
Aunat	Communes in Aude
Auriac, Aude	Communes in Aude
Axat	Communes in Aude
Azille	Communes in Aude
Badens	Communes in Aude
Bages, Aude	Communes in Aude
Bagnoles	Communes in Aude
Per Olov Enquist	1934 births, 2020 deaths, Deaths from multiple organ failure, Swedish novelists, Swedish journalists
Baraigne	Communes in Aude
Battle of Lade	Battles
Barbaira	Communes in Aude
Belcaire	Communes in Aude
Belcastel-et-Buc	Communes in Aude
Belflou	Communes in Aude
Belfort-sur-Rebenty	Communes in Aude
Bellegarde-du-Razès	Communes in Aude
Belpech	Communes in Aude
Giulietto Chiesa	1940 births, 2020 deaths, Former MEPs, Italian journalists, MEPs for Italy, Writers from Piedmont
Belvèze-du-Razès	Communes in Aude
Belvianes-et-Cavirac	Communes in Aude
Kauko Juhantalo	1942 births, 2020 deaths, Deaths from cancer, Finnish politicians
Belvis	Communes in Aude
Berriac	Communes in Aude
Bessède-de-Sault	Communes in Aude
