Positron emission tomography	Medical imaging
Dick Gernert	1928 births, 2017 deaths, American baseball players, Boston Red Sox players, Chicago Cubs players, Cincinnati Reds players, Detroit Tigers players, Houston Astros players, Sportspeople from Pennsylvania
Reg Varney	1916 births, 2008 deaths, Deaths from respiratory tract infection, Actors from Essex, Comedians from Essex, English stage actors, English television actors, English movie actors, Infectious disease deaths in England
Tenna, Switzerland	Former municipalities of Graubünden, 2013 disestablishments in Switzerland
Safiental	Municipalities of Graubünden, 2013 establishments in Switzerland
Morissen	Former municipalities of Graubünden
Mahsun Kırmızıgül	1968 births, Living people, Turkish movie actors, Turkish singers, Turkish screenwriters
Waltensburg/Vuorz	Former municipalities of Graubünden
Deckstar	2006 establishments in the United States, Entertainment companies, American entertainment companies
Michelin	1880s establishments in France, 1889 establishments in Europe, Tire manufacturers, Companies of France, Clermont-Ferrand
Malmerspach	Communes in Haut-Rhin
Oophorectomy	Reproductive system, Anaphrodisiacs, Surgery
Arriva Southern Counties	Arriva Southern Counties, Bus transport
Leoš Šimánek	1946 births, Living people, Czech writers, Photographers, Mountain climbers
Ewald Schurer	1954 births, 2017 deaths, Politicians of the Social Democratic Party of Germany, Politicians from Bavaria
IPhone X	IPhone, Mobile phones released in 2017, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
Kjell Opseth	1936 births, 2017 deaths, Government ministers, Norwegian politicians
St. Martin, Graubünden	Former municipalities of Graubünden
Surcuolm	Former municipalities of Graubünden
Vella, Switzerland	Former municipalities of Graubünden
Vignogn	Former municipalities of Graubünden
Vrin	Former municipalities of Graubünden
San Martín de Trevejo	Municipalities in Extremadura
Oliva de Plasencia	Municipalities in Extremadura
Naudiha pranpur	Villages in India
Ulli Lommel	1944 births, 2017 deaths, Deaths from heart failure, German movie actors, German movie directors
Nava Semel	1954 births, 2017 deaths, Deaths from cancer, Jewish Israeli writers, Jewish screenwriters, Novelists, People from Tel Aviv, Playwrights
Thomas Finlay (judge)	1922 births, 2017 deaths, Irish politicians, Irish judges, People from Dublin
Buangkok MRT station	Mass Rapid Transit (Singapore) stations, Sengkang
Hermann Schwörer	1922 births, 2017 deaths, Former members of the German Bundestag, Former MEPs, MEPs for Germany, Politicians from Berlin, Politicians of the Christian Democratic Union of Germany
Anne Buydens	1919 births, 2021 deaths, Naturalized citizens of the United States, German movie actors, Belgian movie actors, American movie actors, American movie producers, American philanthropists, People from Hanover, Actors from Los Angeles, California
All the Money in the World	2017 movies, 2010s crime drama movies, American crime drama movies, British crime drama movies, English-language movies, J. Paul Getty, Kidnapping in fiction, Movies about dysfunctional families, Movies about extortion, Movies based on books, Movies directed by Ridley Scott, Movies set in Italy, Movies set in the 1970s, Movies set in Rome
David R. Bowen	1932 births, Living people, United States representatives from Mississippi, US Democratic Party politicians, 20th-century American politicians
Jean Spencer Ashbrook	1934 births, Living people, United States representatives from Ohio, Politicians from Cincinnati, Ohio, US Republican Party politicians
Ed Weber	1931 births, Living people, United States representatives from Ohio, People from Toledo, Ohio, US Republican Party politicians
Bill Gradison	1928 births, Living people, American mayors, United States representatives from Ohio, Politicians from Cincinnati, Ohio, Jewish American politicians, US Republican Party politicians
Ronald M. Mottl	1934 births, Living people, United States representatives from Ohio, American conservatives, US Democratic Party politicians, Politicians from Cleveland, Ohio
Tom Luken	1925 births, 2018 deaths, American mayors, American military personnel of World War II, Politicians from Cincinnati, Ohio, United States Marine Corps personnel, United States representatives from Ohio, US Democratic Party politicians
William J. Keating	1927 births, 2020 deaths, United States representatives from Ohio, Businesspeople from Ohio, Politicians from Cincinnati, Ohio, US Republican Party politicians
Jean Schmidt	1951 births, Living people, United States representatives from Ohio, Politicians from Cincinnati, Ohio, US Republican Party politicians
Brad Wenstrup	1958 births, Living people, United States representatives from Ohio, American physicians, American military people, Politicians from Cincinnati, Ohio, US Republican Party politicians
Graham McTavish	1961 births, Living people, Scottish movie actors, Scottish television actors, Scottish voice actors, Actors from Glasgow
Andhra University	Colleges and universities in India, 1920s establishments in India, 1926 establishments in Asia
Katrín Jakobsdóttir	1976 births, Living people, Current national leaders, Environmentalists, People from Reykjavík, Prime Ministers of Iceland
Reinforcement learning	Artificial intelligence, Learning
Sylvester Igboun	1990 births, Living people, Nigerian footballers, People from Lagos
Luka Đorđević	1994 births, Living people, Montenegrin footballers
Edwin Mosquera	1985 births, 2017 deaths, Colombian people, Murders by firearm, Weightlifters
Rizvan Utsiyev	1988 births, Living people, Russian footballers
Yevgeni Markov (footballer, born 1994)	1994 births, Living people, Russian footballers
Moscow "Southern Gate" Central Bus Terminal	Buildings and structures in Moscow, Bus transport
Vitinho	1993 births, Living people, Brazilian footballers, Brazilian sportspeople
Old Moscow Central Bus Terminal	Buildings and structures in Moscow, Bus transport
PSL Research University	Colleges and universities in France, 2010 establishments in Europe, Paris, 2010s establishments in France
Marek Frąckowiak	1950 births, 2017 deaths, Cancer deaths in Poland, Deaths from spinal cancer, People from Łódź, Polish movie actors, Polish stage actors, Polish television actors, Polish voice actors
James Marriott	CS1 errors: external links, 1730 births, 1803 deaths, Knights Bachelor, Members of the British House of Commons for English constituencies
Swiss Federal Railways	Transport companies of Switzerland, Train operating companies, 20th century establishments in Switzerland, 1902 establishments in Europe, Bern
Mon, Switzerland	Former municipalities of Graubünden
Davos Wiesen	Former municipalities of Graubünden
Nufenen	Former municipalities of Graubünden
Mozaffar ad-Din Shah Qajar	Kings and Queens consort, History of Iran, Iranian culture, 1853 births, 1907 deaths
Carles Santos	1940 births, 2017 deaths, Spanish movie directors, Spanish actors, Spanish artists, Spanish screenwriters, Photographers
Arif Dirlik	1940 births, 2017 deaths, Naturalized citizens of the United States, American historians, American educators, Turkish writers
Manuel Marín	1949 births, 2017 deaths, Deaths from lung cancer, Presidents of the Congress of Deputies (Spain), European Commissioners
Jimmy Hood	1948 births, 2017 deaths, Deaths from myocardial infarction, Scottish politicians
Ian Twitchin	1952 births, 2017 deaths, English footballers, English football managers, People from Devon
Mackenzie Crook	1971 births, Living people, Actors from Kent, BAFTA Award winning writers, British stand-up comedians, Comedians from Kent, English movie actors, English screenwriters, English stage actors, English television actors, English television directors, Writers from Kent
The Office (British TV series)	2001 establishments in the United Kingdom, 2001 television series debuts, 2003 British television series endings, 2000s British sitcoms, 2000s British workplace television series, 2000s satirical television series, 2000s workplace comedy television series, BBC television sitcoms, Berkshire, British satirical television series, British workplace comedy television series, Office comedy television series, English-language television programs
Bocconi University	Colleges and universities in Italy, Milan, 1902 establishments in Italy
Men's rights movement	Men
Elmar Faber	1934 births, 2017 deaths, German autobiographers, Publishers, People from Thuringia
Dylan Moran	1971 births, Living people, BAFTA Award winning actors, Irish movie actors, Irish stand-up comedians, Irish television actors, Irish writers
Henning Jensen	1949 births, 2017 deaths, Danish footballers, Disease-related deaths in Denmark
Jáchym Topol	1962 births, Living people, Czech journalists, Writers from Prague
Mutten, Switzerland	Former municipalities of Graubünden
Tiefencastel	Former municipalities of Graubünden
Manspach	Communes in Haut-Rhin
St. Margrethen	Municipalities of St. Gallen
Rudolf Gramlich	1908 births, 1988 deaths, German footballers, Sportspeople from Frankfurt
Ahmed Osman (politician)	1930 births, Living people, Prime Ministers of Morocco
Christine Keeler	1942 births, 2017 deaths, Deaths from COPD, English models, English entertainers, People from Middlesex
Lateran Treaty	1929 in Europe, Vatican City, 1920s treaties, 20th century in Italy
Ali Amini	1905 births, 1992 deaths, People from Tehran, Prime Ministers of Iran
Christmas card	Christmas
Johnny Hallyday	1943 births, 2017 deaths, Actors from Paris, Cancer deaths in France, Deaths from lung cancer, Disease-related deaths in Paris, French movie actors, French pop singers, French television actors, Musicians from Paris, Rock singers
Sheila Hancock	1933 births, Living people, Breast cancer survivors, Commanders of the Order of the British Empire, English movie actors, English stage actors, English television actors, People from the Isle of Wight
Rudolph G. Wilson	1935 births, 2017 deaths, African American writers, American academics, American educators, Writers from Detroit, Michigan
IC 418	Nebulae
Sculptor galaxy	Spiral galaxies
NGC 6861	Lenticular galaxies
Obi (store)	1970 establishments in Europe, Companies of Germany, North Rhine-Westphalia, 1970s establishments in Germany
Mulegns	Former municipalities of Graubünden
August Ames	1994 births, 2017 deaths, Actors from Colorado, Adult models, American adult models, American pornographic actors, Canadian models, Canadian movie actors, Canadian sex industry people, Entertainers from Nova Scotia, Naturalized citizens of the United States, People from Colorado Springs, Colorado, Suicides by hanging in the United States, Suicides in California
Me Too movement	October 2017 events, Time People of the Year, Internet culture, Feminism, Sexual abuse, Women's rights
1958 Atlantic hurricane season	Atlantic hurricane seasons
Parisa Damandan	Iran, Photographers, Iranian historians, 1967 births
Olivier Chansou	1965 births, Living people, Alumni of the École nationale de l'aviation civile, French aviators, Heads of the French Civil Aviation University
Parisa (given name)	Given names
Wakaleo schouteni	Marsupials of Australia, Extinct species
Anusvara	Writing systems
William H. Gass	1924 births, 2017 deaths, Deaths from heart failure, American critics, American novelists, American essayists, American short story writers, Writers from Ohio, People from Fargo, North Dakota, Writers from North Dakota
Ivan Korsak	1946 births, 2017 deaths, Editors, Ukrainian journalists, Novelists, Poets, Short story writers, Ukrainian writers
Philippe Maystadt	1948 births, 2017 deaths, Bankers, Belgian academics, Deaths from lung disease, Disease-related deaths in Belgium, Government ministers of Belgium, Jurists, Parti social-chrétien politicians, People from Verviers, Walloon politicians
Stephen Wiltshire	1974 births, Living people, Artists from London, Autistic savants, Black British people, Members of the Order of the British Empire
Mirza	Titles, Surnames, Noble families
Advent calendar	Calendars, Christmas
Edward Fox	1937 births, Living people, BAFTA Award winning actors, English movie actors, English television actors, English stage actors, Actors from London, Actors who played M
Ciara (album)	2004 albums
Catherine Tate	1968 births, living people, English movie actors, English television actors, English television writers, English voice actors, English stage actors, Actors from London, Comedians from London, Writers from London
The Blue Marble	Apollo program
Cherkasy Oblast	Oblasts of Ukraine
Chernihiv Oblast	Oblasts of Ukraine
Chernivtsi Oblast	Oblasts of Ukraine
Dnipropetrovsk Oblast	Oblasts of Ukraine
Donetsk Oblast	Oblasts of Ukraine
Ivano-Frankivsk Oblast	Oblasts of Ukraine
Kharkiv Oblast	Oblasts of Ukraine
Time in Greece	Time by country, Greece
Kherson Oblast	Oblasts of Ukraine
Khmelnytskyi Oblast	Oblasts of Ukraine
Kyiv Oblast	Oblasts of Ukraine
Lilac Fire	2017 in weather, 2017 California wildfires, December events
Alamo Fire (wildfire)	2017 California wildfires, 2017 in weather, July 2017 events
Detwiler Fire	2017 California wildfires, 2017 in weather, Mariposa County, California
Wikipedia administrators	Wikipedias, Internet, Occupations
Stierva	Former municipalities of Graubünden
Surava	Former municipalities of Graubünden
Israel Standard Time	Time by country, Israel
Time in Germany	Time by country, Germany
Alofi	Capital cities in Oceania, Niue
Karl Hohmann	1908 births, 1974 deaths, German footballers, People from Düsseldorf, Sportspeople from North Rhine-Westphalia
Inanna	Mesopotamia, Gods and goddesses
Ivo Frosio	1930 births, Swiss footballers, Living people
Guillaume Bieganski	1932 births, 2016 deaths, French footballers
Masevaux	Former communes in Haut-Rhin, 2016 disestablishments in France
Male breast cancer	Cancer
Roland Taylor	1946 births, 2017 deaths, Deaths from male breast cancer, Denver Nuggets players, Sportspeople from Washington, D.C.
Vladimir Curbet	1930 births, 2017 deaths, Moldovan people, Choreographers
The Facts of Life	1979 American television series debuts, 1988 disestablishments in the United States, 1970s American sitcoms, 1980s American sitcoms, American television spin-offs, American teen comedy television series, High school television series, Television series set in New York, English-language television programs
George Frederick Addison	Pages created with the Article Wizard from 2017
Bikol languages	Languages of Asia
Arthrostylidium distichum	Bamboo species
Arauca Department	Departments of Colombia
Atlántico Department	Departments of Colombia
Bolívar Department	Departments of Colombia
Caldas Department	Departments of Colombia
Caquetá Department	Departments of Colombia
Casanare Department	Departments of Colombia
Time in Sweden	Time by country, Sweden
Albula/Alvra	Municipalities of Graubünden, 2015 establishments in Switzerland
Vaz/Obervaz	Municipalities of Graubünden, Ski areas and resorts in Switzerland
Lenzerheide	Villages in Graubünden, Ski areas and resorts in Switzerland
Riom-Parsonz	Former municipalities of Graubünden
Sur, Switzerland	Former municipalities of Graubünden
Mertzen	Communes in Haut-Rhin
Merxheim, Haut-Rhin	Communes in Haut-Rhin
Cool colors	Color
Israel Daylight Time	Israel, Time zones
Time in Namibia	Time by country, Namibia
Joe Newton	1929 births, 2017 deaths, Coaches, Sportspeople from Illinois
Yılmaz Erdoğan	Living people, 1967 births, Turkish businesspeople, Turkish actors
Dan Harmon	1973 births, Living people, Actors from Milwaukee, Wisconsin, American screenwriters, American television writers, American voice actors, Writers from Wisconsin
Atsutoshi Nishida	1943 births, 2017 deaths, Deaths from myocardial infarction, Disease-related deaths in Japan, Japanese businesspeople, Presidents (organizations), Waseda University alumni
Santo Monti	Italian historians, Roman Catholic priests, People from Como, 1855 births, 1923 deaths
Maurice Green	1926 births, 2017 deaths, Scientists from New York City
Louis Henri de Pardaillan de Gondrin	1640 births, 1691 deaths, French people, French nobility
Booza	Mastic ice creams
Jacques Simon	1941 births, 2017 deaths, French footballers
Tinizong-Rona	Former municipalities of Graubünden
Salouf	Former municipalities of Graubünden
Surses	2016 establishments in Switzerland, Municipalities of Graubünden
Sunny Murray	1936 births, 2017 deaths, American jazz musicians, American drummers, Musicians from Philadelphia, Pennsylvania
Rapperswil-Jona	Municipalities of St. Gallen, Cities in Switzerland, 2000s establishments in Switzerland, 2007 establishments in Europe
James Joseph Brady	1944 births, 2017 deaths, Deaths from myocardial infarction, American lawyers, Politicians from St. Louis, Missouri, US Democratic Party politicians
Metzeral	Communes in Haut-Rhin
Meyenheim	Communes in Haut-Rhin
Lando Fiorini	1938 births, 2017 deaths, Deaths from mesothelioma, Cancer deaths in Italy, Italian movie actors, Italian television actors, Italian singers
Michelbach-le-Bas	Communes in Haut-Rhin
Michelbach-le-Haut	Communes in Haut-Rhin
Mittelwihr	Communes in Haut-Rhin
Manno Charlemagne	1948 births, 2017 deaths, Deaths from laryngeal cancer, Cancer deaths in Florida, Haitian people, Folk singers, Singer-songwriters, Guitarists, Political activists, Mayors
Antonio Riboldi	1923 births, 2017 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Italy, Italian Roman Catholics, Roman Catholic bishops
History of Uruguay	History of Uruguay
Simeon Booker	1918 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Maryland, African American writers, Writers from Baltimore, Maryland, Journalists from Ohio, People from Youngstown, Ohio
Volodymyr Groysman	1978 births, Living people, Prime Ministers of Ukraine, Ukrainian Jews, Mayors, Legislative speakers
Les Whitten	1928 births, 2017 deaths, Deaths from sepsis, Disease-related deaths in Maryland, American journalists, Writers from Jacksonville, Florida
Time in Ethiopia	Time by country, Ethiopia
2016-2017 South America floods	2016 disasters, 2017 disasters, 2010s floods, 2010s in South America, 21st century in Peru, Disasters in South America, History of Ecuador
Viktor Potapov	1947 births, 2017 deaths, Russian sportspeople, Olympic bronze medalists, Sailors
2026 Winter Olympics	2020s in sports, Winter Olympics in Europe
Baked beans	Beans, British food
Jack Welch	1935 births, 2020 deaths, Deaths from renal failure, Disease-related deaths in New York City, Engineers from Massachusetts, American chief executives, Scientists from Boston, Massachusetts, Businesspeople from Boston, Massachusetts, Writers from Boston, Massachusetts, People from Salem, Massachusetts
Peabody, Massachusetts	Cities in Massachusetts
Severance package	Employment
Cheese curd	Cheese
Cottage cheese	Cheese
Granola	Breakfast foods, Snack foods
Beans On Toast (musician)	1980 births, Living people, English singer-songwriters, Folk singers, Singers from Essex, Writers from Essex
Jewel-Osco	1890s establishments in Illinois, 1899 establishments in the United States, Companies based in Chicago, Illinois, Supermarkets of the United States
Ronald Venetiaan	1935 births, Living people, Presidents of Suriname, Mathematicians
Lalji Singh	1947 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in India, Indian scientists, Zoologists, People from Uttar Pradesh
Kazimierz Pawełek	1936 births, 2017 deaths, Polish journalists, Polish politicians, Polish writers
Kirovohrad Oblast	Oblasts of Ukraine
Luhansk Oblast	Oblasts of Ukraine
Lviv Oblast	Oblasts of Ukraine
Mykolaiv Oblast	Oblasts of Ukraine
Jessica Mauboy	1989 births, Living people, Australian movie actors, Australian pop singers, Australian singer-songwriters, Australian television actors, Eurovision Song Contest entrants, Indigenous Australian musicians, Musicians from the Northern Territory, R&B musicians, People from Darwin, Northern Territory
Odessa Oblast	Oblasts of Ukraine
Poltava Oblast	Oblasts of Ukraine
Rivne Oblast	Oblasts of Ukraine
Sumy Oblast	Oblasts of Ukraine
Ternopil Oblast	Oblasts of Ukraine
Vinnytsia Oblast	Oblasts of Ukraine
Volyn Oblast	Oblasts of Ukraine
Zaporizhia Oblast	Oblasts of Ukraine
Zhytomyr Oblast	Oblasts of Ukraine
Estádio da Luz	Buildings and structures in Portugal, Football in Portugal, Football stadiums in Europe, Lisbon, 2003 establishments in Europe
South Sudan national football team	National football teams, South Sudan
Keith Chegwin	1957 births, 2017 deaths, Actors from Liverpool, Deaths from idiopathic pulmonary fibrosis, Disease-related deaths in England, English child actors, English movie actors, English television actors, English television presenters, Television personalities from Lancashire
Tears for Fears	1981 establishments in England, English pop music groups, English rock bands, Musical groups established in 1981, New wave bands, People from Bath, Somerset
Molly Quinn	1993 births, Living people, Actors from Texas, American child actors, American movie actors, American stage actors, American television actors, American voice actors
Yellowstone Caldera	Volcanoes of the United States, Calderas, Wyoming, National parks in the United States
Cy Young (athlete)	1928 births, 2017 deaths, Deaths from vascular dementia, Disease-related deaths in California, American Olympic gold medalists, American track and field athletes, Sportspeople from California
Grant Munro	1923 births, 2017 deaths, Disease-related deaths in Canada, Canadian filmmakers, Canadian movie actors, Canadian animators, Actors from Winnipeg
Arroux	Rivers of France, Bourgogne-Franche-Comté, Auvergne-Rhône-Alpes
Vera Katz	1933 births, 2017 deaths, Deaths from leukemia, German Jews, Jewish American politicians, Jewish women politicians, Mayors of Portland, Oregon, Naturalized citizens of the United States, People from Düsseldorf, Politicians from New York City, Politicians from North Rhine-Westphalia, Refugees from Nazism, US Democratic Party politicians
Frank Ivancie	1924 births, 2019 deaths, American conservatives, Businesspeople from Portland, Oregon, Businesspeople from Minnesota, Mayors of Portland, Oregon, Politicians from Minnesota
Uriel	Angels, Christian saints
Perfect (Ed Sheeran song)	Beyoncé songs, 2017 songs, Ballads
Beaucamps-le-Vieux	Communes in Somme
Stadio San Paolo	Buildings and structures in Italy, Football in Italy, Football stadiums in Europe, Naples, 1959 establishments in Europe, 1950s establishments in Italy
MLS Cup 2016	Soccer in the United States, 2016 in the United States
Charles Robert Jenkins	1940 births, 2017 deaths, Deaths from heart failure, American military people, People from North Carolina
Roberto Firmino	1991 births, Living people, 2018 FIFA World Cup players, Footballers from Maceió, Liverpool F.C. players
Bud Clark	1931 births, Living people, Mayors of Portland, Oregon, Politicians from Idaho, US Democratic Party politicians
Denise Kandel	1933 births, Living people, Naturalized citizens of the United States, Holocaust survivors, French sociologists, American sociologists, Scientists from Paris
Song rhythm tracks	Music
Ed Lee (politician)	1952 births, 2017 deaths, American lawyers, Cardiovascular disease deaths in California, Deaths from myocardial infarction, Mayors of San Francisco, Politicians from Seattle, Washington, US Democratic Party politicians, 21st-century American politicians
Ilan Gilon	1956 births, Living people, Former Members of Knesset, Israeli former political leaders, Jewish Israeli politicians, Meretz politicians, Naturalized citizens of Israel, Romanian Jews
TamilFunda	Websites, India
Faizon Love	1968 births, Living people, American movie actors, American television actors
Aline Griffith, Dowager Countess of Romanones	1923 births, 2017 deaths, Spanish royalty, Spanish writers, Writers from New York
Suzanna Leigh	1945 births, 2017 deaths, Deaths from liver cancer, Cancer deaths in Florida, British movie actors, British television actors, British stage actors, Actors from Berkshire
Zarley Zalapski	1968 births, 2017 deaths, American Hockey League players, Calgary Flames players, Canadian ice hockey defencemen, Canadian Olympians, Hartford Whalers players, International Hockey League (1945–2001) players, Montreal Canadiens players, Philadelphia Flyers players, Pittsburgh Penguins players, Sportspeople from Edmonton, Swedish Hockey League players, Swiss ice hockey players
Bramall Lane	Football stadiums in England
David Chase	1945 births, Living people, American movie directors, American movie producers, American screenwriters, American television directors, American television producers, American television writers, Writers from New York, Emmy Award winners, People from Mount Vernon, New York
Doug Jones (politician)	1954 births, Living people, American lawyers, United States senators from Alabama, People from Fairfield, Alabama, Politicians from Alabama, US Democratic Party politicians
Pat DiNizio	1955 births, 2017 deaths, Disease-related deaths in New Jersey, American rock guitarists, American rock singers, American singer-songwriters, Writers from New Jersey, Musicians from New Jersey, Singers from New Jersey
Mountain States	Regions of the United States
David Lau	1966 births, Living people, Chief Rabbis of Israel, People from Tel Aviv
Yitzhak Yosef	1952 births, Living people, Chief Rabbis of Israel, People from Jerusalem
Bodice	Tops (clothing)
Mellophone	Musical instruments
Museum for Architectural Drawing	Buildings and structures in Berlin, Museums in Germany
Stanley Baxter	1926 births, Living people, Scottish movie actors, Scottish television actors, Radio actors, Scottish voice actors, Scottish comedians, Actors from Glasgow
Eileen Derbyshire	1931 births, Living people, English television actors, English movie actors, English stage actors, Actors from Lancashire
Barbara Knox	1933 births, Living people, British television actors, British movie actors, British stage actors, Actors from Greater Manchester, Actors from Lancashire
WWE Network	WWE
LFO (American band)	1995 establishments in the United States, 1990s establishments in Massachusetts, Musical groups established in 1995, 2002 disestablishments in the United States, Musical groups disestablished in 2002, 2009 establishments in the United States, Musical groups established in 2009, 2010 disestablishments in the United States, Musical groups disestablished in 2010, 2017 establishments in the United States, Musical groups established in the 2010s, American R&B bands, American pop rock bands, Musicians from Massachusetts, 2000s establishments in Massachusetts, 2000s disestablishments in Massachusetts
Warrel Dane	1961 births, 2017 deaths, Deaths from myocardial infarction, American singer-songwriters, American heavy metal musicians, American television actors, American voice actors, Singers from Seattle, Washington, Musicians from Seattle, Washington, Actors from Seattle, Washington, Writers from Washington
Idiopathic pulmonary fibrosis	Diseases
Pulmonary fibrosis	Diseases
Simon Dickie	1951 births, 2017 deaths, Accidental deaths from falls, New Zealand sportspeople, Olympic gold medalists, Olympic bronze medalists
Riot Games	Video game companies, American entertainment companies
Ivan Stoyanov	1949 births, 2017 deaths, Bulgarian footballers, People from Sofia
Alessandro Kokocinski	1948 births, 2017 deaths, Deaths from lymphoma, Cancer deaths in Italy, Argentine painters, Italian painters, Italian sculptors, People from Buenos Aires
Alma Adamkienė	1928 births, Living people, Lithuanian people, American philanthropists, Naturalized citizens of the United States, First Ladies
Neeraj Vora	1963 births, 2017 deaths, Cardiovascular disease deaths in India, Deaths from myocardial infarction, Deaths from stroke, Indian movie actors, Indian movie directors, Indian movie producers, Indian screenwriters
Lilian Marijnissen	1985 births, Living people, Dutch councillors, Dutch trade unionists, Dutch women politicians, Leaders of political parties in the Netherlands, Members of the House of Representatives of the Netherlands, People from Oss, Politicians from North Brabant, Socialist Party (Netherlands) politicians
Munier Choudhury	1925 births, 1971 deaths, Bangladeshi playwrights, Harvard University alumni, Recipients of the Independence Day Award, Bangla Academy Literary Award winners
Oss	Oss, Settlements in North Brabant, Cities in the Netherlands
Fred J. Doocy	1913 births, 2017 deaths, American centenarians, American military personnel of World War II, Bankers, Businesspeople from Hartford, Connecticut, Politicians from Hartford, Connecticut, Lieutenant Governors of Connecticut
List of Chief Rabbis of Israel	Chief Rabbis of Israel, Lists of Israeli people, Religion-related lists
Bangla Academy Literary Award	Bangladeshi awards, Literary awards, 1960 establishments in Asia, 20th century establishments in Bangladesh
Naagin (2015 TV series)	Hindi-language television series, 2015 Indian television series debuts, 2016 television series endings, 2010s disestablishments in India
Chief Rabbinate of Israel	Chief Rabbinate of Israel
Mad World	1982 songs, Rock songs
National Movie Awards (Bangladesh)	Bangladeshi awards, Movie awards, 1975 establishments in Asia, 1970s establishments in Bangladesh
Mouni Roy	1985 births, Living people, Indian television actors, Indian movie actors
Philosophy of mathematics	Mathematics, Philosophy
Mohammed El Filali	1945 births, Living people, Moroccan footballers
Savoy Truffle	The Beatles songs, 1968 songs
Jack Davis	1924 births, 2016 deaths, American comics artists, American cartoonists, American illustrators, People from Atlanta, Georgia, Deaths from stroke
Departments of Colombia	Departments of Colombia
Mittlach	Communes in Haut-Rhin
Mathon	Municipalities of Graubünden
Mitzach	Communes in Haut-Rhin
Krampus	Christmas, Folklore
Yu Kwang-chung	1928 births, 2017 deaths, Deaths from pneumonia, Taiwanese people, Poets, Taiwanese educators, Critics, Novelists, People from Nanjing
Dan Johnson (Kentucky politician)	1960 births, 2017 deaths, Suicides by firearm in the United States, American Christians, Politicians from Kentucky, Politicians from Louisiana, US Republican Party politicians
Tina Smith	1958 births, Living people, United States senators from Minnesota, Lieutenant Governors of Minnesota, Politicians from Albuquerque, New Mexico, US Democratic Party politicians
Karl-Erik Nilsson	1922 births, 2017 deaths, Swedish Olympians, Olympic gold medalists, Olympic bronze medalists
R. C. Sproul	1939 births, 2017 deaths, Deaths from COPD, Disease-related deaths in Florida, American radio personalities, American theologians, Writers from Pittsburgh, Pennsylvania
Conservative Democrat	United States Democratic Party
Frank Lary	1930 births, 2017 deaths, Deaths from pneumonia, Detroit Tigers players, New York Mets players, Milwaukee Braves players, Chicago White Sox players, Sportspeople from Alabama
Mark Takai	1967 births, 2016 deaths, Cancer deaths in the United States, Deaths from pancreatic cancer, Military people from Hawaii, Politicians from Honolulu, United States representatives from Hawaii
Bill Hudson (American football)	1935 births, 2017 deaths, American football defensive tackles, San Diego Chargers players, Sportspeople from South Carolina, People from Spartanburg, South Carolina
Rod (Slavic religion)	Slavic gods and goddesses
Jarilo	Slavic gods and goddesses
Eric the Victorious	Kings and Queens of Sweden
Rian Johnson	1973 births, Living people, Actors from Maryland, American movie actors, American movie directors, American movie producers, American screenwriters, American television actors, American television directors, People from Silver Spring, Maryland, Writers from Maryland
Gwendoline Christie	1978 births, Living people, English models, English movie actors, English stage actors, English television actors, People from West Sussex
Byron Dorgan	US Democratic Party politicians, United States senators from North Dakota, Writers from North Dakota, 1942 births, Living people
Charles Grodin	1935 births, 2021 deaths, Actors from Pittsburgh, Pennsylvania, American movie actors, American stage actors, American television actors, American television talk show hosts, Cancer deaths in Connecticut, Comedians from Pennsylvania, Deaths from bone marrow cancer, Jewish American actors, Jewish American writers, Jewish American comedians, Writers from Pittsburgh, Pennsylvania, Emmy Award winners
Dillon, Read & Co.	1832 establishments in the United States, 1997 disestablishments in the United States
Morgan Stanley Wealth Management	2009 establishments in New York (state), Finance, Companies based in New York City
Kannauj district	Districts of Uttar Pradesh
Arrondissements of the Haut-Rhin department	Arrondissements of France, Grand Est
Black Mamba (drug)	Drugs
Arrondissement of Altkirch	Arrondissements of France, Grand Est
Lones Wigger	1937 births, 2017 deaths, American Olympic gold medalists, American Olympic silver medalists, Cancer deaths in Colorado, Deaths from pancreatic cancer, Medalists at the 1964 Summer Olympics, Medalists at the 1972 Summer Olympics, People from Great Falls, Montana, Sportspeople from Montana, Sport shooters
Georges Loinger	1910 births, 2018 deaths, French centenarians, French Jews, French military people, Holocaust survivors, Military personnel of World War II, Order of Merit of the Federal Republic of Germany, People from Strasbourg
2017 eruption of Mount Agung	2017 in Asia, 2010s in Indonesia
A. B. M. Mohiuddin Chowdhury	1944 births, 2017 deaths, Bangladeshi politicians, Bangladeshi Muslims, Mayors
List of Chief Military Rabbis	Chief Military Rabbis of Israel, Lists of Israeli people, Lists of military people, Religion-related lists
Military Rabbinate	Israel Defense Forces, Judaism in Israel
OS X El Capitan	MacOS
Bruce Gray	1936 births, 2017 deaths, Deaths from brain cancer, Cancer deaths in Los Angeles, Canadian movie actors, Canadian television actors, Puerto Rican actors
Gerald O'Brien	1924 births, 2017 deaths, New Zealand politicians, Military personnel of World War II, People from Wellington
Yurizan Beltran	1986 births, 2017 deaths, Actors from Los Angeles, California, American pornographic actors, Drug-related deaths in the United States
