Judgment (law)	Law, Legal terms
Abner J. Mikva	1926 births, 2016 deaths, Cancer deaths in Chicago, Deaths from bladder cancer, Deaths from COPD, American judges, American lawyers, Jewish American academics, Jewish American politicians, Jewish judges, Jewish lawyers, Politicians from Chicago, Businesspeople from Chicago, Businesspeople from Milwaukee, Wisconsin, Politicians from Milwaukee, Wisconsin, Presidential Medal of Freedom recipients, United States representatives from Illinois, University of Chicago alumni, US Democratic Party politicians
Nonsan	Cities in South Korea
Jaws (novel)	1974 books, 20th century American novels, New York in fiction, Sharks
Fisherman	Occupations, Fishing
The Taste	Reality television series, English-language television programs
Nadine Velazquez	1978 births, Living people, Actors from Chicago, American movie actors, American television actors, Models from Chicago
Greg Garcia	1970 births, Living people, American television directors, American television producers, American television writers, Writers from Virginia
Foundation series	Science fiction, Science fiction books, Isaac Asimov
List of exoplanets	Exoplanets, Astronomy lists
Aske (EP)	Black metal bands
Millionaires' Mile	Neighborhoods
Linköpings FC	2003 establishments in Europe, Linköping, Swedish football clubs, 2000s establishments in Sweden
Linköping Arena	2013 establishments in Sweden, Football stadiums in Sweden, Linköping
Lopez Tonight	2000s American television series, 2010s American television series, English-language television programs
Kepler's Laws	Astronomy
DJ Jazzy Jeff	1965 births, Living people, American musicians, Actors from Philadelphia, Pennsylvania
Yes, Dear	2000 American television series debuts, 2006 American television series endings, 2000s American television series, American sitcoms, CBS network shows, English-language television programs
Shannon Woodward	1984 births, Living people, Actors from Phoenix, Arizona, American movie actors, American television actors
The Riches	2007 American television series debuts, 2008 American television series endings, 2000s American television series, American crime drama television series, Baton Rouge, Louisiana, Louisiana in fiction
Black Mark Productions	Independent record labels, 1991 establishments in Europe, 1990s establishments in Sweden
Gregg Palmer	1927 births, 2015 deaths, American movie actors, American television actors, Actors from San Francisco
Thomas Blatt	1927 births, 2015 deaths, Holocaust survivors, Jewish American writers, Naturalized citizens of the United States, Polish Jews
Spacetoon Plus	Indonesia, Television channels
Fellow traveller	Communism
The Sands of Mars	Science fiction books
Rottenbach (river)	Geography of Thuringia, Rivers of Germany
Lake Chad	Lakes of Africa
Mail.ru Group	Companies of Russia
Millennium Development Goals	History of the United Nations, Development
Tiffany & Co.	Jewelry, Shops
UEFA Super Cup	UEFA, 1972 establishments in Europe
Francine Hughes	1947 births, Living people, American crime victims, People acquitted of murder, 2017 deaths
Charles B. Rangel	1930 births, Living people, United States representatives from New York, Politicians from New York City, US Democratic Party politicians
Andrzej Ciechanowiecki	1924 births, 2015 deaths, Polish philanthropists, Polish historians, Polish educators, Polish artists
Ahmed Chalabi	1944 births, 2015 deaths, Civil servants, Deaths from myocardial infarction, Iraqi politicians, Massachusetts Institute of Technology alumni, University of Chicago alumni
We Shall Overcome (Bernie Sanders album)	1987 albums, Bernie Sanders, Folk albums
Matt Bevin	1967 births, Living people, American Baptists, Businesspeople from Kentucky, Businesspeople from Denver, Colorado, Businesspeople from New Hampshire, Governors of Kentucky, Politicians from Denver, Colorado, Politicians from New Hampshire, US Republican Party politicians
Bill Saluga	1937 births, Living people, American television actors, Actors from Ohio, Comedians from Ohio
Pete du Pont	1935 births, 2021 deaths, American lawyers, Episcopalians, Governors of Delaware, Harvard University alumni, Politicians from Wilmington, Delaware, Princeton University alumni, Businesspeople from Wilmington, Delaware, United States representatives from Delaware, US Republican Party politicians
Universal Kids	American television networks, 2005 establishments in the United States
A Fall of Moondust	Science fiction books
Nintendo entertainment system clone	Copyright infringement
Razem	Political parties in Europe, Politics of Poland
Warren Commission	John F. Kennedy
Sebastian Nerz	1983 births, Living people, Politicians from Baden-Württemberg, Politicians of the Free Democratic Party of Germany
Université Fédérale Toulouse Midi-Pyrénées	Colleges and universities in France, 2007 establishments in France, Toulouse
Adam Wylie	1984 births, American child actors, American movie actors, American stage actors, American television actors, American voice actors, Living people, Actors from Los Angeles County, California
Howard Coble	1931 births, 2015 deaths, American military personnel of the Korean War, American Presbyterians, Deaths from skin cancer, Deaths from surgical complications, People from Greensboro, North Carolina, United States representatives from North Carolina, US Republican Party politicians, United States Coast Guard
René Girard	1923 births, 2015 deaths, American writers, American literary critics, American educators, American historians, American philosophers, Disease-related deaths in California, French historians, French philosophers, Naturalized citizens of the United States, Writers from Provence-Alpes-Cote d'Azur
Meningococcal disease	Diseases caused by bacteria
Eric Hobsbawm	1917 births, 2012 deaths, British historians, Writers from London, People from Alexandria
We Bare Bears	2015 American television series debuts, American animated television series, English-language television programs, Cartoon Network series, Television shows about bears, Television series about brothers, Television series set in San Francisco
Christmas carol	Christmas music
My arcade series	Copyright infringement
Thomas Jefferson High School for Science and Technology	Schools in Virginia, 1985 establishments in the United States, 20th-century establishments in Virginia
Legal proceeding	Law, Legal terms
Power kracker	Copyright infringement, Piracy
A Study in Scarlet	1880s books, Books by Arthur Conan Doyle, British novels
Garret Dillahunt	1964 births, Living people, Actors from Alameda County, California
Molecular geometry	Physical chemistry
Jessie Hill	1932 births, 1996 deaths, Musicians from New Orleans, Louisiana, African American musicians, American R&B musicians, Singers from New Orleans, Louisiana, American blues musicians, Deaths from renal failure, Deaths from congestive heart failure, American songwriters
Stade Vélodrome	Football stadiums in France, Marseille
Alfonso und Estrella	Operas
List of NFL teams that finished a season at 1–15	National Football League seasons
Adriana Campos	1979 births, 2015 deaths, Colombian entertainers, Colombian movie actors, Road accident deaths, Colombian television actors
Nora Brockstedt	1923 births, 2015 deaths, Disease-related deaths in Norway, Eurovision Song Contest entrants, Musicians from Oslo, Norwegian singers
Mating	Ethology, Sexuality
Neptune Township, New Jersey	Townships in New Jersey, Monmouth County, New Jersey
Melissa Mathison	Saturn Award winners, 1950 births, 2015 deaths, American activists, American television writers, Cancer deaths in Los Angeles, Deaths from neuroendocrine cancer, Screenwriters from Los Angeles, California
George Barris	1925 births, 2015 deaths, Cancer deaths in Los Angeles, Artists from Chicago
Woodbridge Township, New Jersey	Townships in New Jersey, Middlesex County, New Jersey
Hans Mommsen	1930 births, 2015 deaths, German historians, Writers from Hesse
This Land Is Your Land	1940s songs, Folk music
Toms River, New Jersey	Townships in New Jersey, County seats in New Jersey, Ocean County, New Jersey
Shafiqa Quraishi	20th century births, Year of birth missing (living people), Living people, Afghan activists, Human rights activists, Police officers, Women who received the International Women of Courage Award
Readhimer, Louisiana	Unincorporated communities in Natchitoches Parish, Louisiana
University of Paris-Saclay	Colleges and universities in France, 2014 establishments in Europe, Île-de-France, Paris, 2010s establishments in France
Genome editing	Genetic engineering
Small interfering RNA	Genetic engineering, RNA
Harjit Sajjan	Living people, Privy Councillors (Canada), 1970 births
Pledge of Allegiance	American culture, 1887, 1880s works
Liberty, Indiana	Towns in Indiana, County seats in Indiana
Arcadia, Indiana	Towns in Indiana
List of awards and nominations received by Hugh Jackman	Lists of awards and nominations
Isometry	Geometry
Skeletal muscle	Muscle tissue
Chris Stapleton	American country musicians, 1978 births, Living people
Cardiac muscle	Animal tissues, Muscle tissue
Selimiye Mosque	World Heritage Sites in Turkey, Mosques in Turkey
Dylan O'Brien	1991 births, Living people, Actors from New York City, American movie actors, American television actors
Rebecca Soler	20th century births, Year of birth missing (living people), Actors from Boston, Massachusetts, Actors from Texas, American voice actors
Fenethylline	Drugs
Constitutionality	Legal terms, Constitutions
Atlanta, Indiana	Towns in Indiana
Gunnar Hansen	1947 births, 2015 deaths, Actors from Austin, Texas, The Texas Chainsaw Massacre (franchise), Actors from Maine, American movie actors, American video game actors, Cancer deaths in the United States, Deaths from pancreatic cancer, Disease-related deaths in Maine, Icelandic writers, Naturalized citizens of the United States, People from Reykjavík, Writers from Maine, Writers from Texas
José Ángel Espinoza	1919 births, 2015 deaths, Deaths from pneumonia, Mexican movie actors, Mexican television actors, Mexican singer-songwriters, Sinaloa
Spectre (2015 movie)	2015 movies, 2010s action movies, James Bond movies, American action movies, Movies that won the Best Original Song Academy Award, Movies set in Rome, Movies directed by Sam Mendes
Hamilton County, Indiana	Indiana counties, 1823 establishments in Indiana
1993 San Marino Grand Prix	Formula One Grands Prix, 1993 in sports, 1990s in Italy
PSA Flight 182	1978 in California, Aviation disasters in the 1970s, History of San Diego, California, Aviation disasters in the United States, September events
Harrisville, New Hampshire	Towns in New Hampshire, 1870 establishments in the United States, 19th-century establishments in New Hampshire
Gerhard Sommer	1921 births, Living people, German war criminals, People from Saxony, SS officers, Waffen-SS people
Tom Graveney	1927 births, 2015 deaths, Deaths from Parkinson's disease, English cricketers, Sportspeople from Northumberland
NoSQL	Database modeling
Rhea Chiles	1930 births, 2015 deaths, American philanthropists, Disease-related deaths in Florida, Writers from Pittsburgh, Pennsylvania, University of Florida alumni
Charles Duncan Michener	1918 births, 2015 deaths, Writers from California, Scientists from California, People from Pasadena, California
Maduluwawe Sobitha Thero	1942 births, 2015 deaths, Deaths from multiple organ failure, Sri Lankan people, Buddhists, Socialists, Activists
Skandagupta	Indian monarchs, Emperors and empresses, 467 deaths, Year of birth missing
Piotr Domaradzki	1946 births, 2015 deaths, American historians, American journalists, Naturalized citizens of the United States, Polish writers, Deaths from fire
John Speraw	Living people, American volleyball coaches, Sportspeople from California
The Jazz Soul of Little Stevie	1960s albums, Debut albums, R&B albums, Soul albums, Jazz albums
Tribute to Uncle Ray	1960s albums, R&B albums, Soul albums, Jazz albums
Davidson County, Tennessee	Tennessee counties
With a Song in My Heart (Stevie Wonder album)	1963 albums, R&B albums, Soul albums, Jazz albums
List of bridges in Azerbaijan	Buildings and structures in Azerbaijan, Lists of bridges
McDonnell Douglas AV-8B Harrier II	Military aircraft
Pevensey	Villages in England
Deem Bristow	1947 births, Actors from New York City, American movie actors, American voice actors, 2005 deaths
Vladimir Alekno	Russian volleyball players, Volleyball coaches, Living people, 1966 births
Daniel Castellani	1961 births, Living people, Argentine volleyball players, Volleyball coaches
Raúl Lozano	Living people, Argentine volleyball players, Volleyball coaches, 1956 births
Jackie Evancho	American child singers, Singers from Pennsylvania, American pop singers, 2000 births, Living people
Bowerhill	Villages in Wiltshire
Stevie at the Beach	1964 albums, R&B albums, Soul albums
Arden Hayes	2008 births, Living people, People from California, Child prodigies
Ernst Fuchs	1930 births, 2015 deaths, Austrian architects, Austrian composers, Austrian painters, Austrian poets, Singers from Vienna, Musicians from Vienna, Writers from Vienna
Tommy Hanson	1986 births, 2015 deaths, Atlanta Braves players, Deaths from multiple organ failure, Disease-related deaths in Atlanta, Sportspeople from Tulsa, Oklahoma
Pat Eddery	1952 births, 2015 deaths, County Kildare, Deaths from cirrhosis, Equestrians, Sportspeople from the Republic of Ireland
Allen Toussaint	1938 births, 2015 deaths, African American musicians, American blues musicians, American composers, American jazz musicians, American pianists, American R&B musicians, American record producers, American songwriters, American soul musicians, Cardiovascular disease deaths in Madrid, Deaths from myocardial infarction, Musicians from New Orleans, Louisiana
Laurent Vidal	1984 births, 2015 deaths, 2008 Summer Olympics, 2012 Summer Olympics, Cardiovascular disease deaths in France, Deaths from myocardial infarction, French Olympians, People from Occitanie
United States courts of appeals	Courts (law), Federal judiciary of the United States
André Glucksmann	1937 births, 2015 deaths, 20th century philosophers, 21st century philosophers, Anti-Communists, Cancer deaths in France, French philosophers, Holocaust survivors, Jewish activists, Jewish French scientists, Jewish French writers, Writers from Ile-de-France
Samantha Cristoforetti	1977 births, Living people, Astronauts, People from Milan
Appellate court	Law, Legal terms
Tim Valentine	1926 births, 2015 deaths, American Baptists, American lawyers, American military personnel of World War II, Cardiovascular disease deaths in North Carolina, Deaths from heart failure, United States representatives from North Carolina, US Democratic Party politicians, People from Rocky Mount, North Carolina
Photograph (Ed Sheeran song)	2015 songs
Line of Actual Control	Kashmir, Territorial disputes of China
Tupí people	Native American, South American people, Brazil
Victor Skumin	1948 births, Living people, Russian physicians, Psychiatrists, Psychologists, Russian scientists, Russian writers, Soviet people, Soviet writers
Wrongful death claim	Law, Legal terms
Up-Tight	1966 albums, R&B albums, Soul albums
Speed dating	Human sexuality, Relationships
Penza Oblast	Oblasts of Russia, Politics, Federal subjects of Russia
Legal liability	Law, Legal terms
Alaska Purchase	1860s in the United States, 1867, 19th century in Russia, History of Alaska
Insular Celtic languages	Celtic languages
Idiophone	Musical instruments
Underwater Observatory Marine Park Eilat	Theme parks in Israel, Museums in Israel, Eilat
Phil Taylor (musician)	1954 births, 2015 deaths, Deaths from liver failure, Disease-related deaths in London, English rock drummers, People from Derbyshire
Down to Earth (Stevie Wonder album)	1966 albums, R&B albums, Soul albums
Klaus Roth	1925 births, 2015 deaths, Fields Medalists, Alumni of the University of Cambridge, British mathematicians, German mathematicians
David Atlas	1924 births, 2015 deaths, Deaths from stroke, American meteorologists, Scientists from Brooklyn
Márton Fülöp	1983 births, 2015 deaths, Cancer deaths in Hungary, Hungarian footballers, Manchester City F.C. players, Sportspeople from Budapest, Tottenham Hotspur F.C. players
Gene Amdahl	1922 births, 2015 deaths, American computer scientists, Deaths from pneumonia, Infectious disease deaths in California, Scientists from South Dakota, People with Alzheimer's disease
Individual retirement account	Finance
Savings account	Banks
Wakeland High School	Schools in Texas, 2006 establishments in the United States, 2000s establishments in Texas
Defense in depth (computing)	Networks, Computer security
Talleres de Córdoba	Argentine football clubs, Córdoba, Argentina, 1913 establishments in South America, 1910s establishments in Argentina
La Jura	1920s operas, 1928 works
Frankee	1983 births, Living people, American hip hop musicians, American R&B singers, American songwriters, American soul musicians, Models from New York City, Musicians from Staten Island, Singers from New York City
Window envelope	Postal history
The Good, the Bad, the Ugly (Frankee album)	2004 albums, Debut albums, R&B albums, Hip hop albums, Soul albums
Zurab Tsereteli	1934 births, Living people, People from Tbilisi, Architects, Russian painters, Soviet people
Jihadi John	1988 births, 2015 deaths, Deaths by airstrike, British Muslims, Criminals from London, Islamic State people, Kuwaiti people, Naturalised citizens of the United Kingdom
Sheridan, Indiana	Towns in Indiana
November 2015 Paris attacks	2015 in France, 2015 mass shootings, 2015 murders in Europe, 2010s crimes in France, 2010s explosions in Europe, 2010s in Paris, 2010s mass shootings in Europe, Explosions in 2015, Islamic State, Islamic terrorist incidents in 2015, Islamic terrorist incidents in France, Massacres in Europe, Mass murder in 2015, Mass murder in France, Murder in Paris, Murders by firearm in France, November 2015 events, Suicide bombings in Europe, Terrorist incidents in Europe in the 2010s, Terrorist incidents in Paris
Maithili language	Indo-Aryan languages, Languages of India, Languages of Nepal
Raute language	Languages of Nepal, Sino-Tibetan languages
