Land grant	Business, Property
Smothers Brothers	Actors from New York City, American television actors, Comedians from California, Comedians from New York City, Folk music groups, Musical groups from San Francisco, Sibling musical duos
Lorenzo Music	1937 births, 2001 deaths, American musicians, American voice actors, Deaths from lung cancer, People from New York, People from Duluth, Minnesota
Ingmar Bergman	Academy Award winning directors, BAFTA Award winners, Golden Globe Award winning directors, Swedish movie directors, Swedish movie producers, People from Uppsala, Swedish screenwriters, 1918 births, 2007 deaths
Baryonyx	Theropods, Spinosauridae, Dinosaurs of Europe
Colorado State University	Colleges and universities in Colorado, Mountain West Conference
Heat capacity	Basic physics ideas, Heat, Physical quantity
Pope John I	460s births, 526 deaths, Italian popes
Limonite	Minerals
Hokkaidō	Islands of Japan, Japanese culture, Prefectures of Japan
Bad Godesberg	Towns in North Rhine-Westphalia, Spa towns in Germany, Bonn
Consulate	Government buildings
Diplomatic immunity	Diplomacy
The Illusionist	2006 movies, American drama movies, American fantasy movies, English-language movies, American independent movies
My Kazakhstan	Kazakhstan, National anthems
Flag of convenience	Law of the sea
Pizza Pizza	Canadian fast food restaurants, Companies listed on the Toronto Stock Exchange
Dipole	Electromagnetism, Functions and mappings, Partial differential equations
AFI (band)	1990s American music groups, 2000s American music groups, 2010s American music groups, American punk bands, Post-hardcore bands, Musical groups from California, Musical groups established in 1991, 1991 establishments in California
Scientific notation	Measurement, Notation, Numerals
Socialist Unity Party of Germany	1946 establishments in Germany, 1990 disestablishments in Germany, Communist parties, East Germany, Former political parties in Germany
Buck the World	2007 albums, Rap music, Hip hop albums
Samaveda	Vedas
Johannes Rau	1931 births, 2006 deaths, Cardiovascular disease deaths in Germany, German Lutherans, German mayors, Ministers-President of North Rhine-Westphalia, Order of Merit of the Federal Republic of Germany, People from Wuppertal, Politicians from North Rhine-Westphalia, Presidents of Germany
Peridot	Birthstones
Archivist	Occupations
Roman Herzog	1934 births, 2017 deaths, Chief justices, German academics, German judges, German Lutherans, Members of the German Bundesrat, Order of Merit of the Federal Republic of Germany, Politicians from Bavaria, Politicians of the Christian Democratic Union of Germany, Presidents of Germany
Voltaic pile	Batteries
Arshile Gorky	1904 births, 1948 deaths, American painters, Armenian artists
Voltmeter	Measuring tools, Energy
Powderfinger	1980s Australian music groups, 1990s Australian music groups, 2000s Australian music groups, 2010s Australian music groups, Australian alternative rock bands, Brisbane, Musical groups disestablished in 2010, Musical groups established in 1989, Musical groups from Queensland, Powderfinger, 1989 establishments in Australia, 2010 disestablishments, 2010s disestablishments in Australia
Schizanthus	Nightshades
Hadith	Islamic theology, Religious terminology, Arabic words and phrases, Muhammad
Fengyuan City	Cities in Taiwan
Billy Cox	1941 births, Living people, American military people, American guitarists, Musicians from West Virginia, Bassists
Clarksville, New Zealand	Cities in New Zealand
The Animals	1963 establishments in the United Kingdom, 1960s British music groups, 1970s British music groups, 1980s British music groups, 1980s disestablishments in the United Kingdom, English rock bands, Music groups from Newcastle upon Tyne, Musical groups disestablished in 1983, Musical groups established in 1963, 1983 disestablishments in Europe
Autograph	Documents
Stevie Ray Vaughan	American blues musicians, American guitarists, Aviation deaths in the United States, Blues guitarists, Musicians from Dallas, Texas, 1954 births, 1990 deaths
Didsbury	Manchester, Villages in England
Burnage	Districts of Manchester
Longsight	Districts of Manchester
Levenshulme	Districts of Manchester
Gorton	Districts of Manchester
Stockport	Stockport, Greater Manchester
Withington	Manchester
Fallowfield	Districts of Manchester
Harrisonburg, Virginia	Cities in Virginia, County seats in Virginia, 1730s establishments in Virginia, 1737 establishments
Hereditary monarchy	Monarchy
River Mersey	Rivers of England
Acid rock	Rock music
Fender Stratocaster	Guitars
Merseyside	Merseyside, Ceremonial counties of England, 1974 establishments in England
Metropolitan Borough of Wirral	English boroughs, Merseyside
Erin Sanders	American television actors, Actors from Santa Monica, California, 1991 births, Living people
Reproduction	Biological reproduction
Metropolitan borough	Local government in England
Carly Patterson	1988 births, Living people, American gymnasts, People from Baton Rouge, Louisiana
Local Government Act 1972	1970s in the United Kingdom, Counties of England, Counties of Wales, Acts of the Parliament of the United Kingdom
Act of Parliament	Law
Legislation	Law
Bill (proposed law)	Law
List of popes by length of reign	Lists of popes
Webkinz	toys, websites
List of popes	Lists of popes, Lists of heads of state
Towradgi	Settlements in New South Wales
ACID	Database modeling
Database transaction	Database modeling
Aargau	Aargau
List of municipalities of the Netherlands	Municipalities of the Netherlands
Provinces of the Netherlands	Provinces of the Netherlands
Flevoland	Flevoland
North Brabant	North Brabant
Local Government Act 1985	1985 in the United Kingdom, Acts of the Parliament of the United Kingdom, 1980s in London
List of zombie movies	Lists of movies
Greater London Council	Local government in London, 1965 establishments in England, 1986 disestablishments, 1980s disestablishments in England
Greater London Authority	Local government in London
Mayor of London	Mayors of London
Rock and Roll Hall of Fame	Rock music, Museums in the United States, Cleveland, Ohio, Buildings and structures in Ohio
Muddy Waters	1913 births, 1983 deaths, Deaths from heart failure, Blues guitarists, Singers from Mississippi, Musicians from Mississippi, Singers from Chicago, Musicians from Chicago, American guitarists, Chicago blues musicians
Suit (clothing)	Clothing
Deal or No Deal	2000 television series debuts, 2000s television series, 2010s television series, Television game shows
Lightning Hopkins	American guitarists, Singers from Houston, Texas, Singer-songwriters from Texas, Musicians from Houston, Texas, 1912 births, 1982 deaths
Lord Mayor of London	Mayors of London
Little Richard	African American musicians, American Christians, American pianists, American R&B musicians, American R&B singers, American rock musicians, American rock singers, American singer-songwriters, Bisexual Christians, Gospel musicians, LGBT African Americans, LGBT musicians, LGBT people from Georgia (U.S. state), LGBT singers, LGBT songwriters, Singers from Georgia (U.S. state), Singers from Tennessee, Musicians from Georgia (U.S. state), Musicians from Tennessee, Writers from Georgia (U.S. state), Writers from Tennessee, People from Macon, Georgia, People from Lynchburg, Tennessee, Deaths from bone cancer, 1932 births, 2020 deaths
Monterey Pop Festival	Pop music, Music festivals in the United States, 1967 in music, Music in California, 1967 in California
I Have a Dream	1963 in the United States, Martin Luther King Jr., Speeches, 1960s in Washington, D.C., August events
Secret Intelligence Service	Military of the United Kingdom, Intelligence agencies, Government agencies of the United Kingdom
Banksia	Proteaceae
Gollum	Fictional characters introduced in 1937, Dissociative identity disorder in fiction, Characters in The Hobbit, The Lord of the Rings characters
1184	1184
Fairy	Legendary creatures
1303	1303
1306	1306
1297	1297
1298	1298
1299	1299
1309	1309
1310	1310
1311	1311
1317	1317
1318	1318
1319	1319
1331	1331
1333	1333
1334	1334
1335	1335
1338	1338
1339	1339
1348	1348
1350	1350
1352	1352
1353	1353
1355	1355
1356	1356
1361	1361
1362	1362
1364	1364
1365	1365
1366	1366
1368	1368
1369	1369
1370	1370
1372	1372
1376	1376
1379	1379
1385	1385
1386	1386
1387	1387
London County Council	Local government in London, 1889 establishments in England, 1965 disestablishments in England
Denomination (currency)	Currency
Simulation	Research, Scientific modeling
Peter, Paul and Mary	1961 establishments in New York (state), 1960s American music groups, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2009 disestablishments in the United States, Folk music groups, Musical groups disestablished in 2009, Musical groups established in 1961, Musical groups from New York City, Musical groups disestablished in 1970, 1970 disestablishments in the United States, 1970s disestablishments in New York (state), Musical groups established in 1978, 1978 establishments in the United States, 1970s establishments in New York (state), 2000s disestablishments in New York (state)
Jennifer Warnes	1947 births, Living people, Singers from Los Angeles, California
Super Friends	Children's television series, English-language television programs
Warrabah National Park	Protected areas of New South Wales, National parks in Australia
Shepreth	Villages in Cambridgeshire
Everest College	Colleges and universities in Colorado, Colorado Springs, Colorado, 1897 establishments in the United States, 1890s establishments in Colorado
Ilocos	Regions of the Philippines
Bill Medley	1940 births, Living people, Singers from Los Angeles, California, Musicians from Los Angeles, California
Adventure	Sociology
Broom (shrub)	Faboideae
Broom	Cleaning tools
Cleanliness	Everyday life, Hygiene
Washing	Everyday life
The Wash	Geography of England, Ramsar sites
Thar Desert	Deserts of Pakistan, Geography of India, Rajasthan
List of shrubs	Lists of plants
Thyme	Lamiaceae, Herbs
Distribution	Basic English 850 words
Distributed computing	Computer science
Thymus	Lymphatic system
Frequency distribution	Statistics
British Overseas Territories	British overseas territories
Promenade concert	Concerts, London
1381	1381
1388	1388
1390	1390
1391	1391
1392	1392
1393	1393
1396	1396
1410	1410
1411	1411
1413	1413
1414	1414
1416	1416
1417	1417
1418	1418
1419	1419
1420	1420
1421	1421
1423	1423
1424	1424
1426	1426
1427	1427
1430	1430
1432	1432
1434	1434
1437	1437
1441	1441
National Air Traffic Services	Air traffic control, Companies of the United Kingdom, 2001 establishments in the United States
Czech Airlines	Czech Republic, Airlines of Europe, 1923 establishments in Europe
Arika Yumemiya	My-Otome
Protagonist	Fictional characters
That's So Raven	2003 American television series debuts, 2007 American television series endings, 2000s American sitcoms, American teen comedy television series, Disney Channel shows, Television series set in San Francisco, English-language television programs
Russian Armenia	History of Armenia, 19th century in Russia, 1829 establishments, 1918 disestablishments, 20th century in Russia
Ruben Studdard	1978 births, Living people, American Idol winners, Singers from Alabama
Monocotyledon	Monocots
Hornsby, New South Wales	Sydney
Glen Campbell	1936 births, 2017 deaths, Actors from Arkansas, American country musicians, American guitarists, American movie actors, American television actors, American voice actors, Deaths from Alzheimer's disease, Disease-related deaths in Tennessee, Musicians from Arkansas, Singers from Arkansas
Symphony No. 7 "Leningrad" (Shostakovich)	Compositions by Dmitri Shostakovich, Symphonies
Persian Armenia	History of Iran, History of Armenia
Iuridictum	Encyclopedias, Wikis
Rena Searrs	My-Otome
Nina Wang	Fictional Japanese people, My-Otome
Kidnapping	Kidnapping
Gurkha	Nepalese people
Moses of Chorene	Armenian writers, Armenian historians, 490s deaths, 5th century births
Decimal	Mathematics, Numbers
Numeral system	Numerals, Number theory, Systems
Mashiro Kazahana	My-Otome, My-HiME
Chairperson	Business
NeXTSTEP	Operating systems
Darwin (operating system)	Operating systems, Apple software
Mashiro	Given names
Graduation	Education, Ceremonies
Loyalty	Emotions, Virtues
ITunes	IPod, Apple software
AAC	Computer file formats for audio
WMA	Computer file formats for audio
Blair College	1996 establishments in the United States, 1990s establishments in Colorado, 2006 disestablishments in the United States
Regatta	Boat racing, Water sports
Touchscreen	Data input
My-HiME	My-HiME
Zodiac	Culture
Artemis Fowl	Series of books, Fantasy books, Lists of books
Lee Hazlewood	1929 births, 2007 deaths, Deaths from kidney cancer, Record producers, American singer-songwriters, American country singers, Singers from Oklahoma
Decimal separator	Mathematics
Moving Picture Experts Group	Computer file formats
Princess Iman bint Al Hussein	Jordanian people, Princes and princesses, 1983 births, Living people
Clannad	Irish rock bands, Grammy Award winners, County Donegal
Nicole Vaidišová	1989 births, Living people, Czech tennis players, Female tennis players, People from Nuremberg, Sportspeople from Bavaria
Tatiana Golovin	1988 births, Living people, Female tennis players, Russian tennis players
Home row	Typography
Arzashkun	Ancient Armenia, Urartu, Former national capitals, 9th century BC
Caucasus Mountains	Mountain ranges, Caucasus
Hayk	History of Armenia
Mol	Municipalities of Antwerp
Maya (software)	Graphics software
Gerry Adams	1948 births, Living people, British writers, Former members of Dáil Éireann, Former members of the British House of Commons for Northern Irish constituencies, Leaders of political parties in the United Kingdom, Northern Ireland Assembly, Former Members, Politicians from Belfast, Sinn Féin politicians, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015
Northern Ireland Assembly	Northern Ireland Assembly, Belfast
Northern Ireland Office	Politics of Northern Ireland, Departments of the United Kingdom Government
Cyprian	Christian saints, African people, Christian writers, 3rd century births, 258 deaths
Flag of Cyprus	Republic of Cyprus, National flags
Simon Barere	Russian pianists, 1896 births, 1951 deaths
Tomsk	Capital cities in Russia, Siberia
Intelligent design	Intelligent design
Riaz Ahmed Gohar Shahi	1941 births, Missing people, Pakistani writers, Theologians, Asian Sufis, Living people
International Spiritual Movement Anjuman Serfaroshan-e-Islam	1980 establishments in Asia, Islamic organizations
Roman Curia	Vatican City, Roman Catholicism
In God We Trust	State mottos of the United States, Florida, Mottos of the United States
Apostolic Nunciature	Vatican City, Roman Catholicism
Software development	Software, Computers
Gag reflex	Reflexes
Flame	Fire
Kaliningrad	Kaliningrad, Exclaves, Capital cities in Russia
Roller derby	Skating
Sargon of Akkad	Mesopotamian people
Judea	History of the Middle East, Places of Ancient Rome, West Bank
Incubation period	Diseases
The New Yorker	American magazines, Magazines published in New York City, 1925 establishments in the United States, Weekly magazines
Cataplexy	Diseases
Sustainability	Everyday life, Sustainable development, Green politics
Brundtland Commission	History of the United Nations, Sustainable development, 1983 establishments
Mosleh Zamani	Iranian people
Climate change	Climate change
Gro Harlem Brundtland	Harvard University alumni, Norwegian diplomats, Politicians from Oslo, Prime Ministers of Norway, University of Oslo alumni, 1939 births, Living people
Allentown, Pennsylvania	County seats in Pennsylvania, Allentown, Pennsylvania, 1730s establishments in the Thirteen Colonies, 1735 establishments, 18th-century establishments in Pennsylvania
Mia Rose	Internet celebrities, 1988 births, Living people, YouTubers
Hepatitis A	Diseases caused by viruses, Liver disease
Hepatitis B	Diseases caused by viruses, Sexually transmitted diseases, Liver disease
Mir	Space stations
May Queen	Festivals
Mutual fund	Finance
Modular Audio Recognition Framework	Free software, Sound
Fullmetal Alchemist	Anime
My Dying Bride	Musical groups established in 1990, English heavy metal bands, Doom metal bands, Death metal bands, Gothic metal bands
Modular	Basic English 850 words
Framework	Logic
Documentation	Written communication
Bobby pin	Hair, Headgear
Pre-production	Movie production
Flax	Malpighiales, Edible nuts and seeds
Finite set	Set theory, Cardinal numbers
Vikram Samvat	History of India, 50s BC establishments, Calendars
Cardinality	Cardinal numbers, Set theory
Mitre	Christian clothing, Headgear
Boňkov	Boňkov, Villages in the Czech Republic
Utopia (book)	Novels, 1516 books
Order of the British Empire	Order of the British Empire
Slavníč	Villages in the Czech Republic
Milan Nakonečný	1932 births, Living people, Psychologists, Czech historians, Czech scientists
Skorkov	Villages in the Czech Republic
Antonín Klimek	Czech historians, Czech people, 2005 deaths, 1937 births
Neon Genesis Evangelion	Anime
Edward VIII	1894 births, 1972 deaths, Kings and Queens of the United Kingdom, Cancer deaths in France, Deaths from esophageal cancer, Fellows of the Royal Society, Knights and Dames Grand Cross of the Order of the British Empire, Knights Grand Commander of the Order of the Indian Empire, Knights Grand Commander of the Order of the Star of India, Knights Grand Cross of the Order of St Michael and St George, Knights Grand Cross of the Order of the Bath, Knights Grand Cross of the Royal Victorian Order, Knights of Justice of the Order of St John, Knights of the Garter, Knights of the Thistle, People from Surrey, United Kingdom Dukes, World record holders, Deaths from laryngeal cancer
Václav Benda	1946 births, 1999 deaths, Czech politicians
County borough	Political systems, Local government in England, 1974 disestablishments in the United Kingdom, 20th century disestablishments in England
Andie MacDowell	1958 births, Living people, Actors from South Carolina, American movie actors, American television actors
Goths	Germanic tribes, Ancient Rome
Arianism	Nontrinitarianism, Ancient Christianity
Ripening	Fruits
HTTP cookie	Internet
Chinese calendar	Chinese culture, Calendars
Music for the Royal Fireworks	Compositions by George Frideric Handel
Thora Birch	1982 births, Living people, Actors from Los Angeles, California, American child actors, American movie actors, American television actors
Sophia Loren	Academy Award Honorary Award winners, Academy Award winning actors, Actors from Campania, Actors from Rome, BAFTA Award winning actors, Golden Globe Award winning actors, Italian movie actors, Italian television actors, 1934 births, Living people
Helen Hunt	Actors from Culver City, California, Academy Award winning actors, American movie actors, American television actors, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, 1963 births, Living people
Jane Seymour (actress)	1951 births, Living people, Actors from Middlesex, Actresses who played Bond girls, Emmy Award winning actors, English movie actors, English television actors, Golden Globe Award winning actors
Goldie Hawn	Academy Award winning actors, Actors from Washington, D.C., American Buddhists, American movie actors, American television actors, Jewish American actors, Golden Globe Award winning actors, 1945 births, Living people
Meg Ryan	Actors from Fairfield, Connecticut, American movie actors, American movie producers, American television actors, Golden Globe Award winning actors, 1961 births, Living people
Dennis Quaid	1954 births, Living people, Actors from Houston, Texas, American movie actors
British Academy of Film and Television Arts	BAFTA Awards
Essay	Essays
Black Beauty	Children's books, 1877 books
Matilda (novel)	1988 books, Children's books, English-language novels
Leonard Nimoy	1931 births, 2015 deaths, Actors from Boston, Massachusetts, American activists, American movie directors, American movie actors, American photographers, American poets, American singer-songwriters, American television actors, American voice actors, Deaths from COPD, Disease-related deaths in Los Angeles, Musicians from Boston, Massachusetts, Singers from Boston, Massachusetts, Writers from Boston, Massachusetts
Hayden Christensen	1981 births, Actors from Toronto, Actors from Vancouver, Canadian movie actors, Canadian television actors, Living people
Stand-up comedy	Comedy, Theatrical forms
Car wash	Car wash, Automobiles
2007 Universal Forum of Cultures	Ecology, 2007 in Mexico, Monterrey
Midbrain	Anatomy of the brain
Dakota Fanning	Actors from Georgia (U.S. state), American Baptists, American child actors, American movie actors, American television actors, American voice actors, 1994 births, Living people
Hindbrain	Anatomy of the brain
Spanish broom	Faboideae
Salvia	Herbs, Salvia
Common sage	Herbs, Lamiaceae
List of Salvia species	Salvia, Lists of plants
Subshrub	Shrubs
Vinca	Apocynaceae
Shikoku (dog)	Dog breeds
Eddie Murphy	1961 births, Living people, Actors from New York City, African American comedians, African-American movie actors, African American movie producers, African-American screenwriters, African-American television actors, African-American voice actors, American stand-up comedians, American television producers, American television writers, Comedians from New York City, Golden Globe Award winning actors, Movie producers from New York City, Screen Actors Guild Award winners, Screenwriters from New York City
Jennifer Connelly	1970 births, Living people, American movie actors, Academy Award winning actors, Golden Globe Award winning actors, BAFTA Award winning actors, Actors from New York
Judy Garland	1922 births, 1969 deaths, Actors from Minnesota, American movie actors, American stage actors, Drug-related accidental deaths in the United Kingdom, Episcopalians, Golden Globe Award winning actors, Grammy Award winners, Singers from Minnesota, Stage names, Tony Award winning actors, Vaudeville performers
Liza Minnelli	1946 births, Living people, Academy Award winning actors, Actors from Hollywood, American movie actors, American musical theatre actors, American stage actors, BAFTA Award winning actors, Golden Globe Award winning actors, Tony Award winning actors
2007 Atlantic hurricane season	2007 Atlantic hurricane season
Yul Brynner	1920 births, 1985 deaths, Academy Award winning actors, American movie actors, American stage actors, American television actors, American television directors, Cancer deaths in New York City, Deaths from lung cancer, Naturalized citizens of the United States, Russian movie actors, Russian television actors, Tony Award winning actors, Vladivostok
Robert Redford	Kennedy Center honorees, Academy Award Honorary Award winners, Academy Award winning directors, Actors from Santa Monica, California, American movie actors, American television actors, BAFTA Award winning actors, Golden Globe Award winning actors, Golden Globe Award winning directors, Movie directors from California, Movie producers from California, 1937 births, Living people
Salvia pratensis	Salvia
Raymond Burr	1917 births, 1993 deaths, Actors from British Columbia, Canadian LGBT people, Canadian movie actors, Canadian television actors, Cancer deaths in the United States, Deaths from kidney cancer, Gay men, LGBT actors, Emmy Award winning actors
Michelle Pfeiffer	American movie actors, American television actors, BAFTA Award winning actors, Golden Globe Award winning actors, Actors from Santa Ana, California, 1958 births, Living people
Plant stem	Plant anatomy
NNDB	Websites
Vascular plant	Vascular plants
Treaty on the Final Settlement with Respect to Germany	History of Germany, Politics of Germany, East Germany, Berlin, World War II, Politics of France, Politics of the United Kingdom, Politics of the United States, Politics of the Soviet Union
Non-vascular plant	Non-vascular plants
Vascular tissue	Plant anatomy, Vascular plants
Phloem	Plant anatomy, Vascular tissue, Plant physiology, Plant tissues
Walter Matthau	Academy Award winning actors, American movie actors, American stage actors, American television actors, BAFTA Award winning actors, Golden Globe Award winning actors, Tony Award winning actors, Actors from New York City, 1920 births, 2000 deaths
Susan Sarandon	Academy Award winning actors, Actors from New Jersey, Actors from New York City, American movie actors, American movie producers, American television actors, American voice actors, BAFTA Award winners, Screen Actors Guild Award winners, 1946 births, Living people
Tim Robbins	1958 births, Living people, Academy Award winning actors, Actors from Los Angeles, California, Actors from New York City, American activists, American movie actors, American television actors, Golden Globe Award winning actors, Screen Actors Guild Award winners
Tigran Chukhajian	1837 births, 1898 deaths, Armenian composers
Jamie Lee Curtis	Actors from Santa Monica, California, American movie actors, American television actors, Jewish American actors, BAFTA Award winning actors, Golden Globe Award winning actors, 1958 births, Living people
People's Republic	Communism
Michael J. Fox	Actors from Alberta, American movie actors, American television actors, Canadian movie actors, Canadian television actors, Emmy Award winning actors, Entertainers from Edmonton, Golden Globe Award winning actors, Naturalized citizens of the United States, People with Parkinson's disease, 1961 births, Living people
Stomach flu	Diseases caused by viruses
Hurt (Christina Aguilera song)	2006 songs, Christina Aguilera songs
Movie producer	Movie producers, Movie occupations
Gastroenteritis	Infectious_diseases
Television pilot	Television series
James Doohan	1920 births, 2005 deaths, Actors from Vancouver, Canadian movie actors, Canadian television actors, Deaths from Alzheimer's disease, Deaths from pneumonia
Javanese language	Austronesian languages, Indonesia
Michael Douglas	Academy Award winning actors, Actors from New Jersey, American activists, American movie actors, Douglas family, American television actors, Cancer survivors, Golden Globe Award winning actors, 1944 births, Living people, New Brunswick, New Jersey
Kirk Douglas	1916 births, 2020 deaths, American centenarians, American stage actors, American radio actors, Television personalities from New York, Writers from New York, American autobiographers, Academy Award Honorary Award winners, Actors from New York, American movie actors, Douglas family, American television actors, Golden Globe Award winning actors, Kennedy Center honorees, American bloggers, People from Amsterdam, New York
James Stewart	1908 births, 1997 deaths, Deaths from pulmonary thrombosis, Academy Award winning actors, Actors from Pennsylvania, American aviators, American military people, American movie actors, American stage actors, Disease-related deaths in the United States, Golden Globe Award winning actors
James Cagney	1899 births, 1986 deaths, Academy Award winning actors, Presidents of the Screen Actors Guild, Actors from New York City, American movie actors, American stage actors, American television actors, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Kennedy Center honorees
Spencer Tracy	Academy Award winning actors, Actors from Milwaukee, Wisconsin, American movie actors, American Roman Catholics, BAFTA Award winning actors, Deaths from myocardial infarction, Golden Globe Award winning actors, 1900 births, 1967 deaths
Gary Cooper	Academy Award Honorary Award winners, Academy Award winning actors, Actors from Montana, American movie actors, American Roman Catholics, Cancer deaths in the United States, Deaths from prostate cancer, Golden Globe Award winning actors, People from Helena, Montana, 1901 births, 1961 deaths
James Edward Keeler	1857 births, 1900 deaths, American astronomers
Cassini–Huygens	NASA spacecraft, Saturn
Fern	Pteridophyta
Horror movie	Horror movies, Movie genres
Laurence Fishburne	1961 births, Living people, Actors from Georgia (U.S. state), Actors from Brooklyn, American child actors, African-American movie actors, African American movie producers, African-American stage actors, African-American television actors, Drama Desk Award winners, Emmy Award winning actors, Movie producers from New York City, People from Augusta, Georgia, Tony Award winning actors, Writers from Brooklyn, Writers from Georgia (U.S. state)
Martin Sheen	Actors from Dayton, Ohio, American activists, American movie actors, American Roman Catholics, American television actors, Emmy Award winning actors, Emmy Award winning directors, Golden Globe Award winning actors, Movie producers from Ohio, 1940 births, Living people
Marlene Dietrich	1901 births, 1992 deaths, Actors from Berlin, American LGBT people, American movie actors, American singers, American stage actors, Bisexual people, Deaths from renal failure, Disease-related deaths in France, German atheists, German LGBT people, German movie actors, German stage actors, German singers, LGBT actors, LGBT musicians, Naturalized citizens of the United States, Radio actors, Silent movie actors, Tony Award winning actors
Northern Kurdistan	Kurdistan, Geography of Turkey
Mount Etna	Volcanoes of Italy, Sicily
Rojava	Kurdistan, Syria
Eastern Kurdistan	Kurdistan
John Terry	1980 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, Chelsea F.C. players, English footballers, People from Barking, Sportspeople from London, Premier League players
Umbrella (song)	2007 songs, Rihanna songs, Jay-Z songs, Hip hop songs, Pop songs, R&B songs
Shirley MacLaine	Academy Award winning actors, Actors from Richmond, Virginia, American movie actors, American television actors, BAFTA Award winning actors, Emmy Award winning actors, Golden Globe Award winning actors, 1934 births, Living people
Crown dependencies	Crown dependencies
Lieutenancies Act 1997	Government of the United Kingdom, British monarchy, Acts of the Parliament of the United Kingdom, 1997 in the United Kingdom
Meristem	Plant anatomy, Plant tissues
Vascular cambium	Vascular tissue
Cork cambium	Plant anatomy
Cork (material)	Wood
Cork oak	Fagales, Trees
Acorn	Nuts
President of Belarus	Politics of Belarus, Presidents of Belarus
Jay	Corvids
Clubmoss	Vascular plants, Plant taxonomy
Horsetail	Pteridophyta, Vascular plants
Green algae	Algae
Brackish water	Water, Ecology
Flagellate	Protista
Sustainable energy	Energy, Sustainable development
Neoprene	Polymers
Pioneer 11	Pioneer program
Medical tourism	Tourism, Medicine
Burrowing parakeet	Parakeets
Aquifer	Ecology, Aquifers
Voyager 2	Voyager program
World Party Day	Music festivals, Holidays
Tony Curtis	Actors from New York City, American movie actors, American television actors, Cardiovascular disease deaths in the United States, Deaths from cardiac arrest, Jewish American actors, 1925 births, 2010 deaths
Jack Lemmon	Academy Award winning actors, Actors from Massachusetts, American movie actors, American stage actors, American television actors, BAFTA Award winning actors, Deaths from bladder cancer, Deaths from colorectal cancer, Golden Globe Award winning actors, 1925 births, 2001 deaths
Errol Flynn	American movie actors, American movie directors, American movie producers, American screenwriters, American television actors, Australian movie actors, Australian television actors, Cardiovascular disease deaths in Canada, Deaths from myocardial infarction, Disease-related deaths in British Columbia, Naturalized citizens of the United States, People from Hobart, 1909 births, 1959 deaths
David Niven	1910 births, 1983 deaths, Academy Award winning actors, Actors from London, Actors who played James Bond, Actors who played M, Deaths from motor neurone disease, Disease-related deaths in Switzerland, English movie actors, English television actors, Extras, Golden Globe Award winning actors
Rudolph Valentino	1895 births, 1926 deaths, Italian actors, Silent movie actors
Raquel Welch	American movie actors, American television actors, Golden Globe Award winning actors, Actors from Chicago, 1940 births, Living people
Rita Hayworth	1918 births, 1987 deaths, Actors from Brooklyn, American dancers, American movie actors, Deaths from Alzheimer's disease, Disease-related deaths in New York City
Tommy Lee Jones	People from Midland, Texas, American movie actors, American movie directors, Academy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, Actors from Texas, 1946 births, Living people
James Garner	Actors from Oklahoma, American movie actors, American movie producers, American television actors, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, People from Norman, Oklahoma, Screen Actors Guild Award winners, Deaths from myocardial infarction, 1928 births, 2014 deaths
Anthony Quinn	Academy Award winning actors, American movie actors, American movie producers, American stage actors, American television actors, Cancer deaths in Massachusetts, Deaths from pneumonia, Deaths from throat cancer, Golden Globe Award winners, Infectious disease deaths in the United States, Mexican movie actors, Mexican television actors, 1915 births, 2001 deaths
Rock Hudson	Actors from Illinois, American movie actors, American television actors, Deaths from AIDS, Gay men, Golden Globe Award winning actors, Infectious disease deaths in California, LGBT actors, LGBT people from Illinois, People from Winnetka, Illinois, Stage names, 1925 births, 1985 deaths
Olivia de Havilland	1916 births, 2020 deaths, Actors from Tokyo, American centenarians, American movie actors, American stage actors, Best Actress Academy Award winners, British centenarians, British movie actors, British stage actors, Golden Globe Award winning actors, Naturalized citizens of the United States
Woody Allen	1935 births, Living people, Woody Allen, Academy Award winning directors, Academy Award winning writers, Actors from Brooklyn, Actors from the Bronx, American atheists, American movie actors, American stand-up comedians, American television actors, American television directors, American television writers, BAFTA Award winning directors, Comedians from New York City, Golden Globe Award winning writers, Jewish American actors, Jewish American writers, Jewish atheists, Movie directors from New York City, Screenwriters from New York City, Television personalities from New York City, Writers from Brooklyn, Writers from the Bronx
Maximus the Confessor	Christian saints
Toraja people	Ethnic groups in Asia, Indonesian people
Backmasking	Music
Separation of powers	Constitutions, Government, Politics
Exclusionary rule	United States law, Criminal investigation
Chitin	Carbohydrates, Macromolecules, Polymers, Natural materials
Radula	Molluscs, Animal anatomy
Exoskeleton	Animal anatomy
High Force	Waterfalls, Bodies of water of Europe, Geography of England, County Durham
Adetokunbo Ademola	Nigerian people, Chief justices, 1906 births, 1993 deaths
Endoskeleton	Zoology, Animal anatomy, Skeletal system
Kayfabe	Professional wrestling
