Noise,GuessTillWin,RunNumber
0.0,4,1
0.0,5,1
0.0,5,1
0.5,4,2
0.5,3,2
0.5,3,2
1.0,4,3
1.0,2,3
1.0,4,3
2.0,3,4
2.0,3,4
2.0,2,4
5.0,4,5
5.0,4,5
5.0,3,5
10.0,4,6
10.0,4,6
10.0,4,6
15.0,3,7
15.0,2,7
15.0,5,7
20.0,5,8
20.0,5,8
20.0,4,8
50.0,5,9
50.0,4,9
50.0,3,9
