guess_No,remaining_guesses,game_No
0,4227,1
1,4225,1
2,4224,1
3,4223,1
4,4222,1
5,4221,1
6,4220,1
7,4219,1
8,4218,1
9,4217,1
10,4216,1
11,4215,1
12,4214,1
13,4213,1
14,4212,1
15,0,1
0,4228,2
1,4227,2
2,3,2
3,0,2
0,4228,3
1,4227,3
2,4226,3
3,4225,3
4,4224,3
5,4223,3
6,4222,3
7,4221,3
8,4220,3
9,4219,3
10,4218,3
11,4217,3
12,4216,3
13,4215,3
14,4214,3
15,4213,3
16,4212,3
17,4211,3
18,4210,3
19,4209,3
20,4208,3
21,4207,3
22,4206,3
23,4205,3
24,4204,3
25,4203,3
26,4202,3
27,4201,3
28,4200,3
29,4199,3
30,4198,3
31,4197,3
32,4196,3
33,4195,3
34,4194,3
35,4193,3
36,4192,3
37,4191,3
38,4190,3
39,4189,3
40,4188,3
41,4187,3
42,4186,3
43,4185,3
44,4184,3
45,4183,3
46,4182,3
47,4181,3
48,4180,3
49,4179,3
50,4178,3
51,4177,3
52,4176,3
53,4175,3
54,4174,3
55,4173,3
56,4172,3
57,4171,3
58,4170,3
59,4169,3
60,4168,3
61,4167,3
62,4166,3
63,4165,3
64,4164,3
65,4163,3
66,4162,3
67,4161,3
68,4160,3
69,4159,3
70,4158,3
71,4157,3
72,4156,3
73,4155,3
74,4154,3
75,4153,3
76,4152,3
77,4151,3
78,4150,3
79,4149,3
80,4148,3
81,4147,3
82,4146,3
83,4145,3
84,4144,3
85,4143,3
86,4142,3
87,4141,3
88,4140,3
89,4139,3
90,4138,3
91,4137,3
92,4136,3
93,4135,3
94,4134,3
95,4133,3
96,4132,3
97,4131,3
98,4130,3
99,4129,3
100,4128,3
101,4127,3
102,4126,3
103,4125,3
104,4124,3
105,4123,3
106,4122,3
107,4121,3
108,4120,3
109,4119,3
110,4118,3
111,4117,3
112,4116,3
113,4115,3
114,4114,3
115,4113,3
116,4112,3
117,4111,3
118,4110,3
119,4109,3
120,4108,3
121,4107,3
122,4106,3
123,4105,3
124,4104,3
125,4103,3
126,4102,3
127,4101,3
128,4100,3
129,4099,3
130,4098,3
131,4097,3
132,4096,3
133,4095,3
134,4094,3
135,4093,3
136,4092,3
137,4091,3
138,4090,3
139,4089,3
140,4088,3
141,4087,3
142,4086,3
143,4085,3
144,4084,3
145,4083,3
146,4082,3
147,4081,3
148,4080,3
149,4079,3
150,4078,3
151,4077,3
152,4076,3
153,4075,3
154,4074,3
155,4073,3
156,4072,3
157,4071,3
158,4070,3
159,4069,3
160,4068,3
161,4067,3
162,4066,3
163,4065,3
164,4064,3
165,4063,3
166,4062,3
167,4061,3
168,4060,3
169,4059,3
170,4058,3
171,4057,3
172,4056,3
173,4055,3
174,4054,3
175,4053,3
176,4052,3
177,4051,3
178,4050,3
179,4049,3
180,4048,3
181,4047,3
182,4046,3
183,4045,3
184,4044,3
185,4043,3
186,4042,3
187,4041,3
188,4040,3
189,4039,3
190,4038,3
191,4037,3
192,4036,3
193,4035,3
194,4034,3
195,4033,3
196,4032,3
197,4031,3
198,4030,3
199,4029,3
200,4028,3
201,4027,3
202,4026,3
203,4025,3
204,4024,3
205,4023,3
206,4022,3
207,4021,3
208,4020,3
209,4019,3
210,4018,3
211,4017,3
212,4016,3
213,4015,3
214,4014,3
215,4013,3
216,4012,3
217,4011,3
218,4010,3
219,4009,3
220,4008,3
221,4007,3
222,4006,3
223,4005,3
224,4004,3
225,4003,3
226,4002,3
227,4001,3
228,4000,3
229,3999,3
230,3998,3
231,3997,3
232,3996,3
233,3995,3
234,3994,3
235,3993,3
236,3992,3
237,3991,3
238,3990,3
239,3989,3
240,3988,3
241,3987,3
242,3986,3
243,3985,3
244,3984,3
245,3983,3
246,3982,3
247,3981,3
248,3980,3
249,3979,3
250,3978,3
251,3977,3
252,3976,3
253,3975,3
254,3974,3
255,3973,3
256,3972,3
257,3971,3
258,3970,3
259,3969,3
260,3968,3
261,3967,3
262,3966,3
263,3965,3
264,3964,3
265,3963,3
266,3962,3
267,3961,3
268,3960,3
269,3959,3
270,3958,3
271,3957,3
272,3956,3
273,3955,3
274,3954,3
275,3953,3
276,3952,3
277,3951,3
278,3950,3
279,3949,3
280,3948,3
281,3947,3
282,3946,3
283,3945,3
284,3944,3
285,3943,3
286,3942,3
287,3941,3
288,3940,3
289,3939,3
290,3938,3
291,3937,3
292,3936,3
293,3935,3
294,3934,3
295,3933,3
296,3932,3
297,3931,3
298,3930,3
299,3929,3
300,3928,3
301,3927,3
302,0,3
